key,text
MID_RELIANCE_A_#001,"[フラン] 1 
[ゴルドマリー] 2 
[ゴルドマリー] 
フランさん！ 
フランさん！"
MID_RELIANCE_A_#002,"[ゴルドマリー] 
僭越ながら、わたし… 
美しい姿に戻りました…！"
MID_RELIANCE_A_#003,"[フラン] 
良かったー！ 
一緒に運動頑張ったもんね。"
MID_RELIANCE_A_#004,"[フラン] 
でも…あれ？ 
見かけは全然変わってないような…"
MID_RELIANCE_A_#005,"[ゴルドマリー] 
パッと見でわからないところの肉が 
ごっそり落ちたのです…"
MID_RELIANCE_A_#006,"[フラン] 
おおー…！"
MID_RELIANCE_A_#007,"[ゴルドマリー] 
ありがとうございます、フランさん…"
MID_RELIANCE_A_#008,"[ゴルドマリー] 
フランさんはわたしが太っても泣いても… 
見放さずにずっと気にかけてくれました…"
MID_RELIANCE_A_#009,"[ゴルドマリー] 
リンゴ採取にも運動にも… 
付き合ってくださいました…"
MID_RELIANCE_A_#010,"[ゴルドマリー] 
おかげで、体形が崩れても人間関係は変わらない… 
そう思えるようになったんです…"
MID_RELIANCE_A_#011,"[フラン] 
うん。 
見かけの変化で仲間を嫌わないよ。"
MID_RELIANCE_A_#012,"[ゴルドマリー] 
フランさん…一緒に運動してくれたお礼に、 
わたしの手料理を食べませんか？"
MID_RELIANCE_A_#013,"[フラン] 
本当？ 
喜んで食べに行くよ。"
MID_RELIANCE_A_#014,"[ゴルドマリー] 
美味しくて健康的な料理をご用意します… 
この前採ったリンゴを使った料理も…"
MID_RELIANCE_A_#015,"[フラン] 
わあ…！ 
きっと美味しいんだろうね。"
MID_RELIANCE_A_#016,"[ゴルドマリー] 
とんでもないです… 
一流レストランと同じ程度ですよ…"
MID_RELIANCE_A_#017,"[フラン] 
そ、それって自信あるってことだよね。"
MID_RELIANCE_A_#018,"[ゴルドマリー] 
すみません… 
可愛い上に料理上手ですみません…"
MID_RELIANCE_A_#019,"[フラン] 
あはは、良かった！ 
いつものゴルドマリーさんに戻って！"
MID_RELIANCE_A_#020,"[フラン] 
ゴルドマリーさんの手料理、 
すっごく楽しみにしてるね！"
MID_RELIANCE_B_#001,"[フラン] 1 
[ゴルドマリー] 2 
[ゴルドマリー] 
…………"
MID_RELIANCE_B_#002,"[フラン] 
ゴルドマリーさん。 
この前のリンゴ料理は上手くいったの？"
MID_RELIANCE_B_#003,"[ゴルドマリー] 
はい… 
想像以上に美味しく作れてしまいました…"
MID_RELIANCE_B_#004,"[ゴルドマリー] 
でも… 
あーあ…"
MID_RELIANCE_B_#005,"[フラン] 
上手く料理が作れたのに、 
どうして落ち込んでるの？"
MID_RELIANCE_B_#006,"[ゴルドマリー] 
それが…食べ過ぎで… 
ちょっと太ってしまったんです…"
MID_RELIANCE_B_#007,"[フラン] 
パッと見た感じは全然変わってないよ？"
MID_RELIANCE_B_#008,"[ゴルドマリー] 
パッと見でわからないところに… 
肉がついてしまったのです…"
MID_RELIANCE_B_#009,"[フラン] 
そ、そうなんだ。"
MID_RELIANCE_B_#010,"[ゴルドマリー] 
こんな体型じゃ… 
みんなに嫌われてしまいます…"
MID_RELIANCE_B_#011,"[フラン] 
そんなことでみんなは嫌ったりしないと思うけど…"
MID_RELIANCE_B_#012,"[フラン] 
でも、そんなに気になるなら、 
温泉にでも入りに行ったらどう？"
MID_RELIANCE_B_#013,"[フラン] 
汗をいっぱいかいたら、 
少しは元の体型に戻るんじゃないかな。"
MID_RELIANCE_B_#014,"[ゴルドマリー] 
温泉なんて絶対にダメです！"
MID_RELIANCE_B_#015,"[フラン] 
な、なんで！？"
MID_RELIANCE_B_#016,"[ゴルドマリー] 
温泉になんて入ったら… 
この油断した体をみんなに見られてしまいます…"
MID_RELIANCE_B_#017,"[ゴルドマリー] 
うっ…うう…"
MID_RELIANCE_B_#018,"[フラン] 
えっ、えっ？ 
もしかして泣いてるの？"
MID_RELIANCE_B_#019,"[ゴルドマリー] 
温泉が大好きなのに…こんな状態じゃ… 
一生…温泉に入れません…"
MID_RELIANCE_B_#020,"[ゴルドマリー] 
でも温泉に入らないと痩せられない… 
この気持ちを例えるなら…"
MID_RELIANCE_B_#021,"[ゴルドマリー] 
服を買いに行くための 
服がないみたいな感じです…"
MID_RELIANCE_B_#022,"[フラン] 
よ、よくわかんないけど、 
ゴルドマリーさん、泣かないで。"
MID_RELIANCE_B_#023,"[ゴルドマリー] 
じゃあ…ひっぐ… 
わたしの体型を戻すの…手伝ってください…"
MID_RELIANCE_B_#024,"[フラン] 
え！？"
MID_RELIANCE_B_#025,"[フラン] 
う、うん、わかった。 
それでゴルドマリーさんが元気になるなら。"
MID_RELIANCE_B_#026,"[ゴルドマリー] 
うう…フランさん… 
ありがとうございます…"
MID_RELIANCE_C_#001,"[フラン] 1 
[ゴルドマリー] 2"
MID_RELIANCE_C_#002,"[ゴルドマリー] 
フランさん…到着しました… 
ここで…リンゴが採取できるんです…"
MID_RELIANCE_C_#003,"[フラン] 
すごーい、綺麗な場所！"
MID_RELIANCE_C_#004,"[フラン] 
それにしても料理に使うリンゴを採るために、 
こんな遠くまでくるなんてすごいね。"
MID_RELIANCE_C_#005,"[ゴルドマリー] 
美味しい料理を作るには… 
最高の食材を集める必要がありますから…"
MID_RELIANCE_C_#006,"[フラン] 
料理って大変なんだね。 
普通の鍛錬をするより汗かいちゃったよ。"
MID_RELIANCE_C_#007,"[フラン] 
帰ったらすぐにでも 
お風呂に入りたいなぁ。"
MID_RELIANCE_C_#008,"[フラン] 
えっ！？　ちょっと！ 
ゴルドマリーさん何してるの！？"
MID_RELIANCE_C_#009,"[ゴルドマリー] 
何がですか？"
MID_RELIANCE_C_#010,"[フラン] 
どどどどうして、 
服を脱ごうとしてるのっ！"
MID_RELIANCE_C_#011,"[フラン] 
着て、今すぐ着て！！"
MID_RELIANCE_C_#012,"[ゴルドマリー] 
近くの泉で汗を流そうと思って… 
つい…"
MID_RELIANCE_C_#013,"[フラン] 
ついじゃないよ。 
あー、驚いた。"
MID_RELIANCE_C_#014,"[ゴルドマリー] 
驚いたって… 
わたしの体型に…ですか？"
MID_RELIANCE_C_#015,"[ゴルドマリー] 
すみません… 
あまりに美しい体型で、すみません…"
MID_RELIANCE_C_#016,"[フラン] 
確かに綺麗な体型だとは思うけど、 
驚いたのはそこじゃないよ。"
MID_RELIANCE_C_#017,"[フラン] 
どうして急に水浴びしようと思ったの？"
MID_RELIANCE_C_#018,"[ゴルドマリー] 
わたし…汗をかくとすぐにお風呂に入りたくなって… 
温泉地出身だからなのかもしれません…"
MID_RELIANCE_C_#019,"[フラン] 
ゴルドマリーさんて内気な人かと思ってたけど、 
結構、大胆な人だったんだね。"
MID_RELIANCE_C_#020,"[フラン] 
人は見かけによらないっていうのは、 
ゴルドマリーさんのためにある言葉かも…"
