key,text
MID_RELIANCE_A_#001,"[ジェーデ] 1 
[カゲツ] 2 
[カゲツ] 
いやー、さすがじゃ！ 
まさかあそこまで追い詰められるとは！"
MID_RELIANCE_A_#002,"[ジェーデ] 
カゲツの腕も見事だったわ。 
結局、勝敗はつかなかったし。"
MID_RELIANCE_A_#003,"[カゲツ] 
今回の結果は引き分けじゃな。 
だが、実りの多い手合わせであった。"
MID_RELIANCE_A_#004,"[ジェーデ] 
ええ。 
そう思うわ。"
MID_RELIANCE_A_#005,"[カゲツ] 
しかし、ジェーデはなぜそんなに強いのじゃ？ 
実は武家の生まれなのか？"
MID_RELIANCE_A_#006,"[ジェーデ] 
いいえ。 
私は普通の家で生まれ育ったわ。"
MID_RELIANCE_A_#007,"[ジェーデ] 
父は宝石鑑定士で、 
母は宝飾品を作る職人よ。"
MID_RELIANCE_A_#008,"[カゲツ] 
戦いとは無縁の家庭のようじゃが。"
MID_RELIANCE_A_#009,"[ジェーデ] 
そうね。 
私も最初は母の仕事の手伝いをしていたの。"
MID_RELIANCE_A_#010,"[ジェーデ] 
でも、手先が器用じゃなくて… 
だから、そのうち鉱山の用心棒を始めたのよ。"
MID_RELIANCE_A_#011,"[カゲツ] 
用心棒じゃと？ 
急展開すぎぬか？"
MID_RELIANCE_A_#012,"[ジェーデ] 
そう？ 
昔から体を動かすのが好きだったし。"
MID_RELIANCE_A_#013,"[ジェーデ] 
鉱石を狙う悪党も多かったから 
毎日、いい運動ができて満足した生活だったわ。"
MID_RELIANCE_A_#014,"[カゲツ] 
な、なるほど… 
強さの秘密が少しわかった気がするぞ…"
MID_RELIANCE_A_#015,"[ジェーデ] 
そんな生活を続けていたら、 
『鉄壁のジェーデ』なんて異名をつけられていたわ。"
MID_RELIANCE_A_#016,"[ジェーデ] 
その噂を聞きつけた城の兵士に、 
武闘大会への出場を勧められて…"
MID_RELIANCE_A_#017,"[カゲツ] 
見事、優勝したというわけか。"
MID_RELIANCE_A_#018,"[ジェーデ] 
その功績を認められ、 
王子の臣下となったの。"
MID_RELIANCE_A_#019,"[ジェーデ] 
自分のことを話す機会なんて 
あまりなかったけれど…"
MID_RELIANCE_A_#020,"[ジェーデ] 
人に歴史あり… 
カゲツが言った通りね。"
MID_RELIANCE_A_#021,"[カゲツ] 
そうじゃな。余たちは歴史を紡ぎ、 
明日に向かっていくのじゃ。"
MID_RELIANCE_A_#022,"[ジェーデ] 
一枚一枚、 
読み進めていく小説のように…ね。"
MID_RELIANCE_A_#023,"[カゲツ] 
ときに、ジェーデ。 
手合わせの再戦はいつにしようかのう！"
MID_RELIANCE_A_#024,"[ジェーデ] 
いつでも構わないわ。"
MID_RELIANCE_A_#025,"[ジェーデ] 
カゲツとの手合わせも、 
私の歴史の一部になるのだから。"
MID_RELIANCE_B_#001,"[ジェーデ] 1 
[カゲツ] 2 
[カゲツ] 
余が生まれたのはソルム王国北東の辺境の地… 
白の砂漠と呼ばれるところじゃ。"
MID_RELIANCE_B_#002,"[カゲツ] 
土地柄、訪れる人も少なくてな。 
独自の文化というか、他とは変わったところが多い。"
MID_RELIANCE_B_#003,"[ジェーデ] 
たとえばどんなこと？"
MID_RELIANCE_B_#004,"[カゲツ] 
余の服装は、 
そなたたちから見れば変わっておるじゃろ？"
MID_RELIANCE_B_#005,"[カゲツ] 
建物などもすべて、 
木でできた独特の建築様式じゃ。"
MID_RELIANCE_B_#006,"[カゲツ] 
それに信仰対象も違う。余の故郷には、 
神竜信仰も邪竜信仰もないからのう。"
MID_RELIANCE_B_#007,"[カゲツ] 
余たちが信仰している竜は細長く、 
他の国では一切、見たことがない。"
MID_RELIANCE_B_#008,"[ジェーデ] 
ふむ…それは珍しいわね。 
一度、見てみたいわ。"
MID_RELIANCE_B_#009,"[カゲツ] 
手合わせをしてくれるなら 
絵巻物も見せてやろう。"
MID_RELIANCE_B_#010,"[ジェーデ] 
魅力的な提案だけど 
まだカゲツに聞きたいことがあるから。"
MID_RELIANCE_B_#011,"[ジェーデ] 
次は家族構成を教えて欲しいわ。"
MID_RELIANCE_B_#012,"[カゲツ] 
家族は両親、弟、妹がおる。"
MID_RELIANCE_B_#013,"[ジェーデ] 
カゲツが長男なのね。"
MID_RELIANCE_B_#014,"[カゲツ] 
うむ。 
本来なら家督を継ぐ責任があるのじゃ。"
MID_RELIANCE_B_#015,"[カゲツ] 
だが、余には無理じゃった…"
