key,text
MID_RELIANCE_A_#001,"[ジェーデ] 1 
[リンデン] 2 

[リンデン] 
驚いたぞ、ジェーデよ。"
MID_RELIANCE_A_#002,"[リンデン] 
まさかこんなに早く 
あんたが書いた喜劇の続きが読めるとはな。"
MID_RELIANCE_A_#003,"[ジェーデ] 
リンデン殿が読者になってくださったので… 
いつもより筆の進みが早くなりました。"
MID_RELIANCE_A_#004,"[リンデン] 
そうかそうか。"
MID_RELIANCE_A_#005,"[ジェーデ] 
リンデン殿。 
感想を伺ってもよろしいですか？"
MID_RELIANCE_A_#006,"[リンデン] 
…素晴らしかった。"
MID_RELIANCE_A_#007,"[リンデン] 
前作よりも胸に響いたぞ。"
MID_RELIANCE_A_#008,"[ジェーデ] 
それを聞けて安心しました。"
MID_RELIANCE_A_#009,"[リンデン] 
特に今作から出てきた新たな登場人物… 
いい感じじゃったのう。"
MID_RELIANCE_A_#010,"[リンデン] 
他の登場人物の誰よりも 
よく笑い、よく泣き、よく走り回っておった。"
MID_RELIANCE_A_#011,"[リンデン] 
そう… 
誰よりも人生を謳歌しておった。"
MID_RELIANCE_A_#012,"[ジェーデ] 
はい…"
MID_RELIANCE_A_#013,"[ジェーデ] 
あれは…僭越ながら、 
リンデン殿をモデルにさせていただきました。"
MID_RELIANCE_A_#014,"[リンデン] 
やはりそうじゃったか。 
笑い過ぎて涙が出たわ。"
MID_RELIANCE_A_#015,"[リンデン] 
あんな生き方も悪くない。 
心の底からそう思えた。"
MID_RELIANCE_A_#016,"[リンデン] 
ありがとう、ジェーデ。 
素晴らしい小説を読ませてくれて。"
MID_RELIANCE_A_#017,"[ジェーデ] 
そんな… 
身に余る光栄です。"
MID_RELIANCE_A_#018,"[リンデン] 
さて、お礼に焼き菓子でも焼くかのう。 
もちろん、食べていくじゃろう？"
MID_RELIANCE_A_#019,"[ジェーデ] 
ええ。もちろん。 
ありがとうございます、リンデン殿。"
MID_RELIANCE_B_#001,"[ジェーデ] 1 
[リンデン] 2 

[リンデン] 
いやいや。 
腹を抱えて笑ったわい。"
MID_RELIANCE_B_#002,"[リンデン] 
ジェーデよ。 
あんたは喜劇を書く才能がある。"
MID_RELIANCE_B_#003,"[ジェーデ] 
リンデン殿にそこまで褒めてもらえるなんて… 
ありがとうございます。"
MID_RELIANCE_B_#004,"[リンデン] 
登場人物たちが皆、 
いきいきしておった。"
MID_RELIANCE_B_#005,"[リンデン] 
あれは現実の人間を参考にしているじゃろ？ 
ここにいる仲間の姿が何人か頭に浮かんだわ。"
MID_RELIANCE_B_#006,"[ジェーデ] 
はい… 
仰る通りです。"
MID_RELIANCE_B_#007,"[リンデン] 
優れた観察眼だけではなく、 
それを物語に落とし込む才能もあるというわけじゃ。"
MID_RELIANCE_B_#008,"[リンデン] 
本当に見事な小説じゃった。 
礼を言うぞ、ジェーデ。"
MID_RELIANCE_B_#009,"[ジェーデ] 
こちらこそ。 
読んでくださって、ありがとうございます。"
MID_RELIANCE_B_#010,"[リンデン] 
実を言うとな… 
わしも自らの半生を書に記しているのじゃ。"
MID_RELIANCE_B_#011,"[ジェーデ] 
そうだったのですか…！"
MID_RELIANCE_B_#012,"[リンデン] 
うむ。 
あまり人に話したことはないんじゃがな。"
MID_RELIANCE_B_#013,"[ジェーデ] 
ぜひ今度、読んでみたいです！"
MID_RELIANCE_B_#014,"[リンデン] 
はっはっは。 
ぜひ読んでやってくれ。"
MID_RELIANCE_B_#015,"[リンデン] 
物書きの同志が 
近くにいたことが嬉しくてたまらんわい。"
MID_RELIANCE_B_#016,"[リンデン] 
今度、お薦めの戯話なども紹介させてくれ。"
MID_RELIANCE_B_#017,"[ジェーデ] 
は、はい。 
お願いします…！"
MID_RELIANCE_B_#018,"[リンデン] 
良き出会いか。 
長生きはするもんじゃのう。"
MID_RELIANCE_C_#001,"[リンデン] 2 

[リンデン] 
むむむ… 
はぁぁーーーー！！"
MID_RELIANCE_C_#002,"[ジェーデ] 1 

[ジェーデ] 
リンデン殿。 
何をされているのですか？"
MID_RELIANCE_C_#003,"[リンデン] 
おお、ジェーデか。"
MID_RELIANCE_C_#004,"[リンデン] 
なーに、今からサンダーで 
焼き菓子を焼こうと思ってな。"
MID_RELIANCE_C_#005,"[リンデン] 
…む？"
MID_RELIANCE_C_#006,"[リンデン] 
ジェーデよ。 
あんたが持ってるその本はなんじゃ？"
MID_RELIANCE_C_#007,"[リンデン] 
わしは世界中の本を読み漁ったのじゃが、 
そんな表紙は見たことがないぞ。"
MID_RELIANCE_C_#008,"[ジェーデ] 
…当然です。"
MID_RELIANCE_C_#009,"[ジェーデ] 
これは、その… 
私の自作の小説ですから。"
MID_RELIANCE_C_#010,"[リンデン] 
なんと！　それは素晴らしい！ 
ぜひ読ませてくれんかのう？"
MID_RELIANCE_C_#011,"[ジェーデ] 
リンデン殿にですか？ 
真面目さの欠片もない小説ですよ？"
MID_RELIANCE_C_#012,"[リンデン] 
なるほど喜劇なんじゃな。 
ますます興味深い。"
MID_RELIANCE_C_#013,"[リンデン] 
普通の本はちょうど飽きていたところじゃ。 
なんとか読ませてくれんかのう。"
MID_RELIANCE_C_#014,"[リンデン] 
わしお手製の焼き菓子もやろう。 
それで手を打たんか？　取引じゃ。"
MID_RELIANCE_C_#015,"[ジェーデ] 
取引などとは恐れ多いです… 
読んでいただけるのは光栄ですから。"
MID_RELIANCE_C_#016,"[ジェーデ] 
ただ…後悔しても知りませんよ？"
MID_RELIANCE_C_#017,"[リンデン] 
おお！　読ませてくれるか！ 
礼を言うぞ、ジェーデ！"
