key,text
MID_RELIANCE_A_#001,"[ジェーデ] 1 
[ロサード] 2 

[ジェーデ] 
ロサード。 
こんにちぷりんぷりーん。"
MID_RELIANCE_A_#002,"[ロサード] 
ジェーデ。また新しい挨拶を考えたのー？ 
うんうん、それもかわいいよー！"
MID_RELIANCE_A_#003,"[ジェーデ] 
かわいいを追求するって 
とても面白いのね。"
MID_RELIANCE_A_#004,"[ロサード] 
だろー？　でもまさかジェーデが 
ハマってくれるとは思わなかったけどー。"
MID_RELIANCE_A_#005,"[ジェーデ] 
面白いことが大好きなの… 
あまり周囲には理解されないけれど。"
MID_RELIANCE_A_#006,"[ロサード] 
確かにジェーデは、 
感情を顔に出さないからねー。"
MID_RELIANCE_A_#007,"[ジェーデ] 
もっと感情を 
顔に出す努力をした方がいいのかしら。"
MID_RELIANCE_A_#008,"[ロサード] 
気にすることないって。 
それもジェーデの個性なんだしさ。"
MID_RELIANCE_A_#009,"[ジェーデ] 
…ありがとぷりん。"
MID_RELIANCE_A_#010,"[ロサード] 
うんうん。 
かわいいかわいい。"
MID_RELIANCE_A_#011,"[ジェーデ] 
私、ロサードと仲良くなれて嬉しいわ。"
MID_RELIANCE_A_#012,"[ジェーデ] 
徹夜が平気になる方法は 
結局わからなかったけれど…"
MID_RELIANCE_A_#013,"[ジェーデ] 
ロサードにかわいいを教えてもらったおかげで 
私の小説の登場人物が、以前より愛らしくなった。"
MID_RELIANCE_A_#014,"[ジェーデ] 
何がかわいいか考えるのも面白いし… 
新たな刺激を得ることができたわ。"
MID_RELIANCE_A_#015,"[ジェーデ] 
本当にありがとう、ロサード。"
MID_RELIANCE_A_#016,"[ロサード] 
…………"
MID_RELIANCE_A_#017,"[ロサード] 
今、すっごくかわいかった。"
MID_RELIANCE_A_#018,"[ロサード] 
ジェーデの素直で真っ直ぐなとこが 
惜しみなく出てたって感じでさー。"
MID_RELIANCE_A_#019,"[ジェーデ] 
ありがとう。 
でも、一番かわいいのはロサードぷりん。"
MID_RELIANCE_A_#020,"[ロサード] 
あはは、ありがとね、ジェーデ！"
MID_RELIANCE_B_#001,"[ジェーデ] 1 
[ロサード] 2 

[ロサード] 
よーし、ジェーデ。 
とりあえずかわいいのいってみよっかー。"
MID_RELIANCE_B_#002,"[ジェーデ] 
そうは言われても… 
何をどうすればいいのか。"
MID_RELIANCE_B_#003,"[ロサード] 
なんか自分の思うかわいいをやってみてよ。 
格好とか言葉使いとか？"
MID_RELIANCE_B_#004,"[ジェーデ] 
ふむ…"
MID_RELIANCE_B_#005,"[ジェーデ] 
ぷりーん、ぷりん。"
MID_RELIANCE_B_#006,"[ロサード] 
うんうん！ 
かわいい、かわいいよー！"
MID_RELIANCE_B_#007,"[ジェーデ] 
本当に？"
MID_RELIANCE_B_#008,"[ロサード] 
ほんと、ほんと。 
んじゃ自己紹介と絡めてみようかー！"
MID_RELIANCE_B_#009,"[ジェーデ] 
ぷりーんぷりん。 
ジェーデですぷりん。"
MID_RELIANCE_B_#010,"[ロサード] 
やばいやばい。 
ジェーデってかわいいの才能あるんじゃない？"
MID_RELIANCE_B_#011,"[ジェーデ] 
…………"
MID_RELIANCE_B_#012,"[ロサード] 
ありゃー？ 
ジェーデは気に入らない感じー？"
MID_RELIANCE_B_#013,"[ジェーデ] 
いいえ、違うわ。 
こう見えて笑っているの。"
MID_RELIANCE_B_#014,"[ジェーデ] 
だって、これで徹夜が大丈夫になるわけないし。 
冷静に考えてみたら、すごく面白くなっちゃって。"
MID_RELIANCE_B_#015,"[ロサード] 
あはは、なるほどねー。 
じゃ残念だけど、かわいいを追求するのはやめるー？"
MID_RELIANCE_B_#016,"[ジェーデ] 
いいえ。 
これはこれで面白いわ。"
MID_RELIANCE_B_#017,"[ジェーデ] 
いけるところまでいってみましょう。 
新たな笑いの境地に辿り着けるかも。"
MID_RELIANCE_B_#018,"[ロサード] 
おっけー。 
じゃ、オレも付き合うよー。"
MID_RELIANCE_C_#001,"[ジェーデ] 1 
[ロサード] 2 

[ジェーデ] 
ロサード。 
聞きたいことがあるの。"
MID_RELIANCE_C_#002,"[ロサード] 
ははーん。 
どうしてオレがこんなにかわいいか知りたいんでしょ？"
MID_RELIANCE_C_#003,"[ロサード] 
でもね、理由なんてないんだよね。 
オレがかわいいのは必然っていうかさー。"
MID_RELIANCE_C_#004,"[ジェーデ] 
違うわ。"
MID_RELIANCE_C_#005,"[ロサード] 
違ったかー。"
MID_RELIANCE_C_#006,"[ジェーデ] 
貴方は徹夜をしても元気だと聞いた。 
次の日もまったく問題なく過ごせると。"
MID_RELIANCE_C_#007,"[ロサード] 
あー、そっちね。 
確かにそうだよ。徹夜とか全然、平気ー。"
MID_RELIANCE_C_#008,"[ジェーデ] 
私もそうなりたい。"
MID_RELIANCE_C_#009,"[ジェーデ] 
徹夜しても元気でいられるなら、 
小説をもっとたくさん書けるから。"
MID_RELIANCE_C_#010,"[ジェーデ] 
どうすればそうなれるの？"
MID_RELIANCE_C_#011,"[ロサード] 
さあ… 
考えたこともなかったけど…"
MID_RELIANCE_C_#012,"[ロサード] 
そうだ、あれじゃないー？ 
かわいさを追求してれば、徹夜とか余裕でしょ。"
MID_RELIANCE_C_#013,"[ジェーデ] 
…なるほど。"
MID_RELIANCE_C_#014,"[ジェーデ] 
なら、私もかわいさを追求してみるわ。"
MID_RELIANCE_C_#015,"[ジェーデ] 
だけど、私はかわいさに関して素人… 
協力してくれると助かるのだけど。"
MID_RELIANCE_C_#016,"[ロサード] 
もちろんだよー！ 
そういうことなら、オレに任せてー！"
