key,text
MID_RELIANCE_A_#001,"[カゲツ] 1 

[ボネ] 2 
[カゲツ] 
ボネはなにゆえ、 
知らない料理があるのを許せぬのじゃ？"
MID_RELIANCE_A_#002,"[ボネ] 
無論、料理を極めるためだ…"
MID_RELIANCE_A_#003,"[ボネ] 
自分の知る料理を作っているだけでは… 
井の中の蛙にすぎない。"
MID_RELIANCE_A_#004,"[ボネ] 
そう思って勉強してきたんだがな。 
まだまだ私の世界は狭かったようだ…"
MID_RELIANCE_A_#005,"[ボネ] 
知らなかった…おはぎ…"
MID_RELIANCE_A_#006,"[カゲツ] 
…………"
MID_RELIANCE_A_#007,"[カゲツ] 
ボネは余に似ておるのう！"
MID_RELIANCE_A_#008,"[ボネ] 
なに？"
MID_RELIANCE_A_#009,"[カゲツ] 
余も外の世界を知りたくて、 
故郷から飛び出してきた…"
MID_RELIANCE_A_#010,"[カゲツ] 
各地で強者と戦って勝つことで、 
世界が開けた気分になったものよ。"
MID_RELIANCE_A_#011,"[カゲツ] 
しかし、イルシオンで戦いに敗れ、 
初めて挫折を味わったのじゃ。"
MID_RELIANCE_A_#012,"[カゲツ] 
余の知る強者は一部にすぎぬ。 
世界には未知の強者が数え切れぬほどにおるのだと。"
MID_RELIANCE_A_#013,"[ボネ] 
私と似たような状況だ…"
MID_RELIANCE_A_#014,"[ボネ] 
カゲツにとっての強者が… 
私にとっての料理というわけか…"
MID_RELIANCE_A_#015,"[カゲツ] 
今は縁あってアイビー様の臣下になり、 
多くのことを学ばせてもらっておる。"
MID_RELIANCE_A_#016,"[カゲツ] 
余は全ての強者を知る必要はないと思い至った。 
無論知ることは大事じゃが…"
MID_RELIANCE_A_#017,"[カゲツ] 
全てを知ることよりも、 
見聞を広げた上で得意分野を極めればよい。"
MID_RELIANCE_A_#018,"[ボネ] 
私もいつか… 
そのような考えに思い至るだろうか…"
MID_RELIANCE_A_#019,"[カゲツ] 
…………"
MID_RELIANCE_A_#020,"[カゲツ] 
ボネ、余は気が変わったぞ！ 
見聞を広げるため、一肌脱ごう！"
MID_RELIANCE_A_#021,"[カゲツ] 
ボネの参考になるかはわからぬが、 
故郷の食文化の話をしてやろう。"
MID_RELIANCE_A_#022,"[カゲツ] 
余の故郷は外界と交わらぬ白の砂漠… 
その料理知識を持つ者はそうはおらぬぞ。"
MID_RELIANCE_A_#023,"[ボネ] 
そ、それは嬉しい提案だが… 
臣下としての仕事が忙しいんじゃないのか？"
MID_RELIANCE_A_#024,"[カゲツ] 
ボネはもう余の友だちじゃ！ 
友のためなら時間を作ろう！"
MID_RELIANCE_A_#025,"[ボネ] 
カゲツ…ありがとう。"
MID_RELIANCE_A_#026,"[ボネ] 
では情報の礼として… 
毎度おにぎりを持参しよう。"
MID_RELIANCE_A_#027,"[ボネ] 
今度は塩鮭や昆布を使った 
甘くないものをな…"
MID_RELIANCE_A_#028,"[カゲツ] 
ナツメヤシのおにぎりも美味じゃった！ 
あれも頼むぞ！"
MID_RELIANCE_A_#029,"[ボネ] 
ふっ…承知した。 
頬がとろけてしまうような旨いものを持参しよう…"
MID_RELIANCE_A_#030,"[ボネ] 
これから、どんな料理の話が聞けるか 
楽しみだ…"
MID_RELIANCE_B_#001,"[カゲツ] 1 

[ボネ] 2 
[ボネ] 
カゲツ。 
できたぞ…"
MID_RELIANCE_B_#002,"[カゲツ] 
なにがじゃ？"
MID_RELIANCE_B_#003,"[ボネ] 
忘れたのか…おにぎりだ。"
MID_RELIANCE_B_#004,"[ボネ] 
あれから私は、 
おにぎり作りの研究に没頭した…"
MID_RELIANCE_B_#005,"[ボネ] 
米を握る力の加減、新たな具の探求… 
来る日も来る日もおにぎりのことを考えてきた。"
MID_RELIANCE_B_#006,"[ボネ] 
その結果、できたのがこれだ…"
MID_RELIANCE_B_#007,"[カゲツ] 
おお、見た目は良いな。"
MID_RELIANCE_B_#008,"[カゲツ] 
じゃが…おにぎりは中身が勝負。 
さあボネ、そなたの選んだ具を教えよ！"
MID_RELIANCE_B_#009,"[ボネ] 
ソルム王国の特産品、ナツメヤシの実だ。"
MID_RELIANCE_B_#010,"[カゲツ] 
ナツメヤシの実！？ 
奇々怪々…初めて聞いた具じゃな。"
MID_RELIANCE_B_#011,"[ボネ] 
とにかく、試食をしてみてくれ…"
MID_RELIANCE_B_#012,"[カゲツ] 
いただきまーす！"
MID_RELIANCE_B_#013,"[カゲツ] 
ふむ…ふむふむ。"
MID_RELIANCE_B_#014,"[カゲツ] 
なるほど…甘いというのは意外じゃが、 
米によく合うのう！"
MID_RELIANCE_B_#015,"[ボネ] 
そうだろう。ナツメヤシにたどり着くまで、 
私がどれだけ試行錯誤を重ねたか…"
MID_RELIANCE_B_#016,"[カゲツ] 
うむ！　このおにぎりは美味い！ 
美味いが…"
MID_RELIANCE_B_#017,"[カゲツ] 
この味は、おはぎじゃな。"
MID_RELIANCE_B_#018,"[ボネ] 
おはぎ！？"
MID_RELIANCE_B_#019,"[ボネ] 
似た料理が…他にあるというのか…？"
MID_RELIANCE_B_#020,"[カゲツ] 
うむ。おはぎとは、 
丸めた餅米を餡子で包んだ食べ物じゃ。"
MID_RELIANCE_B_#021,"[ボネ] 
…………"
MID_RELIANCE_B_#022,"[ボネ] 
では…これは、おにぎりではないな…"
MID_RELIANCE_B_#023,"[カゲツ] 
落ち込む必要はないじゃろ！ 
大丈夫、形的にはおにぎりじゃ！"
MID_RELIANCE_B_#024,"[ボネ] 
しかし、味的にはおはぎだ…"
MID_RELIANCE_B_#025,"[ボネ] 
慰めは嬉しいが… 
その言葉に甘んじてはならない。"
MID_RELIANCE_B_#026,"[ボネ] 
私の知識不足だ… 
知らない料理があるなど…あってはならない…"
MID_RELIANCE_B_#027,"[ボネ] 
…戻って勉強をしてこよう。"
MID_RELIANCE_B_#028,"[カゲツ] 
ボネは研究熱心じゃのう。 
美味じゃったぞ、ナツメヤシおにぎり。"
MID_RELIANCE_C_#001,"[カゲツ] 1 

[ボネ] 2 
[カゲツ] 
腹が減ったな。 
おにぎりで腹ごしらえといこう。"
MID_RELIANCE_C_#002,"[ボネ] 
…カゲツ。"
MID_RELIANCE_C_#003,"[カゲツ] 
おわっ、ボネか。 
急にどうしたんじゃ？"
MID_RELIANCE_C_#004,"[ボネ] 
三角形の携帯食… 
今、おにぎりと言っていたな。"
MID_RELIANCE_C_#005,"[ボネ] 
初めて見る料理だ。 
いったい何なんだ？"
MID_RELIANCE_C_#006,"[カゲツ] 
百聞は一見にしかずじゃ。 
ほれ、食ってみるがいい。"
MID_RELIANCE_C_#007,"[ボネ] 
…いいのか？ 
では、お言葉に甘えて…"
MID_RELIANCE_C_#008,"[ボネ] 
んんっ… 
こっ、これは…旨い…"
MID_RELIANCE_C_#009,"[ボネ] 
軽く塩の振られた米、それを包み込む海苔… 
む…中に、焼いた魚が？"
MID_RELIANCE_C_#010,"[カゲツ] 
今日の具は塩鮭じゃ！"
