key,text
MID_RELIANCE_A_#001,"[カゲツ] 1 
[メリン] 2 
[カゲツ] 
覚悟！"
MID_RELIANCE_A_#002,"[メリン] 
甘いよカゲツ！"
MID_RELIANCE_A_#003,"[カゲツ] 
はああーーっ！！"
MID_RELIANCE_A_#004,"[メリン] 
せやーーっ！！"
MID_RELIANCE_A_#005,"[カゲツ] 
くっ…"
MID_RELIANCE_A_#006,"[メリン] 
勝負あったね。 
僕の勝ちだ。"
MID_RELIANCE_A_#007,"[カゲツ] 
余が…負けただと…"
MID_RELIANCE_A_#008,"[メリン] 
内容は互角か…いや、 
カゲツの方が強かったかもしれない。"
MID_RELIANCE_A_#009,"[メリン] 
でも、僕には我が姫を守るという使命がある。 
その思いの強さで勝ったんだ。"
MID_RELIANCE_A_#010,"[カゲツ] 
思いの強さか…"
MID_RELIANCE_A_#011,"[メリン] 
僕が勝ったんだから、 
我が姫との対戦はなしだよ。"
MID_RELIANCE_A_#012,"[カゲツ] 
ああ…わかった。 
約束じゃからな。"
MID_RELIANCE_A_#013,"[カゲツ] 
ときに、メリン。 
また余と手合わせをしてくれぬか？"
MID_RELIANCE_A_#014,"[メリン] 
僕と？ 
それは姫の代わりにってことかな？"
MID_RELIANCE_A_#015,"[カゲツ] 
そうではない。"
MID_RELIANCE_A_#016,"[カゲツ] 
興味が湧いたのじゃよ。 
メリンの思いの強さというものに。"
MID_RELIANCE_A_#017,"[カゲツ] 
思いを強さに変える…"
MID_RELIANCE_A_#018,"[カゲツ] 
それを学ぶことが、世界を知ることに通じる。 
そんな気がするのじゃ！"
MID_RELIANCE_A_#019,"[メリン] 
わかった。 
そういうことなら、いくらでも手合わせするよ。"
MID_RELIANCE_A_#020,"[メリン] 
カゲツとの手合わせは 
僕にとっても鍛錬になるからね。"
MID_RELIANCE_A_#021,"[カゲツ] 
それは嬉しいのう！ 
メリン、今日から余たちは手合わせ友達じゃ！"
MID_RELIANCE_A_#022,"[カゲツ] 
互いに切磋琢磨し、仲を深めようぞ！"
MID_RELIANCE_A_#023,"[メリン] 
ンッフフ。望むところだよ、カゲツ！"
MID_RELIANCE_B_#001,"[カゲツ] 1 
[メリン] 2 
[カゲツ] 
メリン。そろそろミスティラ王女に 
対決を申し込んでもよいか？"
MID_RELIANCE_B_#002,"[メリン] 
だめだ。 
絶対に許さないからね。"
MID_RELIANCE_B_#003,"[カゲツ] 
くっ…まだだめか… 
遺憾千万じゃ…"
MID_RELIANCE_B_#004,"[カゲツ] 
とはいえ、余はメリンに助けられた身。 
メリンの許しが出るまで今一度待つとしよう。"
MID_RELIANCE_B_#005,"[メリン] 
君も困った人だね。 
どうしてそこまでして、我が姫と戦いたいんだい？"
MID_RELIANCE_B_#006,"[カゲツ] 
余は白の砂漠の出身でな。 
外の世界の強者と戦いたいのじゃ。"
MID_RELIANCE_B_#007,"[メリン] 
白の砂漠って…！ 
ソルムの、謎に包まれた場所じゃないか。"
MID_RELIANCE_B_#008,"[カゲツ] 
余からすれば、白の砂漠の外こそが 
謎に包まれた場所なのじゃがな。"
