key,text
MID_RELIANCE_A_#001,"[ラピス] 1 
[アンナ] 2 
[ラピス] 
アンナさん、雪だるまの人形は売れた？"
MID_RELIANCE_A_#002,"[アンナ] 
…え、ええ…まあ…"
MID_RELIANCE_A_#003,"[ラピス] 
ん？　どうしたの？ 
半泣きだけど…"
MID_RELIANCE_A_#004,"[アンナ] 
…………"
MID_RELIANCE_A_#005,"[ラピス] 
もしかして、売れなかったとか？"
MID_RELIANCE_A_#006,"[アンナ] 
…うん。 
ごめんなさい…"
MID_RELIANCE_A_#007,"[アンナ] 
売ろうと思ってあるいていたら、 
落っことしてこわしちゃったの…"
MID_RELIANCE_A_#008,"[ラピス] 
そうだったの…"
MID_RELIANCE_A_#009,"[アンナ] 
わたし、なさけない… 
あんなに売れるっていばってたのに…"
MID_RELIANCE_A_#010,"[アンナ] 
おわびに１億ゴールドあげる… 
だから許して…うぅっ…うっ…"
MID_RELIANCE_A_#011,"[ラピス] 
アンナさん、いいのよ。 
お金なんかいらないから。"
MID_RELIANCE_A_#012,"[アンナ] 
でも…"
MID_RELIANCE_A_#013,"[ラピス] 
あたしがほしいのはお金じゃなくて、 
次の機会よ。"
MID_RELIANCE_A_#014,"[アンナ] 
次の機会？"
MID_RELIANCE_A_#015,"[ラピス] 
あの商品を作るのがすごく楽しくて… 
あれを最後にしたくないなって。"
MID_RELIANCE_A_#016,"[ラピス] 
冬祭りの里のことは、 
小さいころからよく聞いていたの。"
MID_RELIANCE_A_#017,"[ラピス] 
イルシオンの秘境にある、 
一年中お祭りをしている素敵な里だって。"
MID_RELIANCE_A_#018,"[アンナ] 
そうなの…？"
MID_RELIANCE_A_#019,"[ラピス] 
うん。あたしにとっては夢のような場所だったけど、 
実在するってわかって嬉しかった。"
MID_RELIANCE_A_#020,"[ラピス] 
だから、作ったものがその名を冠して 
売られるって考えたら本当に幸せで…"
MID_RELIANCE_A_#021,"[ラピス] 
良かったらもう一度…ううん。 
成功するまで何度でも協力したい。"
MID_RELIANCE_A_#022,"[アンナ] 
ありがとう、そんな風に思ってくれて。"
MID_RELIANCE_A_#023,"[アンナ] 
じゃあもう一度、作ろう。 
今度はほんかくてきに。"
MID_RELIANCE_A_#024,"[ラピス] 
本格的に？"
MID_RELIANCE_A_#025,"[アンナ] 
せっかくだから、拾ったものじゃなくて、 
ちゃんとこだわった材料で作りましょ。"
MID_RELIANCE_A_#026,"[ラピス] 
そんな…緊張するわ… 
普段はちゃんとした材料では作らないから…"
MID_RELIANCE_A_#027,"[アンナ] 
ふ、ふしぎな緊張ね。"
MID_RELIANCE_A_#028,"[ラピス] 
でもがんばるわ。 
必ず人気商品にしてみせるんだから。"
MID_RELIANCE_A_#029,"[アンナ] 
うんうん、そのいきよ！"
MID_RELIANCE_A_#030,"[アンナ] 
いっしょにドカンと大もうけして、 
のこりの人生、あそんでくらしましょ！！"
MID_RELIANCE_B_#001,"[ラピス] 1 
[アンナ] 2 
[ラピス] 
アンナさん。 
冬祭りの里っぽい商品、できたわよ。"
MID_RELIANCE_B_#002,"[アンナ] 
早っ！ 
え…ほんとに？"
MID_RELIANCE_B_#003,"[ラピス] 
ええ。その辺に落ちているものを使って、 
雪だるまのお人形を作ったの。"
MID_RELIANCE_B_#004,"[アンナ] 
わあ！ 
すごくかわいい！"
MID_RELIANCE_B_#005,"[ラピス] 
それだけじゃないのよ。 
雪だるまが持っている鈴の部分を回してみて。"
MID_RELIANCE_B_#006,"[アンナ] 
…こう？"
MID_RELIANCE_B_#007,"[アンナ] 
わあ！　おんがくが流れ始めた！ 
どういうしくみ！？"
