key,text
MID_RELIANCE_A_#001,"[ルイ] 1 
[アイビー] 2 

[アイビー] 
ルイ。また貴方のいれてくれる紅茶が 
飲みたいのだけれど…"
MID_RELIANCE_A_#002,"[ルイ] 
あ、あああ… 
困ります、アイビー王女。"
MID_RELIANCE_A_#003,"[アイビー] 
あら…忙しかった？ 
ならまた機会を改めるわね。"
MID_RELIANCE_A_#004,"[ルイ] 
違うんです。忙しいわけではなくて。 
困っている理由は、貴方の笑顔です。"
MID_RELIANCE_A_#005,"[アイビー] 
私の笑顔…？ 
なかなか笑顔にならないからということ？"
MID_RELIANCE_A_#006,"[ルイ] 
いいえ。今ここにきたとき… 
すごくいい笑顔になっておられたのです。"
MID_RELIANCE_A_#007,"[アイビー] 
えっ…"
MID_RELIANCE_A_#008,"[ルイ] 
それがあまりに素敵すぎて、 
つい、困りますと。"
MID_RELIANCE_A_#009,"[ルイ] 
ご自身では気づいていましたか？"
MID_RELIANCE_A_#010,"[アイビー] 
いえ…全く。"
MID_RELIANCE_A_#011,"[ルイ] 
そんな素敵な笑顔は僕になど見せずに、 
可憐な女性たちに見せてあげてください。"
MID_RELIANCE_A_#012,"[ルイ] 
それでアイビー王女を中心に輪ができれば、 
僕は離れたところからじっと眺めます。"
MID_RELIANCE_A_#013,"[アイビー] 
ふふ… 
そんなことを言われても困るわ。"
MID_RELIANCE_A_#014,"[ルイ] 
ああ…僕に笑顔を無駄撃ちするのは 
もったいないですよ、アイビー王女。"
MID_RELIANCE_A_#015,"[ルイ] 
ですが、不思議ですね。"
MID_RELIANCE_A_#016,"[ルイ] 
結局、何がアイビー王女を 
笑顔にしているのか、僕にはわかりません。"
MID_RELIANCE_A_#017,"[アイビー] 
失礼ね… 
貴方は私をなんだと思ってるのかしら。"
MID_RELIANCE_A_#018,"[アイビー] 
私だって…友だちや仲間の前でなら、 
自然と笑顔になるものよ。"
MID_RELIANCE_A_#019,"[ルイ] 
…！　つまり僕も、アイビー王女にとって 
そのような存在になれたというわけですか？"
MID_RELIANCE_A_#020,"[アイビー] 
か、確認なんてしなくていいの。 
いいから早く紅茶をいれて頂戴…"
MID_RELIANCE_A_#021,"[ルイ] 
かしこまりました、アイビー王女。 
今までで一番とびきりの紅茶を淹れますね。"
MID_RELIANCE_A_#022,"[アイビー] 
期待しているわ…ルイ。"
MID_RELIANCE_B_#001,"[ルイ] 1 
[アイビー] 2 
[ルイ] 
いかがですか、アイビー王女。 
楽しそうにおしゃべりをしている女性たちは。"
MID_RELIANCE_B_#002,"[アイビー] 
ダメね… 
全然、笑顔になれないわ。"
MID_RELIANCE_B_#003,"[ルイ] 
それはおかしいですね。 
僕の心はこんなにも躍っているというのに。"
MID_RELIANCE_B_#004,"[アイビー] 
あの光景で笑顔になれるのは… 
ルイくらいしかいないのではないかしら。"
MID_RELIANCE_B_#005,"[ルイ] 
そうですか。残念です。"
MID_RELIANCE_B_#006,"[アイビー] 
それで…？ 
私を笑顔にするという貴方の策はこれで終わり？"
MID_RELIANCE_B_#007,"[アイビー] 
笑顔の私が女性たちと楽しそうにおしゃべりする… 
その光景を見るのは諦めるのね？"
MID_RELIANCE_B_#008,"[ルイ] 
いいえ、まだ諦めません。"
MID_RELIANCE_B_#009,"[ルイ] 
とは言ったものの、 
具体的な次の策は浮かんでいないので…"
MID_RELIANCE_B_#010,"[ルイ] 
ひとまずお茶にしませんか？ 
とっておきの紅茶を淹れさせていただきます。"
MID_RELIANCE_B_#011,"[アイビー] 
あら、それは嬉しいわ… 
ありがとう、ルイ。"
MID_RELIANCE_B_#012,"[ルイ] 
あっ。"
MID_RELIANCE_B_#013,"[アイビー] 
どうしたの…？"
MID_RELIANCE_B_#014,"[ルイ] 
今、アイビー王女… 
少し微笑んだ気がします。"
MID_RELIANCE_B_#015,"[アイビー] 
…そう？"
MID_RELIANCE_B_#016,"[ルイ] 
アイビー王女、紅茶がお好きなのですか？"
MID_RELIANCE_B_#017,"[アイビー] 
ええ… 
けれど、微笑んだ理由は紅茶ではないわ。"
MID_RELIANCE_B_#018,"[アイビー] 
こんな私なんかの笑顔が見たいと… 
手を焼いてくれるルイがおかしかったのね。"
MID_RELIANCE_B_#019,"[ルイ] 
おかしいことなんて何もありません。 
王女の笑顔は素敵ですから。"
MID_RELIANCE_B_#020,"[アイビー] 
…そう。"
MID_RELIANCE_B_#021,"[ルイ] 
あっ、また少し笑顔になりましたね。"
MID_RELIANCE_B_#022,"[アイビー] 
も、もういいでしょう。 
早く紅茶をいれて欲しいわ…"
MID_RELIANCE_B_#023,"[ルイ] 
ははは。 
かしこまりました、アイビー王女。"
MID_RELIANCE_C_#001,"[ルイ] 1 
[アイビー] 2 

[アイビー] 
ルイ。"
MID_RELIANCE_C_#002,"[ルイ] 
はい、アイビー王女。"
MID_RELIANCE_C_#003,"[アイビー] 
貴方はいつもニコニコしているのね… 
何か嬉しいことでもあった？"
MID_RELIANCE_C_#004,"[ルイ] 
そういうわけではありません。 
元々、こういう顔なのです。"
MID_RELIANCE_C_#005,"[アイビー] 
そう… 
不思議ね。"
MID_RELIANCE_C_#006,"[アイビー] 
私はあまり感情を表に出さないから… 
余計に気になるのかもしれないわ。"
