key,text
MID_RELIANCE_A_#001,"[リュール] 1 

[フォガート] 2 

[リュール] 
フォガート。 
今日も鍛錬お疲れ様です。"
MID_RELIANCE_A_#002,"[フォガート] 
神竜様…？"
MID_RELIANCE_A_#003,"[フォガート] 
この前見たことは忘れてって言ったはずだよ。 
どうしてここにきたんだい？"
MID_RELIANCE_A_#004,"[リュール] 
すみません。"
MID_RELIANCE_A_#005,"[リュール] 
あなたが人知れず努力を重ねていると思うと、 
やはり気になってしまって。"
MID_RELIANCE_A_#006,"[フォガート] 
ふふ。神竜様に気にかけてもらえただなんて 
俺は幸せ者だね。"
MID_RELIANCE_A_#007,"[リュール] 
フォガート。 
私にも何か手助けをさせてください。"
MID_RELIANCE_A_#008,"[フォガート] 
手助け？ 
でも、特に困っていることもないし…"
MID_RELIANCE_A_#009,"[リュール] 
では親睦を深めるために、 
一緒に食事でもどうですか？"
MID_RELIANCE_A_#010,"[フォガート] 
一緒に！！　食事！！？"
MID_RELIANCE_A_#011,"[リュール] 
はい。"
MID_RELIANCE_A_#012,"[フォガート] 
ま、まさか神竜様の方から誘ってくれるなんて…！ 
嬉しい！　嬉しいけど、でも…！"
MID_RELIANCE_A_#013,"[フォガート] 
今は、ごめんなさい！！"
MID_RELIANCE_A_#014,"[リュール] 
えっ！ 
ふ、振られてしまいましたね…"
MID_RELIANCE_A_#015,"[フォガート] 
違うんだ！　神竜様との食事は、 
いつか俺が大活躍した日のご褒美にとっておきたい。"
MID_RELIANCE_A_#016,"[フォガート] 
それぐらい価値のある事なんだ。 
食事を励みに、全部頑張れるような気がするから。"
MID_RELIANCE_A_#017,"[リュール] 
…わかりました。 
期待に添えるよう、準備して待っていますね。"
MID_RELIANCE_A_#018,"[フォガート] 
ありがとう。 
俺、これからもみんなのために頑張るよ。"
MID_RELIANCE_A_#019,"[フォガート] 
お気楽で軽ーい自警団の団長、 
そして、ソルム王国の王子としてね。"
MID_RELIANCE_B_#001,"[リュール] 1 

[フォガート] 2 

[フォガート] 
ふぅ… 
今日はこのぐらいにしておくかな…"
MID_RELIANCE_B_#002,"[リュール] 
気軽にいくのが一番という割には、 
鍛錬を頑張っているようですね。"
MID_RELIANCE_B_#003,"[フォガート] 
神竜様！？"
MID_RELIANCE_B_#004,"[リュール] 
その姿を見せれば、自警団の士気が 
もっと上がるのではないですか？"
MID_RELIANCE_B_#005,"[フォガート] 
それはできないよ。 
今日見たことは忘れてくれ。"
MID_RELIANCE_B_#006,"[リュール] 
あなたの性格はわかりますが、 
鍛錬を恥ずかしいと思わなくてもいいですよ。"
MID_RELIANCE_B_#007,"[フォガート] 
そうじゃないんだ。 
恥ずかしいとかじゃなくて…"
MID_RELIANCE_B_#008,"[フォガート] 
俺がお気楽で軽いから、 
仲間たちは笑顔でいられるんだよ。"
MID_RELIANCE_B_#009,"[リュール] 
え？"
MID_RELIANCE_B_#010,"[フォガート] 
俺が必要以上に頑張ってたら、 
知らないうちに重圧を与えることだってある。"
MID_RELIANCE_B_#011,"[フォガート] 
疲れた顔してたら、その空気が 
仲間たちに伝わることだって…"
MID_RELIANCE_B_#012,"[フォガート] 
だから俺は、軽くて笑顔の姿しか見せない。 
みんなを不安にさせないことが、俺の役割なんだ。"
MID_RELIANCE_B_#013,"[リュール] 
…フォガートがそんな風に考えていたなんて。 
ごめんなさい、誤解していました。"
MID_RELIANCE_B_#014,"[リュール] 
あなたの言うとおり、 
今日のことは忘れます。"
MID_RELIANCE_B_#015,"[フォガート] 
ありがとう、神竜様！ 
助かるよ。"
MID_RELIANCE_B_#016,"[リュール] 
あなたのことは影で見守ります。 
これからも頑張ってくださいね。"
MID_RELIANCE_C_#001,"[リュール] 1 

[フォガート] 2 

[リュール] 
フォガート。 
自警団の活動お疲れ様です。"
MID_RELIANCE_C_#002,"[フォガート] 
あははっ。 
このぐらい朝飯前だよ。"
MID_RELIANCE_C_#003,"[フォガート] 
今日は人々の揉め事もなかったし、 
異形兵だってほとんど現れなかった。"
MID_RELIANCE_C_#004,"[フォガート] 
こんな日が毎日続いてくれればいいんだけどね。"
MID_RELIANCE_C_#005,"[リュール] 
そうやって明るい笑顔で人々を守る姿が、 
フォガートが慕われる秘密なんですね。"
MID_RELIANCE_C_#006,"[リュール] 
仲間として、あなたのことを頼もしく思います。"
MID_RELIANCE_C_#007,"[フォガート] 
そんなおおげさな… 
流石に照れちゃうよ。"
MID_RELIANCE_C_#008,"[フォガート] 
あっ、でもさ。 
そんなに褒めてくれるなら、二人で食事でもどう？"
MID_RELIANCE_C_#009,"[リュール] 
食事？"
MID_RELIANCE_C_#010,"[フォガート] 
神竜様と私的な会話もしてみたいんだよね。 
そう！　好きな人のタイプとか！"
MID_RELIANCE_C_#011,"[リュール] 
そ、それはちょっと。"
MID_RELIANCE_C_#012,"[フォガート] 
人に言えない恥ずかしい願望でもいいよ。"
MID_RELIANCE_C_#013,"[リュール] 
もっとダメです！"
MID_RELIANCE_C_#014,"[リュール] 
フォガートの明るい性格は素晴らしいですが、 
その軽いところは問題アリだと思います。"
MID_RELIANCE_C_#015,"[フォガート] 
何事も気軽にいくのが一番だよ。 
軽くない俺なんて俺じゃないだろ？"
MID_RELIANCE_C_#016,"[リュール] 
まあ、そうですね。 
軽くないフォガートは、想像がつきません。"
MID_RELIANCE_C_#017,"[リュール] 
そこがあなたの、 
いいところなのかもしれませんね。"
MID_RELIANCE_S_#001,"[リュール] 1 

[フォガート] 2 

[リュール] 
とても美味しい料理でしたね、フォガート。 
それに素敵なお店でした。"
MID_RELIANCE_S_#002,"[フォガート] 
うん！　神竜様と食べる食事は格別だった。 
大活躍した甲斐があったってもんだよ。"
MID_RELIANCE_S_#003,"[リュール] 
色々ありましたけど、 
フォガートの願いを叶えられてよかったです。"
MID_RELIANCE_S_#004,"[フォガート] 
…………"
MID_RELIANCE_S_#005,"[フォガート] 
俺の願いは食事だけじゃないんだけどね。"
MID_RELIANCE_S_#006,"[リュール] 
他にも願い事が？ 
ああ、最初に言っていた恥ずかしい願望ですか？"
MID_RELIANCE_S_#007,"[フォガート] 
違う！"
MID_RELIANCE_S_#008,"[フォガート] 
いや、違わなくもないけど、 
俺のもう一つの願いは…その…"
MID_RELIANCE_S_#009,"[フォガート] 
…神竜様と、ずっと一緒にいることだ。"
MID_RELIANCE_S_#010,"[リュール] 
え…！"
MID_RELIANCE_S_#011,"[フォガート] 
俺は軽いって自覚があるけど、これは本気さ。 
じゃないと食事を褒美に頑張ったりなんてできない。"
MID_RELIANCE_S_#012,"[リュール] 
ぜ、全然、気づきませんでした。 
そんなふうに思ってくれていただなんて。"
MID_RELIANCE_S_#013,"[フォガート] 
言うつもりはなかったんだ。 
ずっと秘密にしようと思ってたのに。"
MID_RELIANCE_S_#014,"[リュール] 
…フォガートは随分と秘密主義なんですね。"
MID_RELIANCE_S_#015,"[リュール] 
もしかして、他にも秘密があるんじゃないですか？ 
私の他にも同じことを言ってたり…"
MID_RELIANCE_S_#016,"[フォガート] 
ええ！？　な、ないない！ 
天に誓ってそのような人はいません！　本当です！"
MID_RELIANCE_S_#017,"[リュール] 
ふふ。嘘ですよ。 
少し意地悪してみたくなっただけです。"
MID_RELIANCE_S_#018,"[リュール] 
フォガートは軽そうに見えて、実は真面目で一途… 
そのことは、私がよくわかっています。"
MID_RELIANCE_S_#019,"[リュール] 
だから、あなたにこれを。"
MID_RELIANCE_S_#020,"[フォガート] 
『約束の指輪』… 
神竜様、これは！！"
MID_RELIANCE_S_#021,"[リュール] 
ずっと一緒にいるというあなたのお願い、 
これで叶えてあげられます。"
MID_RELIANCE_S_#022,"[リュール] 
秘密主義だったのは私も同じ… 
フォガート、私もあなたと共にいたいと思っていました。"
MID_RELIANCE_S_#023,"[フォガート] 
本当に…！？ 
俺、すごく嬉しいよ。"
MID_RELIANCE_S_#024,"[リュール] 
あなたの本当の姿、 
これからも私だけに見せてくださいね。"
MID_RELIANCE_S_#025,"[フォガート] 
うん…神竜 様！"
MID_RELIANCE_S_#026,"[フォガート] 
ありがとう。俺は世界一の幸せ者だね。 
これからは君だけに、砂漠より大きな俺の愛を捧ぐよ！"
