key,text
MID_RELIANCE_A_#001,"[リュール] 1 
[アイビー] 2 

[リュール] 
アイビーはどうして 
私のことを神様と言うのですか？"
MID_RELIANCE_A_#002,"[アイビー] 
私が一番、辛かった時… 
頼った存在が神竜様だったからよ…"
MID_RELIANCE_A_#003,"[アイビー] 
貴方は私の心の支え… 
まさしく神様だったわ…"
MID_RELIANCE_A_#004,"[リュール] 
何か、つらいことがあったのですか？"
MID_RELIANCE_A_#005,"[アイビー] 
私を取り巻く世界は… 
幼少時から汚いものばかりだったから…"
MID_RELIANCE_A_#006,"[アイビー] 
利己的な思惑が渦巻くイルシオン城内… 
汚い裏工作や嫌がらせも日常茶飯事…"
MID_RELIANCE_A_#007,"[アイビー] 
何より最悪なのが…"
MID_RELIANCE_A_#008,"[アイビー] 
そんな汚い渦の中心にいたのが… 
私の母という事実…"
MID_RELIANCE_A_#009,"[リュール] 
…アイビーの…"
MID_RELIANCE_A_#010,"[アイビー] 
汚い大人たちは…表では着飾り、笑顔を見せ、 
裏では平気で蹴落とし合う……"
MID_RELIANCE_A_#011,"[アイビー] 
…大嫌いだったわ。 
あの空間も、あそこにいる連中も。"
MID_RELIANCE_A_#012,"[アイビー] 
そんな時に私の心の支えになったのが… 
神竜様よ…"
MID_RELIANCE_A_#013,"[リュール] 
どうして私だったんですか？"
MID_RELIANCE_A_#014,"[アイビー] 
最初はただの反抗心だったわ… 
皆が邪竜を信仰する中、秘密裏に神竜を信仰する…"
MID_RELIANCE_A_#015,"[アイビー] 
些細な抵抗かもしれないけれど… 
その頃の私には大きな意味があったの…"
MID_RELIANCE_A_#016,"[アイビー] 
神竜様を思えば思うほど… 
この人たちとは違うと意識できたから…"
MID_RELIANCE_A_#017,"[リュール] 
どんな形にせよ、 
アイビーの力になれたのならよかったです。"
MID_RELIANCE_A_#018,"[アイビー] 
め、目を見てそういうことを言われると… 
とても恥ずかしいわ…"
MID_RELIANCE_A_#019,"[アイビー] 
貴方は私の神様なの… 
もう少し自重してもらいたいものね…"
MID_RELIANCE_A_#020,"[リュール] 
あはは。 
わかりました、気をつけますね。"
MID_RELIANCE_A_#021,"[アイビー] 
神竜様…"
MID_RELIANCE_A_#022,"[アイビー] 
今でも貴方は私の心の支えよ… 
ありがとう…"
MID_RELIANCE_B_#001,"[リュール] 1 
[アイビー] 2 

[アイビー] 
…………"
MID_RELIANCE_B_#002,"[リュール] 
アイビー。 
そろそろ話し合いませんか？"
MID_RELIANCE_B_#003,"[リュール] 
私に対して思うことがあるのなら 
遠慮せずに話してください。"
MID_RELIANCE_B_#004,"[リュール] 
私たちは仲間なのですから。 
壁はできるだけ取り除きたいのです。"
MID_RELIANCE_B_#005,"[アイビー] 
…わかったわ。"
MID_RELIANCE_B_#006,"[アイビー] 
ようやく私も慣れてきたし… 
頃合いね。"
MID_RELIANCE_B_#007,"[リュール] 
よかったです。"
MID_RELIANCE_B_#008,"[リュール] 
では、なぜ私に怒りを感じているのか 
その理由を教えて欲しいです。"
MID_RELIANCE_B_#009,"[アイビー] 
…好き。"
MID_RELIANCE_B_#010,"[リュール] 
へ！？"
MID_RELIANCE_B_#011,"[アイビー] 
私は神竜様のことが好きよ。 
ずっと前から。"
MID_RELIANCE_B_#012,"[アイビー] 
とても尊敬しているわ… 
それが私の気持ち…"
MID_RELIANCE_B_#013,"[リュール] 
え？　で、でも… 
怒った顔で私のことを睨んでましたよね！？"
MID_RELIANCE_B_#014,"[アイビー] 
それはただ緊張していただけ… 
私の神様を目の前にしてね…"
MID_RELIANCE_B_#015,"[リュール] 
そ、そうだったのですか？"
MID_RELIANCE_B_#016,"[アイビー] 
これで伝わったかしら、私の気持ち？"
MID_RELIANCE_B_#017,"[リュール] 
はい、あの… 
ありがとうございます。"
MID_RELIANCE_B_#018,"[リュール] 
私もアイビーのことを尊敬していますから。"
MID_RELIANCE_B_#019,"[アイビー] 
…………"
MID_RELIANCE_B_#020,"[アイビー] 
恥ずかしくなってきたから… 
もう行ってもいいかしら。"
MID_RELIANCE_B_#021,"[リュール] 
は、はい。 
大丈夫です。"
MID_RELIANCE_B_#022,"[リュール] 
それから、すみませんでした。 
私はアイビーを誤解していたようですね。"
MID_RELIANCE_B_#023,"[アイビー] 
…またね。"
MID_RELIANCE_C_#001,"[リュール] 1 
[アイビー] 2 

[アイビー] 
…………"
MID_RELIANCE_C_#002,"[リュール] 
アイビー。 
私に何か用でしょうか？"
MID_RELIANCE_C_#003,"[アイビー] 
いいえ、神竜様…"
MID_RELIANCE_C_#004,"[アイビー] 
用件がなければ 
貴方の傍にいたらダメなのかしら？"
MID_RELIANCE_C_#005,"[リュール] 
そんなことはありませんが…"
MID_RELIANCE_C_#006,"[アイビー] 
そう。 
なら、気にしないで。"
MID_RELIANCE_C_#007,"[リュール] 
…き、気になりますよ。 
そんなに怒った顔でじっと見られては…"
MID_RELIANCE_C_#008,"[アイビー] 
…………"
