key,text
MID_RELIANCE_A_#001,"[リュール] 1 
[メリン] 2 

[リュール] 
メリン。 
誤解してすみませんでした。"
MID_RELIANCE_A_#002,"[メリン] 
神竜様…"
MID_RELIANCE_A_#003,"[リュール] 
メリンの神竜への思いがそこまでだとは 
考えも及びませんでした。"
MID_RELIANCE_A_#004,"[メリン] 
そんな… 
悪いのは僕の方です…"
MID_RELIANCE_A_#005,"[メリン] 
ごめんなさい。神竜様の気も知らないで、 
傷つけることをしてしまって。"
MID_RELIANCE_A_#006,"[リュール] 
メリンの気持ちがわかったら、 
協力しようと思えるようになりました。"
MID_RELIANCE_A_#007,"[リュール] 
確かに、この世界に神竜の文献は少ない…それは、 
気軽に神竜と触れ合う機会がなかったからです。"
MID_RELIANCE_A_#008,"[リュール] 
メリンのように、神竜に興味を持ち、 
後世に伝えようと努めてくれる人は貴重です。"
MID_RELIANCE_A_#009,"[リュール] 
だから今一度… 
好きなだけ私のことを観察してください。"
MID_RELIANCE_A_#010,"[メリン] 
ほ、本当ですか？"
MID_RELIANCE_A_#011,"[リュール] 
はい。"
MID_RELIANCE_A_#012,"[メリン] 
あ、ありがとうございます！ 
僕にとって神竜様は特別なんです。"
MID_RELIANCE_A_#013,"[メリン] 
神たる竜のことを考えると辛いことも 
悲しいことも全て忘れられて…"
MID_RELIANCE_A_#014,"[メリン] 
楽しくて幸せな満ち足りた気持ちになるんです！ 
これは後世に、いや、世界に伝えるべき気持ちです！"
MID_RELIANCE_A_#015,"[リュール] 
ふふ。メリンは面白い人ですね。 
逆にあなたを観察したいぐらいです。"
MID_RELIANCE_A_#016,"[メリン] 
そ、そんな神竜様のような方が… 
畏れ多いです。"
MID_RELIANCE_A_#017,"[リュール] 
でも一つだけ。これからは、 
私を上位の存在などとは思わないでください。"
MID_RELIANCE_A_#018,"[リュール] 
私は世界に一人の竜族ですが… 
あなただって、たった一人の存在なんですから。"
MID_RELIANCE_A_#019,"[メリン] 
！　なるほど。 
互いに唯一無二の存在ということですね。"
MID_RELIANCE_A_#020,"[リュール] 
そういうことです。"
MID_RELIANCE_A_#021,"[リュール] 
図鑑ができたら、 
最初に私に見せてください。約束ですよ。"
MID_RELIANCE_A_#022,"[メリン] 
はい！"
MID_RELIANCE_B_#001,"[リュール] 1 
[メリン] 2 
[メリン] 
じー…"
MID_RELIANCE_B_#002,"[リュール] 
…………"
MID_RELIANCE_B_#003,"[リュール] 
メリン。じっと見られていると 
鍛錬に集中できないのですが…"
