key,text
MID_RELIANCE_A_#001,"[リュール] 1 
[セアダス] 2 

[リュール] 
私は自然体のセアダスでいいと思います。"
MID_RELIANCE_A_#002,"[リュール] 
少しぐらい太ってしまったって、 
別にいいじゃないですか。"
MID_RELIANCE_A_#003,"[セアダス] 
何ですか、いきなり。"
MID_RELIANCE_A_#004,"[リュール] 
確かにセアダスの踊りが美しいのは、 
日頃のたゆまぬ努力の結果だと思います。"
MID_RELIANCE_A_#005,"[リュール] 
ですが、無理をしてしまっては、 
折角の美しさが削がれてしまう気がして。"
MID_RELIANCE_A_#006,"[セアダス] 
美しさが、削がれる…？"
MID_RELIANCE_A_#007,"[リュール] 
セアダスの魅力は、その内面からも 
滲み出るものだと思います。"
MID_RELIANCE_A_#008,"[リュール] 
月夜に亡き人を思って踊るあなたは、 
とても美しかった…"
MID_RELIANCE_A_#009,"[リュール] 
「お腹減ったなー」と思いながら 
踊っていたら、きっとあの美しさは出せません。"
MID_RELIANCE_A_#010,"[セアダス] 
なるほど。 
「お腹いっぱいだなー」と踊る方がいいと？"
MID_RELIANCE_A_#011,"[リュール] 
極端な話、そうです。その方があなたも、 
見た人も幸せな気持ちになれるではないですか。"
MID_RELIANCE_A_#012,"[リュール] 
あなたが美しくあろうとするのは、 
仲間のため…戦に勝つためだとわかっています。"
MID_RELIANCE_A_#013,"[リュール] 
でも倒れてしまっては元も子もありません。 
私は幸せな美しいセアダスが見たいです。"
MID_RELIANCE_A_#014,"[セアダス] 
神竜様…"
MID_RELIANCE_A_#015,"[セアダス] 
その両立は多分めちゃめちゃ難しいです。 
たくさん食え、しかし太るなと言っているのと同じ。"
MID_RELIANCE_A_#016,"[セアダス] 
率直に言うと、素人の考えですね。"
MID_RELIANCE_A_#017,"[リュール] 
うっ…！！"
MID_RELIANCE_A_#018,"[セアダス] 
ですが、言わんとしていることはわかります。 
仲間が無理をしているのを見ては士気も下がる…"
MID_RELIANCE_A_#019,"[セアダス] 
気遣いのお言葉は素直に嬉しかったです。 
ありがとう。"
MID_RELIANCE_A_#020,"[リュール] 
どういたしまして。"
MID_RELIANCE_A_#021,"[セアダス] 
さて、神竜様直々にご忠告いただいたので、 
今日ぐらいは好きなものを食べようかな。"
