key,text
MID_RELIANCE_A_#001,"[リュール] 1 

[スタルーク] 2 

[リュール] 
スタルーク！ 
またオオカミが現れました！"
MID_RELIANCE_A_#002,"[リュール] 
そちらに向かっています！ 
気をつけてください！"
MID_RELIANCE_A_#003,"[スタルーク] 
はい、わかりました。"
MID_RELIANCE_A_#004,"[リュール] 
えっ…どうして棒立ちなんですか？ 
危ないですよ！"
MID_RELIANCE_A_#005,"[スタルーク] 
大丈夫です、神竜様。 
ここは僕に任せてください。"
MID_RELIANCE_A_#006,"[スタルーク] 
ほら、干し肉だよ… 
たくさんお食べ…"
MID_RELIANCE_A_#007,"[リュール] 
！　スタルークが… 
オオカミを手懐けています。"
MID_RELIANCE_A_#008,"[スタルーク] 
彼は以前、 
神竜様を襲ったオオカミなんですよ。"
MID_RELIANCE_A_#009,"[スタルーク] 
さ、山へお帰り… 
気をつけてね…"
MID_RELIANCE_A_#010,"[リュール] 
いつの間に仲良くなったのですか？"
MID_RELIANCE_A_#011,"[スタルーク] 
森で弓の練習をしていたら、 
顔を見せるようになって…"
MID_RELIANCE_A_#012,"[スタルーク] 
最初はお互いに緊張しましたけど… 
神竜様の言葉を思い出したら、上手くいったんです。"
MID_RELIANCE_A_#013,"[リュール] 
私の言葉、ですか？"
MID_RELIANCE_A_#014,"[スタルーク] 
僕は僕らしくていい。 
だから僕らしく、自然体で彼に接しました。"
MID_RELIANCE_A_#015,"[スタルーク] 
すると彼のほうも警戒を解いてくれて、 
今では友だちみたいになれています。"
MID_RELIANCE_A_#016,"[リュール] 
すごいですね…！"
MID_RELIANCE_A_#017,"[スタルーク] 
これも神竜様のご忠告のおかげです。 
本当にありがとうございます。"
MID_RELIANCE_A_#018,"[スタルーク] 
そうだ。お礼に…よいしょ。"
MID_RELIANCE_A_#019,"[リュール] 
土下座はもういいですよ。"
MID_RELIANCE_A_#020,"[スタルーク] 
えっ…"
MID_RELIANCE_A_#021,"[リュール] 
得意技を封じられた可哀想な顔をするのは 
やめてください。"
MID_RELIANCE_A_#022,"[リュール] 
お礼なら… 
私もあのオオカミと一緒に遊びたいです。"
MID_RELIANCE_A_#023,"[リュール] 
良かったら、仲間に入れてください。"
