key,text
MID_RELIANCE_A_#001,"[リュール] 1 
[ゼルコバ] 2"
MID_RELIANCE_A_#002,"[ゼルコバ] 
ふぅ…今日も仕事が終わった… 
あとは寝るまで最高の「暇つぶし」を…"
MID_RELIANCE_A_#003,"[リュール] 
あ、ゼルコバ！　「待って」ましたよ！"
MID_RELIANCE_A_#004,"[ゼルコバ] 
し、神竜様！？"
MID_RELIANCE_A_#005,"[リュール] 
今日は「早く」用が終わったので、 
「一人で」きちゃいました。「いい」ですよね？"
MID_RELIANCE_A_#006,"[ゼルコバ] 
べ、別に「いい」ですけど… 
「しゃべり方」が…無駄に意味深ですよ…！"
MID_RELIANCE_A_#007,"[リュール] 
そうですか？ 
ゼルコバに「影響」されたのかもしれませんね。"
MID_RELIANCE_A_#008,"[ゼルコバ] 
気をつけてくださいよ… 
周りの人たちに「変な目」で見られてしまいます。"
MID_RELIANCE_A_#009,"[リュール] 
そんなの全然「いい」ですよ。 
悪いことをしているわけではありませんからね。"
MID_RELIANCE_A_#010,"[リュール] 
ただ、「意味深に話す」という名の「暇つぶし」に 
「興じて」いるだけですから。"
MID_RELIANCE_A_#011,"[ゼルコバ] 
いやいやいやいや、いけませんよ、神竜様！ 
「俺」みたいな奴の影響だけは「受けちゃ」ダメです！"
MID_RELIANCE_A_#012,"[リュール] 
「どうして」ですか？"
MID_RELIANCE_A_#013,"[ゼルコバ] 
だって、俺と神竜様では「何もかも」が違って… 
神竜様には大事な「やるべきこと」がありますから…"
MID_RELIANCE_A_#014,"[ゼルコバ] 
俺から「変な」悪影響は受けずに、 
ご自分の道を「しっかり」歩んでください。"
MID_RELIANCE_A_#015,"[リュール] 
「嫌」です。少なくとも、この部屋では。"
MID_RELIANCE_A_#016,"[ゼルコバ] 
えっ？"
MID_RELIANCE_A_#017,"[リュール] 
確かに「私」と「ゼルコバ」の間には 
いろんな「違い」があります。"
MID_RELIANCE_A_#018,"[リュール] 
でも、この部屋に「いる」ときは、 
そんな「違い」なんて「関係」なくないですか？"
MID_RELIANCE_A_#019,"[リュール] 
私もあなたも、「暇つぶし」に 
「心」をときめかせているだけです。"
MID_RELIANCE_A_#020,"[ゼルコバ] 
…「ぐうの音」も出ません。 
「下らないこと」を言ってすみませんでした…"
MID_RELIANCE_A_#021,"[リュール] 
謝らないでください。それより「早く」！ 
今日も収集の「説明」をしてください！"
MID_RELIANCE_A_#022,"[ゼルコバ] 
わかりました。 
では今日は、「これ」はどうですかね。"
MID_RELIANCE_A_#023,"[ゼルコバ] 
「無駄に意味深に言ってみたい、１００の言葉」"
