key,text
MID_RELIANCE_A_#001,"[メリン] 1 

[ボネ] 2 
[メリン] 
…ボネ。 
こんなところに呼び出して、なんの用だい？"
MID_RELIANCE_A_#002,"[メリン] 
もし珍獣の料理を出そうというのなら、 
そのときは…"
MID_RELIANCE_A_#003,"[ボネ] 
落ち着け。それは誤解だ。"
MID_RELIANCE_A_#004,"[メリン] 
えっ？"
MID_RELIANCE_A_#005,"[ボネ] 
私が興味があるのは、 
いわゆる珍獣のことではない…"
MID_RELIANCE_A_#006,"[ボネ] 
お前のことだ。"
MID_RELIANCE_A_#007,"[メリン] 
…………"
MID_RELIANCE_A_#008,"[メリン] 
…はい？"
MID_RELIANCE_A_#009,"[ボネ] 
メリンとは同じソルムの王族に仕えていながら、 
あまり深く関わる機会がなかった。"
MID_RELIANCE_A_#010,"[ボネ] 
なかなか話しかけにくくてな… 
私は内に籠るタイプだが、お前は活動的だ。"
MID_RELIANCE_A_#011,"[ボネ] 
口を開けば、珍獣、珍獣… 
しかし、いつも…本当に楽しそうだった。"
MID_RELIANCE_A_#012,"[ボネ] 
そんなお前のことを、私は「珍獣メリン」と呼び、 
いつの日か友だちになりたいと思っていた。"
MID_RELIANCE_A_#013,"[ボネ] 
…それだけのことだ。"
MID_RELIANCE_A_#014,"[メリン] 
…………"
MID_RELIANCE_A_#015,"[メリン] 
ぼ、僕が珍獣…？"
MID_RELIANCE_A_#016,"[ボネ] 
すまない。言葉が足りなかったか… 
珍獣好きのメリン、という意味だ。"
MID_RELIANCE_A_#017,"[ボネ] 
決して侮辱しているわけでは…"
MID_RELIANCE_A_#018,"[メリン] 
珍獣メリン！！！！ 
最っ高の呼び名じゃないか！！！！"
MID_RELIANCE_A_#019,"[ボネ] 
ん？"
MID_RELIANCE_A_#020,"[メリン] 
ごめんよ、ボネ！ 
僕と仲良くなりたいと思ってくれていただなんて。"
MID_RELIANCE_A_#021,"[メリン] 
僕は完全に誤解していたみたいだ…！"
MID_RELIANCE_A_#022,"[ボネ] 
いや、謝る必要はない。 
誤解させてしまったのは私のせいだ。"
