key,text
MID_RELIANCE_A_#001,"[メリン] 1 
[ヴェイル] 2 

[ヴェイル] 
メリン、ありがとう。"
MID_RELIANCE_A_#002,"[メリン] 
…へ！？"
MID_RELIANCE_A_#003,"[メリン] 
ど、どどど…どうしたのですか？ 
急にありがとうなどと…"
MID_RELIANCE_A_#004,"[ヴェイル] 
前に竜族であることを長所にした方がいいって、 
そう言ってくれたよね。"
MID_RELIANCE_A_#005,"[ヴェイル] 
まだあんまり自分で長所だと思えるところは 
見つかってないけど…"
MID_RELIANCE_A_#006,"[ヴェイル] 
あなたのその言葉のおかげで、 
少しだけ前向きになれた気がするんだ。"
MID_RELIANCE_A_#007,"[ヴェイル] 
だから、ありがとう。"
MID_RELIANCE_A_#008,"[メリン] 
ヴェイル様…"
MID_RELIANCE_A_#009,"[メリン] 
ううう…っ！"
MID_RELIANCE_A_#010,"[ヴェイル] 
メ、メリン！？ 
どうかしたの！？"
MID_RELIANCE_A_#011,"[メリン] 
だ、大丈夫です…ヴェイル様に感謝されて… 
うぅ…喜びで…涙が出てきただけです…"
MID_RELIANCE_A_#012,"[メリン] 
僕はこの喜びを一生忘れませんっ！"
MID_RELIANCE_A_#013,"[ヴェイル] 
もう、おおげさなんだから。 
メリンって本当に珍しい人よね。"
MID_RELIANCE_A_#014,"[メリン] 
僕たち珍しい者同士ですからね。"
MID_RELIANCE_A_#015,"[ヴェイル] 
ふふっ、そうだったね。"
MID_RELIANCE_A_#016,"[メリン] 
決めました！"
MID_RELIANCE_A_#017,"[メリン] 
僕もこれからはヴェイル様の 
竜族としての長所探しを手伝います。"
MID_RELIANCE_A_#018,"[メリン] 
僕ほど竜族を愛している人間は 
他にいないと自負がありますから。"
MID_RELIANCE_A_#019,"[メリン] 
たくさんたくさん、 
長所を見つけて差し上げます。"
MID_RELIANCE_A_#020,"[ヴェイル] 
嬉しいな。確かにメリンよりも 
頼もしい人はいなさそうだね。"
MID_RELIANCE_A_#021,"[メリン] 
さっそく見つけました！"
MID_RELIANCE_A_#022,"[メリン] 
ヴェイル様のその優しさも、竜族として長生きし、 
いろんな経験を積んできたからこその長所です！"
MID_RELIANCE_A_#023,"[ヴェイル] 
そ、そうなのかな。 
えへへ…照れちゃうよ。"
MID_RELIANCE_A_#024,"[メリン] 
こんなのはまだまだ序の口です。 
これから百…いや千は長所を見つけてみせます。"
MID_RELIANCE_A_#025,"[メリン] 
ヴェイル様。 
覚悟していてくださいね。"
MID_RELIANCE_A_#026,"[ヴェイル] 
わかったわ。あなたのおかげで 
とっても前向きになれる気がするよ。"
MID_RELIANCE_A_#027,"[ヴェイル] 
ありがとう、メリン。"
MID_RELIANCE_B_#001,"[メリン] 1 
[ヴェイル] 2 
[メリン] 
はぁ…ヴェイル様…素敵だなぁ。 
見てるだけで幸せです。"
