key,text
MID_RELIANCE_A_#001,"[ミスティラ] 1 

[ミスティラ] 
揚がれ～揚がれ～。 
美味しくこんがり～。"
MID_RELIANCE_A_#002,"[セアダス] 2 

[セアダス] 
あ、あああ…"
MID_RELIANCE_A_#003,"[セアダス] 
また匂いに釣られて… 
ここまできてしまった…！"
MID_RELIANCE_A_#004,"[セアダス] 
俺はなんて愚かなんだ！ 
申し訳ありません、ミスティラ王女！"
MID_RELIANCE_A_#005,"[ミスティラ] 
いいんだよ、セアダス。"
MID_RELIANCE_A_#006,"[ミスティラ] 
だって今回はあたしがセアダスを 
おびき寄せたんだから。"
MID_RELIANCE_A_#007,"[セアダス] 
おびき寄せた？"
MID_RELIANCE_A_#008,"[ミスティラ] 
そ。セアダスはお肉を焼くよりも 
揚げた方が好みなのは調査済み。"
MID_RELIANCE_A_#009,"[セアダス] 
なぜそうまでして俺をここへ…"
MID_RELIANCE_A_#010,"[ミスティラ] 
見て、セアダス！ 
こんがり揚がったお肉をパンにはさんだよ！"
MID_RELIANCE_A_#011,"[セアダス] 
ううっ！ 
それは俺の大好物です！"
MID_RELIANCE_A_#012,"[ミスティラ] 
うんうん。 
知ってるよ、セアダス。"
MID_RELIANCE_A_#013,"[ミスティラ] 
そしてこっちにはクリーミーなチーズに、 
たーっぷりの蜂蜜をかけたものもあるんだよ！"
MID_RELIANCE_A_#014,"[セアダス] 
ぐうっ！　それも俺の大好物です。 
体形が崩れるので、めったには食べませんが…"
MID_RELIANCE_A_#015,"[セアダス] 
しかしミスティラ王女…"
MID_RELIANCE_A_#016,"[セアダス] 
こんなに俺の好物ばかりを用意して、 
一体、何を考えているのですか？"
MID_RELIANCE_A_#017,"[ミスティラ] 
どうぞ、召し上がれ！"
MID_RELIANCE_A_#018,"[セアダス] 
へ！？"
MID_RELIANCE_A_#019,"[セアダス] 
そ、そんなこと言われましても。 
太ったら戦にも支障が…"
