key,text
MID_RELIANCE_A_#001,"[パンドロ] 1 
[セアダス] 2 

[パンドロ] 
ふんふん。 
ふんふふ～ん。"
MID_RELIANCE_A_#002,"[セアダス] 
パンドロ。"
MID_RELIANCE_A_#003,"[パンドロ] 
セアダスか。 
つまらない練習ならもうやらないぜ。"
MID_RELIANCE_A_#004,"[セアダス] 
あれだけ教えたのに、 
ひどいステップのままだね。"
MID_RELIANCE_A_#005,"[パンドロ] 
なんだよ… 
嫌味を言いにきたのか？"
MID_RELIANCE_A_#006,"[セアダス] 
ううん。パンドロの踊りを見て… 
俺は間違ってたんだと気づかされた。"
MID_RELIANCE_A_#007,"[パンドロ] 
は？"
MID_RELIANCE_A_#008,"[セアダス] 
楽しく踊る。 
それがやっぱり一番大切なんだ。"
MID_RELIANCE_A_#009,"[セアダス] 
俺が踊りを教えてたとき、 
パンドロはただ辛そうだった。"
MID_RELIANCE_A_#010,"[セアダス] 
でも、今はとても楽しそうに踊ってた。"
MID_RELIANCE_A_#011,"[パンドロ] 
まあな… 
実際、楽しかったし。"
MID_RELIANCE_A_#012,"[セアダス] 
それが全てだよ。"
MID_RELIANCE_A_#013,"[セアダス] 
俺はまだまだ未熟だな。 
こんなんじゃ師匠に怒られちゃうよ。"
MID_RELIANCE_A_#014,"[セアダス] 
パンドロ。 
練習を無理強いしてごめんね。"
MID_RELIANCE_A_#015,"[パンドロ] 
…………"
MID_RELIANCE_A_#016,"[パンドロ] 
オレはセアダスと一緒に踊りたかったんだ。"
MID_RELIANCE_A_#017,"[セアダス] 
え？"
MID_RELIANCE_A_#018,"[パンドロ] 
その気持ちは今も変わってない。 
ただ、練習が合わなかったってだけで…"
MID_RELIANCE_A_#019,"[パンドロ] 
なあ… 
もう一度、オレと踊ってくれないか？"
MID_RELIANCE_A_#020,"[セアダス] 
うん。喜んで。"
MID_RELIANCE_A_#021,"[セアダス] 
心のおもむくままに体を動かす。 
それだって立派な踊りだからね。"
MID_RELIANCE_A_#022,"[パンドロ] 
ああ、楽しく踊ろうぜ！ 
思い切り！"
MID_RELIANCE_A_#023,"[パンドロ] 
…で、その後また踊りを教えてくれないか？ 
あんまり厳しくなく、少しだけでいいから。"
MID_RELIANCE_A_#024,"[セアダス] 
もちろんだよ、パンドロ。 
今度は優しくしてあげる。"
MID_RELIANCE_B_#001,"[パンドロ] 1 
[セアダス] 2 

[セアダス] 
いちにーさんしー。 
ごーろくしちはち。"
MID_RELIANCE_B_#002,"[セアダス] 
にーにーさんしー。 
ごーろくしちはち。"
MID_RELIANCE_B_#003,"[パンドロ] 
って、うわぁっ！"
MID_RELIANCE_B_#004,"[パンドロ] 
セ、セアダス！ 
ちょっと待てっ！"
MID_RELIANCE_B_#005,"[セアダス] 
パンドロ… 
また足が絡まったの？"
MID_RELIANCE_B_#006,"[パンドロ] 
仕方ないだろ。 
ずっと自己流で踊ってきたんだから。"
MID_RELIANCE_B_#007,"[セアダス] 
うーん。 
これは基礎から勉強した方がいいのかも。"
MID_RELIANCE_B_#008,"[パンドロ] 
じゃ、自由に踊れないってことか？"
MID_RELIANCE_B_#009,"[セアダス] 
仕方ないよ。パンドロのためだし。"
MID_RELIANCE_B_#010,"[パンドロ] 
…………"
MID_RELIANCE_B_#011,"[セアダス] 
俺だって昔はまともに踊れなくてさ。 
舞踏家の師匠に教わって変わったんだ。"
MID_RELIANCE_B_#012,"[セアダス] 
厳しい特訓で何度も逃げ出したくなったけど、 
今ではいい思い出だ。"
MID_RELIANCE_B_#013,"[セアダス] 
あのとき師匠がしてくれたように 
俺もパンドロに踊りを教えてみせるから。"
MID_RELIANCE_B_#014,"[パンドロ] 
そんなこと… 
オレは頼んでねーよ。"
MID_RELIANCE_B_#015,"[セアダス] 
えっ… 
俺はパンドロのためを思って…"
MID_RELIANCE_B_#016,"[パンドロ] 
オレはただ楽しく踊りたいだけなんだ。 
だからもう辞めさせてもらうぜ。"
MID_RELIANCE_B_#017,"[パンドロ] 
セアダス。 
少しの間だけど教えてくれてありがとうな。"
MID_RELIANCE_B_#018,"[セアダス] 
パンドロ…"
MID_RELIANCE_C_#001,"[セアダス] 2 

[セアダス] 
…ふう。 
いい感じに踊れたな。"
MID_RELIANCE_C_#002,"[パンドロ] 1 

[パンドロ] 
セアダス。 
アンタの踊り、大したもんだな。"
MID_RELIANCE_C_#003,"[セアダス] 
俺は踊りを仕事にしているからね。 
これぐらいは当然だよ。"
MID_RELIANCE_C_#004,"[パンドロ] 
セアダスの踊りを見ていたら、 
なんだかオレも踊りたくなってきたぜ。"
MID_RELIANCE_C_#005,"[パンドロ] 
なあ…もしよかったら、 
一緒に踊ってくれないか？"
MID_RELIANCE_C_#006,"[セアダス] 
うん、いいよ。"
MID_RELIANCE_C_#007,
MID_RELIANCE_C_#008,"[パンドロ] 
決まったぜ！ 
セアダス、最高の踊りだったな！"
MID_RELIANCE_C_#009,"[セアダス] 
…………"
MID_RELIANCE_C_#010,"[セアダス] 
こんな踊りは初めてだ。 
体の動きは滅茶苦茶で、リズムとも合ってない…"
MID_RELIANCE_C_#011,"[セアダス] 
仲間内で暗黒舞踏と呼ばれているのも頷ける、 
ひどい踊りだったよ…"
MID_RELIANCE_C_#012,"[パンドロ] 
そーかよ。 
でも、オレは楽しく踊れて気持ちよかったぜ。"
MID_RELIANCE_C_#013,"[セアダス] 
…それでいいの？"
MID_RELIANCE_C_#014,"[パンドロ] 
いいの…って言われてもな。"
MID_RELIANCE_C_#015,"[セアダス] 
踊りが好きなんでしょ？ 
やるからにはうまくならないと。"
MID_RELIANCE_C_#016,"[パンドロ] 
んー。 
そういうものなのか？"
MID_RELIANCE_C_#017,"[セアダス] 
安心して。 
俺がしっかり踊りを教えてあげるから。"
MID_RELIANCE_C_#018,"[パンドロ] 
まあ、セアダスがそういうなら… 
よろしく頼むぜ。"
