key,text
MID_RELIANCE_A_#001,"[ヴェイル] 2 

[ヴェイル] 
ここにも花が落ちてる。 
不思議…セアダスの占いの通りだわ。"
MID_RELIANCE_A_#002,"[セアダス] 1 

[セアダス] 
満月の夜、 
金色に光る花を拾い集めると望みが叶う…"
MID_RELIANCE_A_#003,"[セアダス] 
その手にしている花… 
俺の占いを覚えていてくれたのですね。"
MID_RELIANCE_A_#004,"[ヴェイル] 
そうなの。 
でも花の色は白で、金じゃないけど…"
MID_RELIANCE_A_#005,"[セアダス] 
それを満月のほうに掲げてください。"
MID_RELIANCE_A_#006,"[ヴェイル] 
えっ？　こう？"
MID_RELIANCE_A_#007,"[ヴェイル] 
…………"
MID_RELIANCE_A_#008,"[ヴェイル] 
あっ…すごい…！ 
金色に光ってる…！"
MID_RELIANCE_A_#009,"[セアダス] 
その花は満月の夜にだけ、咲くのです。"
MID_RELIANCE_A_#010,"[セアダス] 
花びらは透き通るように白く、 
月の光を浴びて金色に輝きます。"
MID_RELIANCE_A_#011,"[ヴェイル] 
とっても綺麗…！"
MID_RELIANCE_A_#012,"[セアダス] 
その花の香りには、 
癒しの力があるとされています。"
MID_RELIANCE_A_#013,"[セアダス] 
これでヴェイル様のお体が、 
少しでも楽になられたら嬉しいです。"
MID_RELIANCE_A_#014,"[ヴェイル] 
…………"
MID_RELIANCE_A_#015,"[ヴェイル] 
ありがとう、セアダス。 
わたしなんかのために手の込んだことをしてくれて。"
MID_RELIANCE_A_#016,"[セアダス] 
なにがですか？"
MID_RELIANCE_A_#017,"[ヴェイル] 
とぼけても無駄。わたしのために、 
ひと芝居打ってくれたんでしょう。"
MID_RELIANCE_A_#018,"[セアダス] 
さあ、どうでしょう。 
占い師は手の内を明かさないものです。"
MID_RELIANCE_A_#019,"[ヴェイル] 
もう…"
MID_RELIANCE_A_#020,"[セアダス] 
…恩返しですよ。"
MID_RELIANCE_A_#021,"[ヴェイル] 
えっ？"
MID_RELIANCE_A_#022,"[セアダス] 
あなたの優しさのおかげで、 
占いの調子が戻ってきました。"
MID_RELIANCE_A_#023,"[ヴェイル] 
そう。それはよかった。"
MID_RELIANCE_A_#024,"[ヴェイル] 
ねえ。セアダス。 
今夜の月、本当に綺麗。"
MID_RELIANCE_A_#025,"[セアダス] 
ですね。 
この月はずっと忘れることがないと思います。"
MID_RELIANCE_A_#026,"[ヴェイル] 
うん、わたしも。"
MID_RELIANCE_A_#027,"[ヴェイル] 
満月の夜、 
金色に光る花を拾い集めると望みが叶う…"
MID_RELIANCE_A_#028,"[ヴェイル] 
わたしの望みは、この世界の平和と、 
みんなの幸せ。それから…"
MID_RELIANCE_A_#029,"[ヴェイル] 
…あなたの幸せも、ずっと願ってるよ。"
MID_RELIANCE_A_#030,"[セアダス] 
えっ？　何か言いましたか？"
MID_RELIANCE_A_#031,"[ヴェイル] 
ううん、何も。 
気のせいだと思う。"
MID_RELIANCE_B_#001,"[セアダス] 1 
[ヴェイル] 2 

[ヴェイル] 
セアダス。 
この間の占い、大当たりだったよ。"
MID_RELIANCE_B_#002,"[セアダス] 
え？"
MID_RELIANCE_B_#003,"[ヴェイル] 
あなたに言われた通り、市場で猫のものまねをしたの。 
ニャーンって。"
MID_RELIANCE_B_#004,"[セアダス] 
そ、そんな… 
無視してくださいと言ったじゃないですか。"
MID_RELIANCE_B_#005,"[ヴェイル] 
わたしも半信半疑だった。 
でもね、やってみたらすごいことが起きたの。"
MID_RELIANCE_B_#006,"[ヴェイル] 
わたしの猫のものまねがうまかったみたいで、 
ネズミたちが市場から逃げていったんだって。"
MID_RELIANCE_B_#007,"[ヴェイル] 
で、市場の人たちは大喜び。 
美味しい料理を食べさせてもらったの。"
MID_RELIANCE_B_#008,"[ヴェイル] 
おかげで疲れも吹き飛んだわ。 
あなたの占いのおかげね。ありがとう！"
MID_RELIANCE_B_#009,"[セアダス] 
そんな…あの日は調子が悪かったのに。 
そこまで的中させたなんて…さすが俺…！"
MID_RELIANCE_B_#010,"[セアダス] 
とは、ならないですよ。"
MID_RELIANCE_B_#011,"[ヴェイル] 
えっ？"
