key,text
MID_RELIANCE_A_#001,"[スタルーク] 1 

[フォガート] 2 

[フォガート] 
やぁ、スタルーク王子。"
MID_RELIANCE_A_#002,"[スタルーク] 
ひえっ！？ 
フォガート王子！"
MID_RELIANCE_A_#003,"[フォガート] 
あはは！ 
いつになったら俺に慣れてくれるんだろうな。"
MID_RELIANCE_A_#004,"[スタルーク] 
ごめんなさい… 
でも、フォガート王子の笑顔がまぶしくて。"
MID_RELIANCE_A_#005,"[スタルーク] 
一体、どんな幼少期を過ごせば… 
そんなに友好的な性格になれるんでしょうか。"
MID_RELIANCE_A_#006,"[フォガート] 
俺の子供の頃のこと知りたいの？ 
なら、いくらでも話してあげるよ。"
MID_RELIANCE_A_#007,"[フォガート] 
って言ってもさ、 
そんなに特別なことはしてないと思うよ？"
MID_RELIANCE_A_#008,"[フォガート] 
ソルムの第一王子として 
一通りの教育は受けたけど…"
MID_RELIANCE_A_#009,"[フォガート] 
がちがちに縛られて育ったわけでもないし。 
むしろ自由にさせてくれたからねー。"
MID_RELIANCE_A_#010,"[フォガート] 
しょっちゅう城を抜け出して、 
町へと繰り出して遊んでたよー。"
MID_RELIANCE_A_#011,"[スタルーク] 
ソルムの人たちは 
自由を大切にすると聞きましたけど…"
MID_RELIANCE_A_#012,"[スタルーク] 
まさか王族の人たちまで… 
これほどまでに自由とは思いませんでした…"
MID_RELIANCE_A_#013,"[スタルーク] 
でも、そういう生き方が、 
今のフォガート王子を作ったのでしょうね。"
MID_RELIANCE_A_#014,"[スタルーク] 
誰にでも優しく… 
親切に接してくれる素晴らしい人に…"
MID_RELIANCE_A_#015,"[フォガート] 
褒めてくれてありがとう、スタルーク王子。"
MID_RELIANCE_A_#016,"[スタルーク] 
ひょええ…！ 
またフォガート王子が、僕を眩しい目で見つめて…"
MID_RELIANCE_A_#017,"[フォガート] 
あーっと、逃げちゃう前に言っとくね。"
MID_RELIANCE_A_#018,"[フォガート] 
スタルーク王子はなかなか 
素直に言葉を受け取ってくれないよね。"
MID_RELIANCE_A_#019,"[スタルーク] 
あ… 
ごめんなさい…"
MID_RELIANCE_A_#020,"[フォガート] 
俺が君を好きだっていうのくらいは、 
信じてくれてもいいんじゃない？"
MID_RELIANCE_A_#021,"[フォガート] 
弟王子の立場同士… 
これだけ仲良くなれたんだしさ。"
MID_RELIANCE_A_#022,"[スタルーク] 
フォガート王子…"
MID_RELIANCE_A_#023,"[スタルーク] 
は、はい… 
信じます。"
MID_RELIANCE_A_#024,"[スタルーク] 
僕なんかのことを好きと言ってくれて… 
ありがとうございます。"
MID_RELIANCE_A_#025,"[スタルーク] 
僕もフォガート王子のこと… 
好きですから…"
MID_RELIANCE_A_#026,"[フォガート] 
ほんと！？　今、好きって言った！？ 
嬉しいなー！"
MID_RELIANCE_A_#027,"[スタルーク] 
あ、あああ…！ 
僕ったらなんて恥ずかしいことを！"
MID_RELIANCE_A_#028,"[スタルーク] 
すみません、すみません…！"
MID_RELIANCE_A_#029,"[フォガート] 
謝ることないよ。これで俺たちは好き同士。 
もう親友みたいなもんだね！"
MID_RELIANCE_A_#030,"[スタルーク] 
親友…？ 
は、はじめてできました。親友…"
MID_RELIANCE_A_#031,"[スタルーク] 
僕、ちょっと…いえ、 
すごく嬉しいです。フォガート王子。"
MID_RELIANCE_B_#001,"[スタルーク] 1 

[フォガート] 2 

[フォガート] 
スタルーク王子はさ、 
子供の頃はどんな感じだったの？"
MID_RELIANCE_B_#002,"[スタルーク] 
どうして知りたいのですか…？ 
僕なんかの子供の頃のことを。"
MID_RELIANCE_B_#003,"[フォガート] 
ほら、この間言ってたじゃん。"
MID_RELIANCE_B_#004,"[フォガート] 
俺たちは同じような境遇で育ったのに 
全然、違う性格だって。"
MID_RELIANCE_B_#005,"[フォガート] 
なんか子供の頃とかに、 
その秘密が隠れてるんじゃないかと思ってさ。"
MID_RELIANCE_B_#006,"[スタルーク] 
そういうことですか… 
なら、お話しますけど別に面白くないですよ？"
