key,text
MID_RELIANCE_A_#001,"[アンバー] 1 
[メリン] 2 

[アンバー] 
メリン！ 
すまなかった！"
MID_RELIANCE_A_#002,"[メリン] 
ど、どうして謝るんだい？"
MID_RELIANCE_A_#003,"[アンバー] 
この前の手合わせだが… 
本当に負けたんだ！"
MID_RELIANCE_A_#004,"[メリン] 
…………"
MID_RELIANCE_A_#005,"[アンバー] 
最初に転んだのは作戦なんかじゃない。 
自分の不注意で転んだだけなんだ。"
MID_RELIANCE_A_#006,"[アンバー] 
俺は本当におっちょこちょいで…"
MID_RELIANCE_A_#007,"[アンバー] 
ブロディア王国の騎士になれたのも 
運が良かったからにすぎないんだ！"
MID_RELIANCE_A_#008,"[メリン] 
そんなことないよ。"
MID_RELIANCE_A_#009,"[メリン] 
僕も小さな村出身だから 
臣下になるための苦労はよくわかる。"
MID_RELIANCE_A_#010,"[メリン] 
ものすごい努力をしなければ、 
ブロディア王国第一王子の臣下にはなれないさ。"
MID_RELIANCE_A_#011,"[メリン] 
おっちょこちょいかもしれないけど、 
アンバーが立派な騎士なのは間違いないと思う。"
MID_RELIANCE_A_#012,"[アンバー] 
ありがとう、メリン。 
そう言ってもらえて嬉しいよ。"
MID_RELIANCE_A_#013,"[アンバー] 
俺はもっともっと強くなりたい。 
メリン、これから鍛錬に付き合ってくれないか？"
MID_RELIANCE_A_#014,"[メリン] 
もちろんだよ。ブロディア王国の騎士と 
鍛錬するのは光栄なことだからね。"
MID_RELIANCE_A_#015,"[アンバー] 
よし、燃えてきたぞ！ 
今日からとことん鍛錬だ！"
MID_RELIANCE_A_#016,"[アンバー] 
おっちょこちょいを直して、 
恥じることのないブロディアの騎士になってやるぜ！"
MID_RELIANCE_A_#017,"[メリン] 
ブロディアの騎士の強さって、 
こういうひたむきな姿勢にあるのかも。"
MID_RELIANCE_A_#018,"[メリン] 
ふふ、僕も見習わなくてはね。"
MID_RELIANCE_B_#001,"[アンバー] 1 
[メリン] 2 
[メリン] 
今日は僕にアンバーの強さの秘密について 
教えてくれないか？"
MID_RELIANCE_B_#002,"[アンバー] 
強さの秘密か… 
それなら牧場で体力を付けたことに尽きるな。"
MID_RELIANCE_B_#003,"[メリン] 
体力が大事ってことかい？"
MID_RELIANCE_B_#004,"[アンバー] 
そうだ。 
体力さえ続けば、いくらでも鍛錬ができる。"
MID_RELIANCE_B_#005,"[メリン] 
なるほど…勉強になるね。"
MID_RELIANCE_B_#006,"[メリン] 
それにしても、アルパカのお世話で 
体力が培われるなんて夢みたいな話だよ。"
MID_RELIANCE_B_#007,"[メリン] 
僕の国にもアルパカがいたらな…"
MID_RELIANCE_B_#008,"[アンバー] 
体力作りなら俺が付き合ってもいいぞ。"
MID_RELIANCE_B_#009,"[メリン] 
本当？"
MID_RELIANCE_B_#010,"[アンバー] 
まずは何から始める？ 
走り込みか、それとも体幹から鍛えるか？"
MID_RELIANCE_B_#011,"[メリン] 
それなら、今の自分の体力を測るために 
まずはアンバーと手合わせをしてみたいな。"
MID_RELIANCE_B_#012,"[アンバー] 
おお、それはいい考えだな。 
すぐにでも相手になってやろうじゃないか。"
MID_RELIANCE_B_#013,"[メリン] 
僕では相手にもならないと思うけど、 
本気でいくからよろしく頼むよ。"
MID_RELIANCE_B_#014,
MID_RELIANCE_B_#015,"[アンバー] 
ま、参った…"
MID_RELIANCE_B_#016,"[メリン] 
うそ… 
あっさり勝っちゃった…"
MID_RELIANCE_B_#017,"[アンバー] 
転んで一本とられてしまうとは、 
なんたる不覚…！"
MID_RELIANCE_B_#018,"[メリン] 
この前の作戦みたいに、 
僕のことを油断させようとしたの？"
MID_RELIANCE_B_#019,"[アンバー] 
…………"
MID_RELIANCE_B_#020,"[アンバー] 
メリン、すまない。 
今日はこれまでにしてくれ…"
MID_RELIANCE_B_#021,"[メリン] 
う、うん…"
MID_RELIANCE_C_#001,"[アンバー] 1 
[メリン] 2 
[メリン] 
アンバー。ブロディア王国の騎士は、 
普段どうやって鍛えているんだい？"
MID_RELIANCE_C_#002,"[アンバー] 
鍛え方？ 
どうしてそんなこと聞くんだよ。"
MID_RELIANCE_C_#003,"[メリン] 
昔から僕は、 
ブロディア王国の騎士に憧れていてね。"
MID_RELIANCE_C_#004,"[メリン] 
武力の国とも言われるブロディアの鍛錬方法が 
どんなものなのか…ずっと気になっていたんだよ。"
MID_RELIANCE_C_#005,"[アンバー] 
確かに俺たちの国には屈強な戦士が多い。 
それは鍛錬方法より環境の問題が大きいんだ。"
MID_RELIANCE_C_#006,"[アンバー] 
ブロディア王国には険しい崖や峡谷が多い。 
土地も痩せていて、作物を育てるのも大変だ。"
MID_RELIANCE_C_#007,"[アンバー] 
人々は鉱業などを生業にして、 
自然と力が付いていったというわけだ。"
MID_RELIANCE_C_#008,"[メリン] 
なるほどね。日々の暮らしの中に 
強くなるための鍛錬が含まれていたというわけか。"
MID_RELIANCE_C_#009,"[アンバー] 
俺も昔はアルパカ牧場の手伝いをしていてな。 
エサやりや掃除でかなりの体力を付けたものだ。"
MID_RELIANCE_C_#010,"[メリン] 
アルパカって！ 
あの珍獣で有名なアルパカかい！？"
MID_RELIANCE_C_#011,"[メリン] 
す、すごいじゃないか！ 
僕は珍獣が大好きなんだ！"
MID_RELIANCE_C_#012,"[メリン] 
牧場にいたのなら詳しいだろう。 
もっと彼らの生態を教えてほしい！"
MID_RELIANCE_C_#013,"[アンバー] 
アルパカはもこもこで可愛いぞ。"
MID_RELIANCE_C_#014,"[アンバー] 
こちらを警戒して、 
たまにつばを吐いてくるのだけは危険だがな。"
