key,text
MID_RELIANCE_A_#001,"[アンバー] 1 
[セアダス] 2 

[セアダス] 
アンバー、ちょっといいかな。"
MID_RELIANCE_A_#002,"[アンバー] 
セアダスか… 
いや、しばらく放っておいてくれ…"
MID_RELIANCE_A_#003,"[アンバー] 
あんたの顔を見ると、自分を救世主だと思って 
ぬか喜びした苦い思い出が蘇る…"
MID_RELIANCE_A_#004,"[セアダス] 
その話なんだけど、雨は降った。 
あなたは救世主だ。"
MID_RELIANCE_A_#005,"[アンバー] 
…………"
MID_RELIANCE_A_#006,"[アンバー] 
えっ？"
MID_RELIANCE_A_#007,"[アンバー] 
いやいや、さすがの俺もそんな嘘には騙されないぞ！ 
だってあのとき、雨は全く降らなかった！"
MID_RELIANCE_A_#008,"[アンバー] 
俺が落ち込んでいると思って、 
元気づけようとしてくれる気持ちはありがたい。"
MID_RELIANCE_A_#009,"[アンバー] 
でも、そんなことしなくても大丈夫だ。 
むしろ逆に傷つくぜ…"
MID_RELIANCE_A_#010,"[セアダス] 
違う、そうじゃない。 
本当に降ったんだよ。"
MID_RELIANCE_A_#011,"[セアダス] 
俺たちがいたあの場所じゃなくて、隣町に。"
MID_RELIANCE_A_#012,"[アンバー] 
えっ？"
MID_RELIANCE_A_#013,"[セアダス] 
その町は長い間、雨が降らず… 
農作物は全滅寸前だったらしい。"
MID_RELIANCE_A_#014,"[セアダス] 
それがなんの前触れもなく、 
局地的に雨が降り始めたんだってさ。"
MID_RELIANCE_A_#015,"[セアダス] 
アンバーがわけのわからない術を 
唱えた直後のことだよ。"
MID_RELIANCE_A_#016,"[アンバー] 
なななななんだって！？ 
俺…すごすぎるだろ…"
MID_RELIANCE_A_#017,"[アンバー] 
ずっとなりたかった、 
すっごくかっこいい救世主じゃないか！"
MID_RELIANCE_A_#018,"[アンバー] 
うぅ…嬉しいぜ… 
誰かを救えることがこんなに嬉しいなんて！"
MID_RELIANCE_A_#019,"[セアダス] 
今度、戦が落ち着いたら一緒に隣町に行ってみよう。 
アンバーのことは、俺から説明するよ。"
MID_RELIANCE_A_#020,"[セアダス] 
「彼がアルパカのバカ救世主だ」ってね。"
MID_RELIANCE_A_#021,"[アンバー] 
えーーーーーーーーーーーっ！？ 
嫌だーーーーーーーーーーっ！！"
MID_RELIANCE_A_#022,"[セアダス] 
はは、冗談だ。ちゃんと紹介するよ。 
選ばれし伝説の男だってね。"
MID_RELIANCE_A_#023,"[アンバー] 
ありがとう。じゃあ、彼を見出した 
天才占い師のことは俺が説明するぜ。"
MID_RELIANCE_A_#024,"[セアダス] 
あはは、やめてよ。 
照れるから。"
MID_RELIANCE_A_#025,"[アンバー] 
俺たち、意外といいコンビかもな。"
MID_RELIANCE_A_#026,"[セアダス] 
まあ不本意だけど、占いによると… 
いい友達って出てるしね。"
MID_RELIANCE_A_#027,"[アンバー] 
はは、占うまでもないぜ。"
MID_RELIANCE_A_#028,"[アンバー] 
じゃ、何かうまいものでも食べよう！ 
救世主の誕生と、友情の始まりに乾杯だ！"
MID_RELIANCE_B_#001,"[アンバー] 1 
[セアダス] 2 

[セアダス] 
よくきてくれたね。 
アルパカのバカ救世主。"
MID_RELIANCE_B_#002,"[アンバー] 
その言い方はやめろ。 
急にかっこ悪くなるだろ…"
MID_RELIANCE_B_#003,"[セアダス] 
占いによれば、 
あなたが救世主になるのは今日らしい。"
MID_RELIANCE_B_#004,"[アンバー] 
本当か！ 
ついに俺が救世主に…！"
MID_RELIANCE_B_#005,"[アンバー] 
で、何をすればいい！？"
MID_RELIANCE_B_#006,"[セアダス] 
雨を降らせてみて。"
MID_RELIANCE_B_#007,"[アンバー] 
…………"
MID_RELIANCE_B_#008,"[アンバー] 
はい？ 
雨を降らせるって…どうやってだよ？"
MID_RELIANCE_B_#009,"[セアダス] 
さあ、俺にはわかんない。"
MID_RELIANCE_B_#010,"[アンバー] 
えーっ！？ 
そんなの絶対に無理なやつじゃーん！"
MID_RELIANCE_B_#011,"[セアダス] 
選ばれし伝説の救世主ならできるはずだ。 
俺の占いには、そう出てる。"
MID_RELIANCE_B_#012,"[アンバー] 
…ほ、ほんとか？ 
ならやってみるよ。"
MID_RELIANCE_B_#013,"[アンバー] 
むむむ…俺は選ばれし者… 
救世主の役目を果たすべく、この地にやってきた…"
MID_RELIANCE_B_#014,"[アンバー] 
…………"
MID_RELIANCE_B_#015,"[アンバー] 
メアメア…メア…"
MID_RELIANCE_B_#016,"[セアダス] 
はい？"
MID_RELIANCE_B_#017,"[アンバー] 
レフトッモ… 
レフレフメアメア…"
MID_RELIANCE_B_#018,"[セアダス] 
な、なんなんだこの呪文は…"
MID_RELIANCE_B_#019,"[アンバー] 
アルパカアルパカ… 
アメアメフレフーレーーーーーーーっ！"
MID_RELIANCE_B_#020,"[アンバー] 
はーーーーーーーーーーーーーっ！！"
MID_RELIANCE_B_#021,"[セアダス] 
…………"
MID_RELIANCE_B_#022,"[アンバー] 
はぁ…はぁ… 
どうだ…雨は降ってきたか…"
MID_RELIANCE_B_#023,"[セアダス] 
いや、一滴も。"
MID_RELIANCE_B_#024,"[アンバー] 
そうか…くそっ！"
MID_RELIANCE_B_#025,"[セアダス] 
…残念だよ。占いは外れたみたい。 
手間を取らせて悪かったね。"
MID_RELIANCE_B_#026,"[アンバー] 
いや…俺こそ悪かった…"
MID_RELIANCE_C_#001,"[アンバー] 1 
[セアダス] 2 

[セアダス] 
ええっ！？ 
な、なんだって！？"
MID_RELIANCE_C_#002,"[アンバー] 
び、びっくりした… 
どうしたんだよ？"
MID_RELIANCE_C_#003,"[セアダス] 
今、カードで占いをしたんだ。そしたら、 
選ばれし伝説の男がすぐ近くにいるって…"
MID_RELIANCE_C_#004,"[アンバー] 
なにー！？　選ばれし伝説の男？ 
どこだ！　どこにいるんだ！？"
MID_RELIANCE_C_#005,"[セアダス] 
その男は、明るくて元気な美男子らしい。"
MID_RELIANCE_C_#006,"[アンバー] 
ま、まさか… 
もしかして、それは俺のことじゃ…"
MID_RELIANCE_C_#007,"[セアダス] 
でも残念ながら、バカのようだ。"
MID_RELIANCE_C_#008,"[アンバー] 
俺じゃないな…"
MID_RELIANCE_C_#009,"[セアダス] 
ふむ。その男は、ある動物と深い繋がりがある。 
これは…アルパカか…？"
MID_RELIANCE_C_#010,"[アンバー] 
アルパカ？ 
俺だ！　それは俺のことだ！　間違いない！"
MID_RELIANCE_C_#011,"[セアダス] 
じゃ、あなたが伝説の男？"
MID_RELIANCE_C_#012,"[アンバー] 
多分な。でも、どういうことだ？ 
いったい何に選ばれたんだ？"
MID_RELIANCE_C_#013,"[セアダス] 
占いによると、どうやらあなたは近い将来、 
救世主になるらしい…"
MID_RELIANCE_C_#014,"[アンバー] 
ききき、救世主…！？　本当か！？ 
かっこよすぎるだろ！？"
MID_RELIANCE_C_#015,"[アンバー] 
近い将来っていつだ！？"
MID_RELIANCE_C_#016,"[セアダス] 
それが、まだわからないんだよね。 
わかり次第、声を掛けるよ。"
MID_RELIANCE_C_#017,"[アンバー] 
わかった。首を長くして待っているぜ！ 
アルパカのようにな！"
