key,text
MID_RELIANCE_A_#001,"[ヴェイル] 1 
[モーヴ] 2 

[ヴェイル] 
たくさんお礼を言ってもらえたわ。 
喜んでくれて、よかった。"
MID_RELIANCE_A_#002,"[モーヴ] 
町で人助けを始めて幾日か経ちましたが、 
日に日に感謝の声が聞こえるようになりました。"
MID_RELIANCE_A_#003,"[ヴェイル] 
わたしたちの気持ちが、 
少しずつ町の人たちに伝わったならいいな。"
MID_RELIANCE_A_#004,"[モーヴ] 
仕返しをされるかもしれないなどと 
俺は考えすぎだったのでしょうか…"
MID_RELIANCE_A_#005,"[ヴェイル] 
だから、言ったでしょ。 
この町はいい人ばっかりだって。"
MID_RELIANCE_A_#006,"[モーヴ] 
そうですね。"
MID_RELIANCE_A_#007,"[モーヴ] 
ヴェイル様と共に、温かく迎えられ… 
俺は感無量です。"
MID_RELIANCE_A_#008,"[ヴェイル] 
…………"
MID_RELIANCE_A_#009,"[ヴェイル] 
ねぇ、モーヴ…"
MID_RELIANCE_A_#010,"[ヴェイル] 
マロンとも、こうやって 
楽しく町を歩ける未来があったのかな…"
MID_RELIANCE_A_#011,"[モーヴ] 
ヴェイル様…"
MID_RELIANCE_A_#012,"[モーヴ] 
わかりません… 
しかし…"
MID_RELIANCE_A_#013,"[モーヴ] 
マロンはきっとこちら側でも、 
人々に愛されるいい騎士になったと思います。"
MID_RELIANCE_A_#014,"[ヴェイル] 
うん…わたしもそう思う。"
MID_RELIANCE_A_#015,"[ヴェイル] 
今のわたしがこうやって、 
モーヴと一緒に罪を償えるのはマロンのおかげ。"
MID_RELIANCE_A_#016,"[ヴェイル] 
感謝してもしきれないよ…"
MID_RELIANCE_A_#017,"[モーヴ] 
ヴェイル様に褒められて、 
マロンもきっと喜んでいると思います。"
MID_RELIANCE_A_#018,"[モーヴ] 
一生懸命に生きて、大勢の人を救いましょう。 
マロンのためにも。"
MID_RELIANCE_A_#019,"[ヴェイル] 
そうね…"
MID_RELIANCE_A_#020,"[ヴェイル] 
わたしたちは罪を犯してしまった。 
これは一生消えない罪だと思う。"
MID_RELIANCE_A_#021,"[ヴェイル] 
けど… 
これからたくさん正しいことができる。"
MID_RELIANCE_A_#022,"[ヴェイル] 
モーヴ。 
これからもわたしに手を貸してね。"
MID_RELIANCE_A_#023,"[モーヴ] 
もちろんです。騎士として… 
畏れながら、友だちとして。"
MID_RELIANCE_A_#024,"[モーヴ] 
これからも、ヴェイル様と共に。"
MID_RELIANCE_B_#001,"[ヴェイル] 1 

[ヴェイル] 
…………"
MID_RELIANCE_B_#002,"[ヴェイル] 
[モーヴ] 2 
[モーヴ] 
ヴェイル様…"
MID_RELIANCE_B_#003,"[モーヴ] 
付いてくるなとは言われたが… 
見つからないようにして監視だけでも…"
MID_RELIANCE_B_#004,"[モーヴ] 
ヴェイル様にもしものことがあっては、 
マロンに申し訳が立たない…"
MID_RELIANCE_B_#005,"[モーヴ] 
[ヴェイル] 1 

[ヴェイル] 
モーヴ！ 
付いてきてるのばればれだよ！"
MID_RELIANCE_B_#006,"[モーヴ] 
ヴェイル様！？"
MID_RELIANCE_B_#007,"[ヴェイル] 
もう… 
そんなにわたしのことが信用できないの？"
MID_RELIANCE_B_#008,"[モーヴ] 
そういうわけではありません。 
俺はヴェイル様が心配なのです。"
MID_RELIANCE_B_#009,"[モーヴ] 
もしお怪我でもされては、 
俺はヴェイル様の騎士失格ですから。"
MID_RELIANCE_B_#010,"[ヴェイル] 
モーヴは騎士の前に大切な友だちだよ。 
だから、心配するより信用してほしかったわ。"
MID_RELIANCE_B_#011,"[モーヴ] 
俺のことを友だちだなんて… 
恐縮です…"
MID_RELIANCE_B_#012,"[モーヴ] 
ですが、そう言っていただけるなら 
せめて町へ出歩く理由を教えてください。"
MID_RELIANCE_B_#013,"[モーヴ] 
友だちのことを理解できないのは悲しいです。"
MID_RELIANCE_B_#014,"[ヴェイル] 
…………"
MID_RELIANCE_B_#015,"[ヴェイル] 
罪を償うためだよ…"
MID_RELIANCE_B_#016,"[ヴェイル] 
わたしのせいで大勢の人が傷ついたから… 
町に貢献できる何かを探してたの…"
MID_RELIANCE_B_#017,"[モーヴ] 
ヴェイル様… 
それなら尚のこと、俺が必要ですよ。"
MID_RELIANCE_B_#018,"[モーヴ] 
俺も四狗の一人として罪を犯しました。 
だから償いをしたいという気持ちは同じです。"
MID_RELIANCE_B_#019,"[モーヴ] 
どうか孤独にならないでください。 
俺とて、いた場所は同じなのですから。"
MID_RELIANCE_B_#020,"[ヴェイル] 
モーヴ…"
MID_RELIANCE_B_#021,"[ヴェイル] 
…ありがとう。"
MID_RELIANCE_B_#022,"[ヴェイル] 
それなら一緒に探してくれる？ 
みんなが喜ぶことを。"
MID_RELIANCE_B_#023,"[モーヴ] 
無論です、ヴェイル様…"
MID_RELIANCE_C_#001,"[ヴェイル] 1 
[モーヴ] 2 
[モーヴ] 
ヴェイル様、見つけましたよ。"
MID_RELIANCE_C_#002,"[ヴェイル] 
見つけましたって… 
わたしを探していたの？"
MID_RELIANCE_C_#003,"[モーヴ] 
そうです。"
MID_RELIANCE_C_#004,"[モーヴ] 
そのご様子だと、自覚されていないようですが… 
お一人で町を歩かれるのはとても危険です。"
MID_RELIANCE_C_#005,"[ヴェイル] 
危険？"
MID_RELIANCE_C_#006,"[ヴェイル] 
どうして？ 
この町にいるのは、みんないい人よ。"
MID_RELIANCE_C_#007,"[モーヴ] 
そうは言っても、俺たちがしたことを考えたら、 
仕返しをしようとする人がいるかもしれません。"
MID_RELIANCE_C_#008,"[ヴェイル] 
そのときは謝るしかないよ。 
だってそれだけのことをしたんだから。"
MID_RELIANCE_C_#009,"[モーヴ] 
謝っても済まなければどうするのですか？ 
もし、ヴェイル様の身に何かあったら…"
MID_RELIANCE_C_#010,"[ヴェイル] 
わたしは子供じゃないんだよ。自分でなんとかするよ。 
だから、もう付いてこないでね。"
MID_RELIANCE_C_#011,"[モーヴ] 
まっ、待ってください！"
MID_RELIANCE_C_#012,"[ヴェイル] 
わたしは一人でやりたいことがあるの。"
MID_RELIANCE_C_#013,"[ヴェイル] 
[モーヴ] 
行ってしまわれた…"
MID_RELIANCE_C_#014,"[モーヴ] 
ヴェイル様はご自身の状況が 
わかっておられるのだろうか…"
