key,text
MID_RELIANCE_A_#001,"[ユナカ] 1 
[セアダス] 2 
[ユナカ] 
…………"
MID_RELIANCE_A_#002,"[セアダス] 
ユナカ、どうしたの？ 
いつもの元気がないじゃないか。"
MID_RELIANCE_A_#003,"[ユナカ] 
セアダス氏…"
MID_RELIANCE_A_#004,"[ユナカ] 
わ、わたくしめ！ 
舞台に出るのを辞退しますぞ！"
MID_RELIANCE_A_#005,"[セアダス] 
ええっ！？"
MID_RELIANCE_A_#006,"[セアダス] 
そんな…あれほど乗り気だったのに、 
いったいどうしたの。"
MID_RELIANCE_A_#007,"[ユナカ] 
主役に選んでくれたことも、 
演技をほめてくれたことも嬉しいですぞ。"
MID_RELIANCE_A_#008,"[ユナカ] 
ですが…わたくしめは人生の中で、 
こんなにも人に必要とされたことはありません。"
MID_RELIANCE_A_#009,"[ユナカ] 
わたくしめのような人間が舞台に立って、 
本当に人々は楽しめるのでしょうか。"
MID_RELIANCE_A_#010,"[セアダス] 
ユナカは舞台の稽古をしていて、 
楽しくなかった？"
MID_RELIANCE_A_#011,"[ユナカ] 
もちろん楽しかったですぞ。"
MID_RELIANCE_A_#012,"[セアダス] 
ユナカが楽しめていたなら、 
きっと他の人も楽しんでくれるはずだよ。"
MID_RELIANCE_A_#013,"[セアダス] 
それでも自分が信用できないなら、 
俺のことを信じてくれないかな。"
MID_RELIANCE_A_#014,"[セアダス] 
絶対みんな楽しんでくれるって、 
俺が保証するから。"
MID_RELIANCE_A_#015,"[ユナカ] 
…………"
MID_RELIANCE_A_#016,"[セアダス] 
俺は目を瞑っている…"
MID_RELIANCE_A_#017,"[セアダス] 
もし信じてくれるなら… 
行かずに手を握ってくれないか？"
MID_RELIANCE_A_#018,"[ユナカ] 
セアダス氏… 
その台詞は…！"
MID_RELIANCE_A_#019,"[セアダス] 
…………"
MID_RELIANCE_A_#020,"[ユナカ] 
…………"
MID_RELIANCE_A_#021,"[ユナカ] 
わかりました… 
そこまで言うのなら…信じましょう…"
MID_RELIANCE_A_#022,"[セアダス] 
…手を取ってくれてありがとう。 
やっぱりユナカの演技は素晴らしいよ。"
MID_RELIANCE_A_#023,"[ユナカ] 
ふふ。セアダス氏が保証してくださるのなら、 
頑張れる気がしてきましたぞ。"
MID_RELIANCE_A_#024,"[セアダス] 
ユナカはきっと俺だけじゃなくて、 
みんなから必要とされる役者になると思う。"
MID_RELIANCE_A_#025,"[ユナカ] 
セアダス氏、ありがとうですぞ…"
MID_RELIANCE_A_#026,"[ユナカ] 
わたくしめはがんばります！"
MID_RELIANCE_A_#027,"[ユナカ] 
みんなが楽しんで笑顔になれる… 
とっておきの舞台を作るために！"
MID_RELIANCE_B_#001,"[ユナカ] 1 
[セアダス] 2 

[セアダス] 
どうか行かないでくれ… 
君と…いつまでも踊っていたいんだ…"
MID_RELIANCE_B_#002,"[ユナカ] 
やめて…引き止めないで… 
別れが辛くなってしまうわ…"
MID_RELIANCE_B_#003,"[セアダス] 
俺は目を瞑っている…"
MID_RELIANCE_B_#004,"[セアダス] 
もし信じてくれるなら… 
行かずに手を握ってくれないか？"
MID_RELIANCE_B_#005,"[ユナカ] 
…………"
MID_RELIANCE_B_#006,"[ユナカ] 
わかりました… 
そこまで言うのなら…信じましょう…"
MID_RELIANCE_B_#007,"[ユナカ] 
これからはずっと一緒です… 
死が…二人を分かつまで…"
MID_RELIANCE_B_#008,"[セアダス] 
…………"
MID_RELIANCE_B_#009,"[セアダス] 
素晴らしい演技と表現力だ。 
やっぱりユナカを誘って正解だったよ。"
