key,text
MID_WU_A_1_HELLO_#001,ひゃーっ！　素晴らしい寝起き！
MID_WU_A_1_HELLO_#002,ファンサービスとしてこれ以上はありません！
MID_WU_A_1_HELLO_#003,朝からありがとうございます！！
MID_WU_A_1_IN_#001,失礼します、あなたのファンクラブ名誉会長が参りました！
MID_WU_A_1_SOON_#001,きゃーっ！　おはようございまーす！
MID_WU_A_1_SOON_#002,さっすが神竜様、最高の寝起きです。
MID_WU_A_1_SOON_#003,よっ、エレオス大陸一！
MID_WU_A_1_WAKEUP_#001,再び、活動を認めてくださりうれしいです。
MID_WU_A_1_WAKEUP_#002,ではこれより会長自ら、全力で応援目覚ましをします！
MID_WU_A_1_WAKEUP_#003,きゃーっ、神竜様、お、き、てー！
MID_WU_A_2_HELLO_#001,な、なんで神竜様、くしゃみしないんです？
MID_WU_A_2_HELLO_#002,鼻強いんです？　普通はこうすると…
MID_WU_A_2_HELLO_#003,は、は、はくしょーい！
MID_WU_A_2_IN_#001,おはようございまーす…
MID_WU_A_2_IN_#002,うんうん、よく寝ていらっしゃる…
MID_WU_A_2_SOON_#001,もー、なんで起きちゃうんですか。
MID_WU_A_2_SOON_#002,これから寝起きドッキリをしようと思ってたのに…
MID_WU_A_2_SOON_#003,って、あ、いや何でもありません！
MID_WU_A_2_WAKEUP_#001,これより、神竜様に寝起きドッキリを仕掛けたいと思いまーす。
MID_WU_A_2_WAKEUP_#002,…まずはこれで、鼻をこちょこちょ…
MID_WU_A_2_WAKEUP_#003,ん？　あれ！？　おかしいな…
MID_WU_B_1_HELLO_#001,きゃーっ、神竜様が目覚められ…
MID_WU_B_1_HELLO_#002,コホン。おはようございます。騒いでいません、ええ、
MID_WU_B_1_HELLO_#003,寸でのところで抑えましたとも。
MID_WU_B_1_IN_#001,あっ…寝姿も尊い…！　でも騒いじゃ駄目よ、フラン。
MID_WU_B_1_SOON_#001,静かに入ってきたつもりだったんですが、すみません！
MID_WU_B_1_SOON_#002,ええ、いくら神竜様が尊くてもここでは騒ぎませんとも。
MID_WU_B_1_WAKEUP_#001,この前は鍛錬中に騒いでごめんなさい。
MID_WU_B_1_WAKEUP_#002,ご迷惑おかけしないようにと思いつつ、
MID_WU_B_1_WAKEUP_#003,神竜様を好きな気持ちは漏れ出てしまうもので…
MID_WU_B_2_HELLO_#001,すみませんー！
MID_WU_B_2_HELLO_#002,花瓶は後でどうにかします。
MID_WU_B_2_HELLO_#003,あ、あの、ソラネルのお掃除が終わりましたので！
MID_WU_B_2_IN_#001,神竜様、お仕事のご報告でーす！　あ、寝ていらっしゃる…
MID_WU_B_2_SOON_#001,起こしてしまいましたね、すみません。
MID_WU_B_2_SOON_#002,今、ソラネルのお掃除をしてきたんですよ！
MID_WU_B_2_WAKEUP_#001,起きるまで待っていようかな…
MID_WU_B_2_WAKEUP_#002,そうだ、この部屋もお掃除しておこう。
MID_WU_B_2_WAKEUP_#003,ゴミを拾って、埃を拭いて、
MID_WU_B_2_WAKEUP_#004,あっ、花瓶がーっ！
MID_WU_C_1_HELLO_#001,神竜様が、お目覚めになりましたー！
MID_WU_C_1_HELLO_#002,…なんちゃって。少し懐かしいですか？
MID_WU_C_1_HELLO_#003,おはようございます。
MID_WU_C_1_IN_#001,失礼します…！
MID_WU_C_1_SOON_#001,さっすが神竜様！
MID_WU_C_1_SOON_#002,気配に敏感で素晴らしいです！
MID_WU_C_1_WAKEUP_#001,よく眠っていらっしゃいますね…
MID_WU_C_1_WAKEUP_#002,見慣れた寝顔も素敵ですけど、
MID_WU_C_1_WAKEUP_#003,そろそろ起きていただかないと…
MID_WU_C_1_WAKEUP_#004,こしょこしょ…
MID_WU_C_2_HELLO_#001,お目覚めでございますか、神竜様。
MID_WU_C_2_HELLO_#002,…なーんて。たまには竜の守り人っぽく挨拶してみました。
MID_WU_C_2_IN_#001,神竜様ー！　…あっ、眠っていらっしゃる…
MID_WU_C_2_SOON_#001,あ、すぐに起きてしまわれて残念…
MID_WU_C_2_SOON_#002,いえ、何でもありません！
MID_WU_C_2_WAKEUP_#001,ずいぶんお疲れなんですね。
MID_WU_C_2_WAKEUP_#002,このまま寝かせて差し上げたい…
MID_WU_C_2_WAKEUP_#003,しかし、ここは心を鬼にして。
MID_WU_C_2_WAKEUP_#004,……神竜様ー！
MID_WU_S_1_HELLO_#001,おはよう、私の神竜様。
MID_WU_S_1_HELLO_#002,このまま二人きりでいたいですけど…
MID_WU_S_1_HELLO_#003,それは後でのお楽しみ、ですよね。
MID_WU_S_1_IN_#001,あなたのフランが起こしに来ましたよっ。
MID_WU_S_1_SOON_#001,もう起きちゃうなんて。
MID_WU_S_1_SOON_#002,さては、私が来るの待ってました？
MID_WU_S_1_SOON_#003,えへへ…かわいいですね。
MID_WU_S_1_WAKEUP_#001,神竜様っ。もー、困りますよ起きないと！
MID_WU_S_1_WAKEUP_#002,大声出しちゃいますよ！
MID_WU_S_1_WAKEUP_#003,…なーんて。
MID_WU_S_1_WAKEUP_#004,本当は、どうしたら起きるのかは…
MID_WU_S_1_WAKEUP_#005,もうわかってるんですけどね。
MID_WU_S_1_WAKEUP_#006,あとちょっとだけ、隣で、こうしていたいです…
MID_WU_S_2_HELLO_#001,えへへ…おはよう。
MID_WU_S_2_HELLO_#002,もっと寝顔を見ていたかったです。でも…
MID_WU_S_2_HELLO_#003,こうやって視線を独り占めできる時間も、
MID_WU_S_2_HELLO_#004,だいすきですよ。
MID_WU_S_2_IN_#001,ここにいると思ってました…！
MID_WU_S_2_IN_#002,あなたのことはお見通しです。
MID_WU_S_2_SOON_#001,ありゃ、寝顔を見られるの、恥ずかしかったです？
MID_WU_S_2_SOON_#002,もう…
MID_WU_S_2_SOON_#003,私には、全部見せてくれていいのに。
MID_WU_S_2_WAKEUP_#001,よく寝てる。
MID_WU_S_2_WAKEUP_#002,こうしてるとソラネルでお世話をしてた頃みたい。
MID_WU_S_2_WAKEUP_#003,…ねえ、知ってましたか？
MID_WU_S_2_WAKEUP_#004,眠ってる間からずーっと、
MID_WU_S_2_WAKEUP_#005,私…あなたのことが好きだったんですよ。
