key,text
MID_WU_A_1_HELLO_#001,おはよう。相変わらず綺麗ね。
MID_WU_A_1_HELLO_#002,でも今日のあたしも負けてな…
MID_WU_A_1_HELLO_#003,え？今日なんか可愛いって？
MID_WU_A_1_HELLO_#004,うれしー！神竜サマ、大好きーっ！
MID_WU_A_1_IN_#001,世界一可愛いあたしが起こしに来たわよ！
MID_WU_A_1_SOON_#001,へえ！？　なんですぐ起きるの？
MID_WU_A_1_SOON_#002,今日は早く着いたからもっと寝ててよかったのに…
MID_WU_A_1_SOON_#003,起こしちゃってごめんね、神竜サマ。
MID_WU_A_1_WAKEUP_#001,今日は早く起きて身嗜みを整えてきたわ。
MID_WU_A_1_WAKEUP_#002,おかげで早く着いちゃったけれども、
MID_WU_A_1_WAKEUP_#003,今朝のあたしは神竜サマも驚きの美しさなんだから！
MID_WU_A_2_HELLO_#001,おはようございます。
MID_WU_A_2_HELLO_#002,え、今日はやけに優しいって…
MID_WU_A_2_HELLO_#003,当然よ。言ったでしょ？
MID_WU_A_2_HELLO_#004,いつか神竜サマをメロメロにしてみせる、って！
MID_WU_A_2_IN_#001,失礼いたします、神竜サマ。うふふ…
MID_WU_A_2_SOON_#001,おはよう。あら、何その顔？
MID_WU_A_2_SOON_#002,ははーん、さてはあたしだと思わなかったでしょ！
MID_WU_A_2_SOON_#003,たまには王女らしく淑やかに、ってキブンだったの。
MID_WU_A_2_WAKEUP_#001,勢いよく入室しちゃうのが駄目なのよね。
MID_WU_A_2_WAKEUP_#002,もっと神竜サマのことを思って、優しく…
MID_WU_A_2_WAKEUP_#003,うん。きっとあたしのお母様ならそうしたわ。
MID_WU_B_1_HELLO_#001,はぁあ～、起きた。
MID_WU_B_1_HELLO_#002,良かったあ…
MID_WU_B_1_HELLO_#003,もう、心配したじゃないの！
MID_WU_B_1_HELLO_#004,次からはあたしのために、
MID_WU_B_1_HELLO_#005,もっと寝汚くなりなさいっ！
MID_WU_B_1_IN_#001,イルシオン一可愛いあたしが起こしに来てあげたわよ！
MID_WU_B_1_SOON_#001,さあ気合い入れて起こさないと…
MID_WU_B_1_SOON_#002,って、もう起きたの？
MID_WU_B_1_SOON_#003,折角いろいろ考えてきたのにぃ…
MID_WU_B_1_SOON_#004,ま、いっか。おはよ！
MID_WU_B_1_WAKEUP_#001,へえ、奇跡の寝相の良さね。
MID_WU_B_1_WAKEUP_#002,いびきもかかず死んだように眠って…
MID_WU_B_1_WAKEUP_#003,って、これ死んでないわよね。
MID_WU_B_1_WAKEUP_#004,ねえ、生きてる？　ちょっと神竜サマ！？
MID_WU_B_2_HELLO_#001,あ。起きた。良かった…
MID_WU_B_2_HELLO_#002,今日は見た目だけじゃなくて心も込めてみたわよ。
MID_WU_B_2_HELLO_#003,この前は、話聞いてくれてありがとね、神竜サマ。
MID_WU_B_2_IN_#001,今日は特別に、思いやりを込めて起こしてあげようと思うわ。
MID_WU_B_2_SOON_#001,いつもは叩き起こしちゃうけど、
MID_WU_B_2_SOON_#002,今日はゆっくり優しく…
MID_WU_B_2_SOON_#003,って、もう起きてる！
MID_WU_B_2_SOON_#004,あたしの思いやりが不発になったじゃなーい！
MID_WU_B_2_WAKEUP_#001,よーしよし、いつも頑張っててえらいわね。
MID_WU_B_2_WAKEUP_#002,たくさん寝て、よーく体をいたわってね…
MID_WU_B_2_WAKEUP_#003,って、これ、あたし逆に寝かしつけてない？
MID_WU_C_1_HELLO_#001,神竜サマ、おは…
MID_WU_C_1_HELLO_#002,え、あれ？
MID_WU_C_1_HELLO_#003,起きてすぐ、その美貌なの？
MID_WU_C_1_HELLO_#004,なにもしてなくて？　ほんとに？
MID_WU_C_1_HELLO_#005,な、なんか落ち込む…
MID_WU_C_1_HELLO_#006,あたし、もう帰るね…
MID_WU_C_1_IN_#001,可愛いあたしが今日の起こし係よ！
MID_WU_C_1_SOON_#001,おはよう！
MID_WU_C_1_SOON_#002,もしかして、あたしに会いたくてすぐ起きてくれたの？
MID_WU_C_1_SOON_#003,神竜サマ、可愛いっ！
MID_WU_C_1_WAKEUP_#001,あれ、起きないの？
MID_WU_C_1_WAKEUP_#002,ははーん、さては寝起きの顔見られたくないのね？
MID_WU_C_1_WAKEUP_#003,大丈夫、起き抜けはみんな残念だから、気にしないわよ！
MID_WU_C_2_HELLO_#001,おはよ、神竜サマ。
MID_WU_C_2_HELLO_#002,へ？顔が暗い？
MID_WU_C_2_HELLO_#003,憂いがあるって言いなさいよ。
MID_WU_C_2_HELLO_#004,…ねえ、いろいろあったけどあたし、
MID_WU_C_2_HELLO_#005,神竜サマのためにもっと頑張るからね。
MID_WU_C_2_IN_#001,実はキンチョーするのよね、このお部屋…
MID_WU_C_2_SOON_#001,わ、すぐ起きたわね。
MID_WU_C_2_SOON_#002,もしかしてお部屋に入られたくなかった？
MID_WU_C_2_SOON_#003,そうだったら、ごめんね。
MID_WU_C_2_WAKEUP_#001,いいのかな…あたし、
MID_WU_C_2_WAKEUP_#002,邪竜信仰の国の王族なのに、ここに入って。
MID_WU_C_2_WAKEUP_#003,お父様が今のあたしを、お姉様を見たら、
MID_WU_C_2_WAKEUP_#004,なんて言うんだろう…
MID_WU_S_1_HELLO_#001,おはよう、あたしの神竜サマ。
MID_WU_S_1_HELLO_#002,戦いに出るまでは、こうしててもいいでしょ？
MID_WU_S_1_HELLO_#003,今日も生きて戻れたら…
MID_WU_S_1_HELLO_#004,いっぱい褒めて、可愛いって言ってよね。
MID_WU_S_1_IN_#001,この世でいっちばん可愛い、パートナーが起こしに来たわよ！
MID_WU_S_1_SOON_#001,なーんですぐ起きるの、
MID_WU_S_1_SOON_#002,これから優しく起こすつもりだったのに！
MID_WU_S_1_SOON_#003,…でも、二人っきりの時間が増えて嬉しい。
MID_WU_S_1_SOON_#004,…おはよ、あたしの神竜サマ。
MID_WU_S_1_WAKEUP_#001,さ、二人っきりの朝の時間よ。
MID_WU_S_1_WAKEUP_#002,うん、いい…しっくりくるわ。
MID_WU_S_1_WAKEUP_#003,綺麗なあなたと可愛いあたし。
MID_WU_S_1_WAKEUP_#004,並べば、最強のパートナー同士よね。
MID_WU_S_1_WAKEUP_#005,でもあたし、あなたのことは見た目で判断したわけじゃないから。
MID_WU_S_1_WAKEUP_#006,中身がかっこよくて、優しくて、強いから…
