key,text
MID_WU_A_1_HELLO_#001,すみません、笑い声で起こすなどという不敬を…
MID_WU_A_1_HELLO_#002,先程、果物の皮で転倒し、
MID_WU_A_1_HELLO_#003,それが我ながら面白い転び方で…ふふふ。
MID_WU_A_1_IN_#001,まさか、ソラネルでこのような愉快事が起こるだなんて…
MID_WU_A_1_SOON_#001,神竜様、聞いてください。
MID_WU_A_1_SOON_#002,ここに来る前に果物の皮を踏み、転倒しました…
MID_WU_A_1_SOON_#003,神竜様も、お気をつけて…
MID_WU_A_1_WAKEUP_#001,ここに来る時にあった面白いことが、
MID_WU_A_1_WAKEUP_#002,頭から離れない…
MID_WU_A_1_WAKEUP_#003,ふっ…ふふふ…いけない。神竜様の御前で、しかし、ふふふ…
MID_WU_A_2_HELLO_#001,おはようございます。
MID_WU_A_2_HELLO_#002,神竜様も、何かあれば私を頼ってください。
MID_WU_A_2_HELLO_#003,この鉄壁のジェーデ…必ずや、お力に…
MID_WU_A_2_IN_#001,定刻まで、扉をお守りしていました。異常はありません…
MID_WU_A_2_SOON_#001,！　目覚めておられましたか、
MID_WU_A_2_SOON_#002,ならもう帰れと仰ってくださっても…
MID_WU_A_2_SOON_#003,そうですか。私と話をしたかったと…
MID_WU_A_2_SOON_#004,いえ、光栄です。
MID_WU_A_2_WAKEUP_#001,以前はご心配をおかけし、すみませんでした。
MID_WU_A_2_WAKEUP_#002,過去の因縁に巻き込んでも良いのだと…
MID_WU_A_2_WAKEUP_#003,そのお言葉、嬉しかったです…
MID_WU_B_1_HELLO_#001,お目覚めですか。
MID_WU_B_1_HELLO_#002,では、私はこれで。
MID_WU_B_1_HELLO_#003,忘れぬうちにこの構想を書き留めておかねば…
MID_WU_B_1_IN_#001,静かね…ここで瞑想すれば集中できそう。
MID_WU_B_1_SOON_#001,すみません、静寂を乱してしまいました。
MID_WU_B_1_SOON_#002,直に定刻ですので、出発のご準備を。
MID_WU_B_1_WAKEUP_#001,まだ少し時間があるわ。定刻まで瞑想をしましょう。
MID_WU_B_1_WAKEUP_#002,……いけない、雑念が…
MID_WU_B_1_WAKEUP_#003,…次の戯話の構想が降りてきた……
MID_WU_B_2_HELLO_#001,今朝のご気分は如何ですか…？
MID_WU_B_2_HELLO_#002,仲間のことだけではなく、
MID_WU_B_2_HELLO_#003,ご自分のことも大事にしてくださいね…それでは…
MID_WU_B_2_IN_#001,騎士は神たる竜の静かな寝息を聞いた…
MID_WU_B_2_SOON_#001,おはようございます。
MID_WU_B_2_SOON_#002,昨日は、神竜様の仰る通り夕日が綺麗でした…
MID_WU_B_2_SOON_#003,本日はきっと、良い天気になるかと。
MID_WU_B_2_WAKEUP_#001,神竜様はお優しい方…
MID_WU_B_2_WAKEUP_#002,この前、私の傍にいてくださったことからも、
MID_WU_B_2_WAKEUP_#003,そのことは明白です…いつかこの恩を返さねば…
