key,text
MID_WU_A_1_HELLO_#001,おはようございます。
MID_WU_A_1_HELLO_#002,神竜様、あたしどうしたら
MID_WU_A_1_HELLO_#003,この部屋に入っても緊張せずにいられますかね…
MID_WU_A_1_IN_#001,お目覚めの時間ですよ、神竜様。
MID_WU_A_1_SOON_#001,素晴らしい寝覚めです。
MID_WU_A_1_SOON_#002,おかげでこの高そうな部屋での滞在時間が短く済みました。
MID_WU_A_1_WAKEUP_#001,薄目を開けて入ろうっと、
MID_WU_A_1_WAKEUP_#002,高そうな調度品さえ見なければ緊張なんて…
MID_WU_A_1_WAKEUP_#003,…逆にするわね。見えないと壊さないか不安だわ。
MID_WU_A_2_HELLO_#001,神竜様、すみません本日は少し遅れてしまい…！
MID_WU_A_2_HELLO_#002,へあっ！？　この草ですか？
MID_WU_A_2_HELLO_#003,か、観賞用です、観賞用…！
MID_WU_A_2_IN_#001,はあ、はあ、ブロディア芋を掘ってたら、遅れちゃった…！
MID_WU_A_2_SOON_#001,良かった、すぐ起きてくださって！
MID_WU_A_2_SOON_#002,遅れたお詫びに、今度お芋料理をご馳走します！
MID_WU_A_2_WAKEUP_#001,ああ…お芋どころか
MID_WU_A_2_WAKEUP_#002,食べられる雑草まで見つけたのが良くなかったわね。
MID_WU_A_2_WAKEUP_#003,見つけるとつい、採れるときに採ってしまうのよ…
MID_WU_B_1_HELLO_#001,おはようございます。
MID_WU_B_1_HELLO_#002,神竜様用の目覚まし時計を作っていたんです。
MID_WU_B_1_HELLO_#003,定刻になると爆発する優れもので…
MID_WU_B_1_HELLO_#004,え、要らない…？
MID_WU_B_1_IN_#001,あたしとしたことが、早く着いてしまったわ。
MID_WU_B_1_SOON_#001,す、すみません、まだ少し早いので、
MID_WU_B_1_SOON_#002,二度寝してらしても大丈夫かと…！
MID_WU_B_1_WAKEUP_#001,お起こしする時間まで工作でもしましょう。
MID_WU_B_1_WAKEUP_#002,今日はこの木とこの木を、こうして、
MID_WU_B_1_WAKEUP_#003,石をかませて、打ち付けて、色を塗って…
MID_WU_B_2_HELLO_#001,神竜様、寝起きの一杯、水で薄めた牛乳は如何です？
MID_WU_B_2_HELLO_#002,薄め方も２倍から１０倍まで対応可能ですよ。
MID_WU_B_2_IN_#001,よっと…牛乳と水を運びながら来るのは疲れるわね。
MID_WU_B_2_SOON_#001,おはようございます。
MID_WU_B_2_SOON_#002,朝は水で薄めた牛乳に限りますよね。
MID_WU_B_2_WAKEUP_#001,ふふ。この前、鍛錬に付き合ってくださって嬉しかったなあ。
MID_WU_B_2_WAKEUP_#002,背負子も喜んでもらえたし…
MID_WU_B_2_WAKEUP_#003,次は何を作ろうかしら。
MID_WU_C_1_HELLO_#001,おはようございます！良かった…
MID_WU_C_1_HELLO_#002,これで任務は終わりましたので、失礼いたしますね。
MID_WU_C_1_IN_#001,あ、あああ…すごく緊張する…！
MID_WU_C_1_SOON_#001,はっ！　起きてくださったんですね。
MID_WU_C_1_SOON_#002,こんな高貴な部屋に足を踏み入れ、申し訳ないです。
MID_WU_C_1_WAKEUP_#001,ここって聖地の祭壇よね？
MID_WU_C_1_WAKEUP_#002,調度品がどれも高そうだし、床も質のよさそうな石…
MID_WU_C_1_WAKEUP_#003,ああ、高級感に殺される…
MID_WU_C_2_HELLO_#001,あっ、ごめんなさい。
MID_WU_C_2_HELLO_#002,あたしったら起こしに来たのに枕の心配を…
MID_WU_C_2_HELLO_#003,お、おはようございますっ。
MID_WU_C_2_IN_#001,寝るのっていいわよね…その間はお腹がすかないし。
MID_WU_C_2_SOON_#001,おはようございます、神竜様。
MID_WU_C_2_SOON_#002,本日の起こし係はラピスでした。
MID_WU_C_2_SOON_#003,では、これにて…
MID_WU_C_2_WAKEUP_#001,神竜様、枕とかなくて痛くないのかしら。
MID_WU_C_2_WAKEUP_#002,あたしはなくても全然慣れてるけど…
MID_WU_C_2_WAKEUP_#003,今度作って差し上げようかな。
MID_WU_S_1_HELLO_#001,おはよう。あともう少しだけ、
MID_WU_S_1_HELLO_#002,この時間をおまけしてくれませんか。
MID_WU_S_1_HELLO_#003,あなたといるこの時は何よりも贅沢で…
MID_WU_S_1_HELLO_#004,あたし、大好きなんです。
MID_WU_S_1_IN_#001,あ、あたしです…神竜様。
MID_WU_S_1_IN_#002,やっと、緊張しなくなってきました。
MID_WU_S_1_SOON_#001,おはよう。すぐに起きてくれたのはよかったですが、
MID_WU_S_1_SOON_#002,頑張って起こすのも好きですよ。
MID_WU_S_1_SOON_#003,あなたとなら、どんな苦労も嬉しいです。
MID_WU_S_1_WAKEUP_#001,今日は『約束の指輪』を着けてきました。
MID_WU_S_1_WAKEUP_#002,芋掘りの時なんかは汚れますし、
MID_WU_S_1_WAKEUP_#003,戦の時は失くしてしまうのが怖くて、
MID_WU_S_1_WAKEUP_#004,大切すぎてなかなか着けられないですけど…
MID_WU_S_1_WAKEUP_#005,今なら、二人っきりの今だけなら、
MID_WU_S_1_WAKEUP_#006,宝物を身に着けててもいいですよね？
MID_WU_S_2_HELLO_#001,目が覚めましたか？
MID_WU_S_2_HELLO_#002,これ、とっても綺麗でしょう？
MID_WU_S_2_HELLO_#003,一つじゃ足りないくらい、全部…
MID_WU_S_2_HELLO_#004,あたしがあなたを想う気持ちなんですよ。
MID_WU_S_2_IN_#001,あなたのパートナー、ラピスです。…なんて。
MID_WU_S_2_SOON_#001,もしかして、今の聞いてました？
MID_WU_S_2_SOON_#002,た、ただの、幸せの再確認ですよ！
MID_WU_S_2_SOON_#003,改めて口に出すと少し照れますけど…ね。
MID_WU_S_2_WAKEUP_#001,今日はお芋じゃなくて鉱石を掘ってきたけど…
MID_WU_S_2_WAKEUP_#002,どの色が好きかしら。
MID_WU_S_2_WAKEUP_#003,あたしとしては、桃色なんかいいと思うけど…
MID_WU_S_2_WAKEUP_#004,選んでくれた石を嵌め込んで、
MID_WU_S_2_WAKEUP_#005,あたしもあなたに指輪を作るわ。
MID_WU_S_2_WAKEUP_#006,今までで一番上手に、あなたへの気持ちを形にしたい。
