key,text
MID_WU_A_1_HELLO_#001,おはようございます。僕はすごいことに気が付きましたが…
MID_WU_A_1_HELLO_#002,ずっとここで見張るのは不審ですので、控えることにいたします。
MID_WU_A_1_IN_#001,僕のこの予想は、当たるはずです…
MID_WU_A_1_SOON_#001,ああ、やはり。
MID_WU_A_1_SOON_#002,今日はすぐお目覚めになると思って、
MID_WU_A_1_SOON_#003,紅茶をお持ちしました。
MID_WU_A_1_SOON_#004,故郷のブドウで香りづけをした、珍しいものですよ。
MID_WU_A_1_WAKEUP_#001,ふふ…皆さんが順番に来られるということは、
MID_WU_A_1_WAKEUP_#002,ここで待っていれば
MID_WU_A_1_WAKEUP_#003,"神竜様と皆さんの組み合わせが 
無限大に拝見できるということでは…！"
MID_WU_A_2_HELLO_#001,どうやら僕は神竜様を……
MID_WU_A_2_HELLO_#002,弟たちに会わせたいと思っているのかもしれません。
MID_WU_A_2_HELLO_#003,ああ、その組み合わせはきっと、
MID_WU_A_2_HELLO_#004,和むでしょうね…
MID_WU_A_2_IN_#001,家族への手紙に、この起こし当番のことも書いてきました。
MID_WU_A_2_SOON_#001,おや、内容が気になりましたか？
MID_WU_A_2_SOON_#002,もちろん、神竜様についても書きましたよ。
MID_WU_A_2_SOON_#003,朝は意外と寝起きが宜しいのだ…とね。
MID_WU_A_2_WAKEUP_#001,気持ちのままに書けばいいとの助言通りにしたら、
MID_WU_A_2_WAKEUP_#002,神竜様の話が多くなってしまいましたよ。
MID_WU_A_2_WAKEUP_#003,…！　もしかして、僕は神竜様のこと…
MID_WU_B_1_HELLO_#001,まあ、神竜様。おはようございます。
MID_WU_B_1_HELLO_#002,……ああ、すみません、
MID_WU_B_1_HELLO_#003,想像に入り込んでいましたが、
MID_WU_B_1_HELLO_#004,自分の声が低くて我に返りました。
MID_WU_B_1_IN_#001,今日は神竜様と僕の組み合わせに向き合いましょう。
MID_WU_B_1_SOON_#001,…おや、向き合う暇もなくお目覚めになりましたが、
MID_WU_B_1_SOON_#002,これはこれで。おはようございます。
MID_WU_B_1_WAKEUP_#001,この部屋で花園を見ることが叶わぬなら、
MID_WU_B_1_WAKEUP_#002,作り出せばよいのです。
MID_WU_B_1_WAKEUP_#003,僕は見目麗しい女騎士。
MID_WU_B_1_WAKEUP_#004,僕は見目麗しい可憐な女騎士…
MID_WU_B_2_HELLO_#001,おお、神竜様にも有効だったとは。
MID_WU_B_2_HELLO_#002,これは勉強になりました。
MID_WU_B_2_HELLO_#003,それでは思う存分、朝食を堪能してきてくださいませ。
MID_WU_B_2_IN_#001,弟たちを起こしに来るよりも、気分が高揚しますね。
MID_WU_B_2_SOON_#001,こうしてすぐに目覚めてくださる点も、
MID_WU_B_2_SOON_#002,実家とは比べ物になりません。
MID_WU_B_2_SOON_#003,ああ、神竜様、一生ついていきますよ。
MID_WU_B_2_WAKEUP_#001,三人もきょうだいがいると朝も大変でした。
MID_WU_B_2_WAKEUP_#002,ですが、大抵はこの一言で解決です。
MID_WU_B_2_WAKEUP_#003,…早く起きないと、朝ご飯を抜きにしますよ！
MID_WU_C_1_HELLO_#001,ああ、お目覚めになりましたか。
MID_WU_C_1_HELLO_#002,これにて僕はお役御免となりましたので、
MID_WU_C_1_HELLO_#003,あちらの花園まで散歩に行ってまいります。失礼。
MID_WU_C_1_IN_#001,僭越ながら、睡眠の邪魔をしに参りました。
MID_WU_C_1_SOON_#001,おはようございます。
MID_WU_C_1_SOON_#002,無理に起こすのは忍びなかったので、助かりましたよ。
MID_WU_C_1_SOON_#003,では、これで。
MID_WU_C_1_WAKEUP_#001,しかし、本当に邪魔をするのは申し訳ないですね…
MID_WU_C_1_WAKEUP_#002,外の景色でも見て待ちましょう。
MID_WU_C_1_WAKEUP_#003,おや、あちらに良い花園が…
MID_WU_C_2_HELLO_#001,そうですね、
MID_WU_C_2_HELLO_#002,例えば深層の令嬢や、眉目秀麗な青年騎士なんて…
MID_WU_C_2_HELLO_#003,って、神竜様。いつから目覚めておられたのですか。
MID_WU_C_2_IN_#001,朝ですよ、神竜様。
MID_WU_C_2_IN_#002,…と言ってすぐ起きるわけありませんよね。
MID_WU_C_2_SOON_#001,なんと…！　冷めてしまうと思って諦めたのですが、
MID_WU_C_2_SOON_#002,すぐ起きてくださるなら紅茶をお持ちすればよかったです。
MID_WU_C_2_WAKEUP_#001,それにしても…
MID_WU_C_2_WAKEUP_#002,起きてすぐ目にされるのは、僕のような冴えない者よりも、
MID_WU_C_2_WAKEUP_#003,見目麗しい方の方が良いのではと思うのですが…
MID_WU_S_1_HELLO_#001,おはようございます。さあ、お手を。
MID_WU_S_1_HELLO_#002,何って、エスコートですよ。
MID_WU_S_1_HELLO_#003,僕を選んだからには…
MID_WU_S_1_HELLO_#004,甲斐甲斐しくお世話させていただきますから。
MID_WU_S_1_IN_#001,何度も起こしに来ているというのに、気恥ずかしいですね。
MID_WU_S_1_SOON_#001,わっ、突然起きないでくださいよ。
MID_WU_S_1_SOON_#002,遠くから見つめるのには慣れているのですが、
MID_WU_S_1_SOON_#003,その…近くで見つめるのはまだ、慣れていなくて。
MID_WU_S_1_WAKEUP_#001,まさか、僕に『約束の指輪』をくださるとは。
MID_WU_S_1_WAKEUP_#002,僕は神竜様が誰に渡すのか、
MID_WU_S_1_WAKEUP_#003,その組み合わせに心をときめかせていたというのに…
