key,text
MID_WU_A_1_HELLO_#001,起こしてしまい、ごめんなさい。
MID_WU_A_1_HELLO_#002,戦のあとは…誰かを手にかけた後は、
MID_WU_A_1_HELLO_#003,無性に祈りたくなるんです。
MID_WU_A_1_HELLO_#004,許されるはずは、ないんですけどね。
MID_WU_A_1_IN_#001,…神竜様、暫し静寂を破ることをお許しください…
MID_WU_A_1_SOON_#001,すみません…
MID_WU_A_1_SOON_#002,戦のあとは祈りたくなってしまって。
MID_WU_A_1_SOON_#003,…起こしてしまったのに、
MID_WU_A_1_SOON_#004,怒らないんですか？
MID_WU_A_1_SOON_#005,優しいですね…神竜様。
MID_WU_A_1_WAKEUP_#001,静かだな。戦が嘘みたいだ…
MID_WU_A_1_WAKEUP_#002,ここなら、星になってしまった命にも、
MID_WU_A_1_WAKEUP_#003,祈りが届くような気がする…
MID_WU_A_1_WAKEUP_#004,神よ、どうか、魂に安らぎを…
MID_WU_A_2_HELLO_#001,あ、神竜様。
MID_WU_A_2_HELLO_#002,この前の食事会はありがとうございました。
MID_WU_A_2_HELLO_#003,お陰様で皆楽しく…
MID_WU_A_2_HELLO_#004,え、何です、その目は。
MID_WU_A_2_HELLO_#005,わ、わかりましたよ…
MID_WU_A_2_HELLO_#006,…うぇーい！
MID_WU_A_2_IN_#001,うぇーい、神竜様。うぇーい。
MID_WU_A_2_SOON_#001,おはようございます。
MID_WU_A_2_SOON_#002,ええと…先日の食事会で、
MID_WU_A_2_SOON_#003,うぇーいという挨拶をされなかった、と
MID_WU_A_2_SOON_#004,しょんぼりされていたので…
MID_WU_A_2_SOON_#005,如何でしたか？
MID_WU_A_2_WAKEUP_#001,うーん…
MID_WU_A_2_WAKEUP_#002,面と向かってウェイウェイするのはやはり気が引けるな。
MID_WU_A_2_WAKEUP_#003,いくら神竜様が楽しいと仰っていても、
MID_WU_A_2_WAKEUP_#004,控えるべきだ、うん。
MID_WU_B_1_HELLO_#001,わーん！
MID_WU_B_1_HELLO_#002,神竜様ごめんなさい！
MID_WU_B_1_HELLO_#003,無理くり元気に起こしに来た罪をお許しください！
MID_WU_B_1_HELLO_#004,ここに懺悔室はありませんよね…！？
MID_WU_B_1_IN_#001,いえーい！　神竜様、ちょりーっす！
MID_WU_B_1_SOON_#001,…ごめんなさい。
MID_WU_B_1_SOON_#002,完全に不審者でしたよね。
MID_WU_B_1_SOON_#003,この場所は緊張するので、
MID_WU_B_1_SOON_#004,少し高揚した振る舞いを試しました。
MID_WU_B_1_SOON_#005,無礼をお許しください。
MID_WU_B_1_WAKEUP_#001,ヒュー！
MID_WU_B_1_WAKEUP_#002,オレが起こしに来たぜ、神竜様ー！
MID_WU_B_1_WAKEUP_#003,いつもは緊張すっけど、この感じなら全っ然……
MID_WU_B_1_WAKEUP_#004,緊張するわ。しかも不敬だわ。
MID_WU_B_2_HELLO_#001,わっ！　聞いておられましたか…？
MID_WU_B_2_HELLO_#002,え、ずっと何かって
MID_WU_B_2_HELLO_#003,…ずっと…いいなって思ったんです。
MID_WU_B_2_HELLO_#004,不敬ながら、友人のように思えるので…
MID_WU_B_2_IN_#001,「聖地ソラネルには眠り続ける神竜の御子がいる」…か。
MID_WU_B_2_SOON_#001,すみません、
MID_WU_B_2_SOON_#002,司祭様から聞いたお話を思い出したら、
MID_WU_B_2_SOON_#003,ここに来たくなってしまって。
MID_WU_B_2_SOON_#004,オレは本当に、
MID_WU_B_2_SOON_#005,あの話に救われました…
MID_WU_B_2_WAKEUP_#001,この話、まさか本当だったとはな。
MID_WU_B_2_WAKEUP_#002,司祭様は神竜の御子様のお姿を、
MID_WU_B_2_WAKEUP_#003,小さな子供だって予想してたけど…
MID_WU_B_2_WAKEUP_#004,オレはこの方がずっと…
MID_WU_C_1_HELLO_#001,ああ…お目覚めになられたのですね。
MID_WU_C_1_HELLO_#002,やべ、この光景が神々しすぎて、
MID_WU_C_1_HELLO_#003,聖職者として祈らずにはいられない…！
