key,text
MID_WU_A_1_HELLO_#001,皆に言っておきますから、
MID_WU_A_1_HELLO_#002,どうぞもう少し休んでください。
MID_WU_A_1_HELLO_#003,夕餉は逃げませんが、
MID_WU_A_1_HELLO_#004,休める時間はすぐ逃げていきますよ。
MID_WU_A_1_IN_#001,神竜様、もうすぐ夕餉の時刻ですよ。
MID_WU_A_1_IN_#002,昼寝なんて珍しいですねえ。
MID_WU_A_1_SOON_#001,ふふ、お疲れなのかと思いましたが、
MID_WU_A_1_SOON_#002,夕餉と聞いて飛び起きるのでしたら心配要りませんね。
MID_WU_A_1_SOON_#003,さあ、参りましょう。
MID_WU_A_1_WAKEUP_#001,随分お疲れだね…無理もない。
MID_WU_A_1_WAKEUP_#002,毎日気を張ってみんなを率いてらっしゃるんだから。
MID_WU_A_1_WAKEUP_#003,私には到底わからない重圧もあるだろうね…
MID_WU_A_2_HELLO_#001,お、やっとのお目覚めですね。
MID_WU_A_2_HELLO_#002,張り切っている？
MID_WU_A_2_HELLO_#003,当然ですよ。
MID_WU_A_2_HELLO_#004,私は、亡き友に幸せな顔を見せるためにも
MID_WU_A_2_HELLO_#005,頑張らねばなりませんから。
MID_WU_A_2_IN_#001,鍛錬のお誘いに参りましたよ。
MID_WU_A_2_IN_#002,体を動かしてスッキリしましょう。
MID_WU_A_2_SOON_#001,良いお目覚めです。
MID_WU_A_2_SOON_#002,さあ、たくさん鍛錬して強くなりましょう、
MID_WU_A_2_SOON_#003,私も負けませんよ。神竜様のため、そして
MID_WU_A_2_SOON_#004,…失くした友のために。
MID_WU_A_2_WAKEUP_#001,復讐心はまだ消えませんが…
MID_WU_A_2_WAKEUP_#002,神竜様のお陰で、少し重圧が消えましたよ。
MID_WU_A_2_WAKEUP_#003,私のことを友と呼んでくれたことも、嬉しかったです。
MID_WU_B_1_HELLO_#001,すみません、魚が外に跳ねて行ってしまいました。
MID_WU_B_1_HELLO_#002,でも、この下は調理場なんで、
MID_WU_B_1_HELLO_#003,誰かしら捕まえてくれますかね。ははは！
MID_WU_B_1_IN_#001,今朝は生きのいい魚が獲れましたよ！
MID_WU_B_1_SOON_#001,神竜様も気になりましたか。
MID_WU_B_1_SOON_#002,ディアマンド様が釣り上げたのですが、
MID_WU_B_1_SOON_#003,ソラネルでも指折りの大物かと。
MID_WU_B_1_SOON_#004,今日の夕餉が楽しみですね。
MID_WU_B_1_WAKEUP_#001,ちょっ…暴れるな！
MID_WU_B_1_WAKEUP_#002,こいつでかいから押さえ込めないよ！
MID_WU_B_1_WAKEUP_#003,あっ、床に！　跳ねるんじゃないって！
MID_WU_B_1_WAKEUP_#004,しまった…出て行っちまった。
MID_WU_B_2_HELLO_#001,お目覚めですか。
MID_WU_B_2_HELLO_#002,お望みでしたら、また共に鍛錬をしましょう。
MID_WU_B_2_HELLO_#003,いつでもお付き合いいたしますよ！
MID_WU_B_2_IN_#001,ふふ、良い表情をして眠っていらっしゃる。
MID_WU_B_2_SOON_#001,おはようございます。
MID_WU_B_2_SOON_#002,神竜様の寝顔と寝相は素晴らしいですね、
MID_WU_B_2_SOON_#003,起きたら寝台から落ちていたことなどはないのですか？
MID_WU_B_2_WAKEUP_#001,寝相も真っ直ぐだね。
MID_WU_B_2_WAKEUP_#002,はあ…私は一晩で寝台の上を三回転はして、
MID_WU_B_2_WAKEUP_#003,目覚める時には床の上なんてことはザラにあるけどねえ…
MID_WU_C_1_HELLO_#001,おはようございます。
MID_WU_C_1_HELLO_#002,朝の挨拶は大切ですよ。
MID_WU_C_1_HELLO_#003,戦に出たら、今言葉を交わしたのが
MID_WU_C_1_HELLO_#004,最後となるかもしれないのですからね。
MID_WU_C_1_IN_#001,ふう…静かな場所は緊張するねえ。
MID_WU_C_1_SOON_#001,おや、既にお目覚めでしたか？
MID_WU_C_1_SOON_#002,それとも私の足音がドカドカしてたせいかね…
MID_WU_C_1_SOON_#003,さあ、みんな待っていますよ！
