key,text
MID_FORTUNE_BAD_01,"[Seadall] t 
[Seadall] Normal 

[Seadall] 
L'Isolation─the isolation card. Their wish won't 
come true without the help of others. Why not 
go to the pool with the person on their mind?"
MID_FORTUNE_BAD_01_S,"[Seadall] t 
[Seadall] Sad 

[Seadall] 
L'Isolation... It seems I shouldn't isolate myself 
from others. Perhaps I'll sing and dance around 
the Somniel with the one I've been thinking of."
MID_FORTUNE_BAD_02,"[Seadall] t 
[Seadall] Normal 

[Seadall] 
It's L'Infamie─the infamy card. Hmm...a fell act 
they've committed will come to light. It's best if 
they're extra kind to the person on their mind."
MID_FORTUNE_BAD_02_S,"[Seadall] t 
[Seadall] Sad 

[Seadall] 
Ah, it's L'Infamie─the infamy card! It may come 
to light I stole a bite of someone's food. I should 
make things right with a certain someone."
MID_FORTUNE_BAD_03,"[Seadall] t 
[Seadall] Normal 

[Seadall] 
La Mauvaise récolte...the card of bad harvests. 
Foul weather and loss await them. They should 
plant good seeds with someone on their mind."
MID_FORTUNE_BAD_03_S,"[Seadall] t 
[Seadall] Sad 

[Seadall] 
La Mauvaise récolte! The bad harvest card 
warns me to stay away from plants. I best give 
my veggies to a special someone at mealtime."
MID_FORTUNE_BAD_04,"[Seadall] t 
[Seadall] Shy 

[Seadall] 
It's Le Nuage noir...the dark cloud card. They 
should beware trouble from above, and seek 
shelter with the one they've been thinking of."
MID_FORTUNE_BAD_04_S,"[Seadall] t 
[Seadall] Sad 

[Seadall] 
Le Nuage noir?! Whenever I draw the dark cloud 
card I fall into water. I better ask the person I've 
been thinking about to bring me my swimsuit!"
MID_FORTUNE_BAD_05,"[Seadall] t 
[Seadall] 
Angry 

[Seadall] 
It's La Querelle! The card of strife warns that 
conflict with someone awaits them. They must 
keep the one they're thinking of close by!"
MID_FORTUNE_BAD_05_S,"[Seadall] t 
[Seadall] Sad 

[Seadall] 
Ah, it's La Querelle─the strife card. I may end 
up in a quarrel with someone I've been thinking 
about. A gift of honey should cool hot tempers."
MID_FORTUNE_BAD_06,"[Seadall] t 
[Seadall] Normal 

[Seadall] 
It's L'Échec! This failure card warns they'll soon 
feel like giving up. A three-legged race around 
the Somniel with a certain someone is in order!"
MID_FORTUNE_BAD_06_S,"[Seadall] t 
[Seadall] Sad 

[Seadall] 
It is L'Échec. This failure card warns I won't be 
able to resist food that is poor fuel for dancing. 
But a certain someone will help me eat wisely."
MID_FORTUNE_BAD_07,"[Seadall] t 
[Seadall] Sad 

[Seadall] 
It's Le Désespoir! The card of despair warns 
negativity may consume them. They must focus 
on someone in their thoughts to break free."
MID_FORTUNE_BAD_07_S,"[Seadall] t 
[Seadall] Sad 

[Seadall] 
It's Le Désespoir─the card of despair. I must 
resist the gloom it foretells! I know! I'll light 
candles with someone I've been thinking about."
MID_FORTUNE_BAD_08,"[Seadall] t 
[Seadall] Surprise 

[Seadall] 
It is La Trahison! The card predicts a betrayal is 
in their future. Hmm...it seems someone on 
their mind may eat the sweets they've hidden."
MID_FORTUNE_BAD_08_S,"[Seadall] t 
[Seadall] Sad 

[Seadall] 
La Trahison?! So, I've been betrayed. It seems 
someone ate my snack. Could it be the person 
I've been thinking about? I must find out!"
MID_FORTUNE_BAD_09,"[Seadall] t 
[Seadall] Sad 

[Seadall] 
Hmm, La Blessure... The injury card warns they 
may take a fall. The wound will heal quickly if 
treated by the person they've been thinking of."
