key,text
MID_GR_Alfred_A_#001,"[Alfred] 1 
[Byleth] 2 
[Byleth] 
Alfred? You look like you have something 
to say."
MID_GR_Alfred_A_#002,"[Alfred] 
I wondered if you also had a tough time building 
muscle. Probably runs in the family, right?"
MID_GR_Alfred_A_#003,"[Byleth] 
Actually, my father was rather burly."
MID_GR_Alfred_A_#004,"[Alfred] 
What?! So one day, you might be too?! Boy, 
do I envy you. If that happens, show me!"
MID_GR_Alfred_B_#001,"[Alfred] 1 
[Byleth] 2 
[Alfred] 
Hah! Hrah! Guh-GRAH! Whew! I'm about ready 
to call it a day if you are."
MID_GR_Alfred_B_#002,"[Byleth] 
You seem to never get tired of training. Is there 
no end to your stamina?"
MID_GR_Alfred_C_#001,"[Alfred] 1 
[Byleth] 2 
[Alfred] 
I did all that training so I could fight for my 
country. But it doesn't feel great that I have to."
MID_GR_Alfred_C_#002,"[Byleth] 
Then let's move swiftly and end the war so 
that we can all put our blades down for good."
MID_GR_Anna_A_#001,"[Anna] 1 
[Byleth] 2 
[Anna] 
Survey time! What products do you most wish 
I would stock?"
MID_GR_Anna_A_#002,"[Byleth] 
I used to love fishing on my days off, so I guess 
I'd like it if you sold rods and bait."
MID_GR_Anna_A_#003,"[Anna] 
Great suggestion! Although it's sad to know 
you don't have a use for them yourself."
MID_GR_Anna_A_#004,"[Byleth] 
I'm not too upset about it. It would make me 
happy just to see people have fun fishing."
MID_GR_Anna_B_#001,"[Anna] 1 
[Byleth] 2 
[Anna] 
There's got to be something I can do to make 
people buy more stuff. Any ideas, Professor?"
MID_GR_Anna_B_#002,"[Byleth] 
Maybe you could make some of your goods 
limited-time offers. That might entice buyers."
MID_GR_Anna_C_#001,"[Anna] 1 
[Byleth] 2 
[Anna] 
How goes it, Professor? Anything I can do 
for you?"
MID_GR_Anna_C_#002,"[Byleth] 
Oh, no. I just came to see if you were someone 
I knew once."
MID_GR_Bonet_A_#001,"[Bunet] 1 
[Byleth] 2 
[Bunet] 
Thanks to you and your recipe, the meal was a 
success, and everyone is satisfied."
MID_GR_Bonet_A_#002,"[Byleth] 
Excellent, I'm glad I could help."
MID_GR_Bonet_A_#003,"[Bunet] 
Everyone but me, that is. I must learn more 
dishes from your world. Teach me, Professor!"
MID_GR_Bonet_A_#004,"[Byleth] 
Haha, how could I possibly say no? I'll teach 
you as many recipes as you like, Bunet."
MID_GR_Bonet_B_#001,"[Bunet] 1 
[Byleth] 2 
[Bunet] 
I've heard you know how to cook, Byleth. Could 
you teach me some recipes from your world?"
MID_GR_Bonet_B_#002,"[Byleth] 
I'd be glad to. But first things first... We must 
find out if the same ingredients exist here."
MID_GR_Bonet_C_#001,"[Bunet] 1 
[Byleth] 2 
[Bunet] 
So, there was a dining hall at the school in your 
world. I'm intrigued to hear about the cuisine."
MID_GR_Bonet_C_#002,"[Byleth] 
I hate to disappoint you, but the fare wasn't 
what you'd call a culinary achievement."
MID_GR_Boucheron_A_#001,"[Boucheron] 1 
[Byleth] 2 
[Byleth] 
I see you fish as well, huh? There's something 
I haven't done in too long."
MID_GR_Boucheron_A_#002,"[Boucheron] 
You're into fishing too?! Perfect! You can come 
out to the lake with me next time."
MID_GR_Boucheron_A_#003,"[Boucheron] 
Unless it'll be boring for you to just watch."
MID_GR_Boucheron_A_#004,"[Byleth] 
Not at all. I'm looking forward to it."
MID_GR_Boucheron_B_#001,"[Boucheron] 1 
[Byleth] 2 
[Byleth] 
You must be back from your workout if you're 
that sweaty. You always do give it your all."
MID_GR_Boucheron_B_#002,"[Boucheron] 
If only. I've actually been lost all night, 
wandering around trying to find my room."
MID_GR_Boucheron_C_#001,"[Boucheron] 1 
[Byleth] 2 
[Byleth] 
There you are, Boucheron. Alfred's been 
calling for you."
MID_GR_Boucheron_C_#002,"[Boucheron] 
Ah, thanks. Um, one moment, though─can you 
direct me to where exactly he is?"
