key,text
MID_GR_Alfred_A_#001,"[Alfred] 1 
[Leif] 2 
[Alfred] 
I hide it well, but I was a pretty sickly kid. My 
mother was always worried about my health."
MID_GR_Alfred_A_#002,"[Leif] 
It is your intense training that has brought you 
your current, robust health, I take it?"
MID_GR_Alfred_A_#003,"[Alfred] 
No doubt. I took it seriously and never missed 
a single workout session."
MID_GR_Alfred_A_#004,"[Leif] 
I could learn a lot from your dedication and how 
you overcome your problems without giving up."
MID_GR_Alfred_B_#001,"[Alfred] 1 
[Leif] 2 
[Leif] 
Why are you staring so intently at your arm?"
MID_GR_Alfred_B_#002,"[Alfred] 
Just checking in with my body. My arms say 
everything's A-OK! How about you, Leif?"
MID_GR_Alfred_C_#001,"[Alfred] 1 
[Leif] 2 
[Alfred] 
Nng, ngh, hyah... Another solid morning's 
training done with!"
MID_GR_Alfred_C_#002,"[Leif] 
How driven he must be to begin his training so 
early in the morning! I must follow his example."
MID_GR_Anna_A_#001,"[Anna] 1 
[Leif] 2 
[Leif] 
Why did you decide to join our cause?"
MID_GR_Anna_A_#002,"[Anna] 
Finding my family was a big part of it. Plus, if 
the world ends, my business goes kaput too."
MID_GR_Anna_A_#003,"[Anna] 
I figure people will be so happy when the war 
ends that they'll be willing to spend big!"
MID_GR_Anna_A_#004,"[Leif] 
Ha! You think big yourself, for one so small. 
I suspect you are correct."
MID_GR_Anna_B_#001,"[Anna] 1 
[Leif] 2 
[Leif] 
I see you are in high spirits again today, 
Lady Anna. Are you off to market?"
MID_GR_Anna_B_#002,"[Anna] 
Yep! Today I'm rolling out a special membership 
program for repeat customers."
MID_GR_Anna_C_#001,"[Anna] 1 
[Leif] 2 
[Leif] 
Have I...met you before?"
MID_GR_Anna_C_#002,"[Anna] 
I'm Lady Anna, a traveling merchant! I sell only 
the best, so snap it up now or regret it later!"
MID_GR_Bonet_A_#001,"[Bunet] 1 
[Leif] 2 
[Leif] 
You want to make a dish...out of the glowy light 
emitted by Emblems? Is this even possible?"
MID_GR_Bonet_A_#002,"[Bunet] 
So far, I haven't been able to capture the glow, 
but I am certain it will taste delicious when I do."
MID_GR_Bonet_A_#003,"[Bunet] 
Which is why I need you, Leif. I need you to use 
all your might to glow as brightly as you can."
MID_GR_Bonet_A_#004,"[Leif] 
I am not convinced this glow of mine will taste 
good. But for you Bunet, I will glow my best!"
