key,text
MID_GR_Alfred_A_#001,"[Alfred] 1 
[Marth] 2 
[Marth] 
You have a true passion for exercise. I applaud 
your dedication."
MID_GR_Alfred_A_#002,"[Alfred] 
I was a sickly kid, so I used to do it to toughen 
up. It's grown into a hobby by now."
MID_GR_Alfred_A_#003,"[Marth] 
Illness can lay low even the hardiest knight. 
You have done well to compensate for it."
MID_GR_Alfred_A_#004,"[Alfred] 
I train hard, that's all. Speaking of which, I'm 
going for a run. Wanna join me?"
MID_GR_Alfred_B_#001,"[Alfred] 1 
[Marth] 2 
[Marth] 
You look troubled, Alfred. Is there something 
weighing on you?"
MID_GR_Alfred_B_#002,"[Alfred] 
I was feeling down about how scrawny I still 
am. Maybe I'll go for a jog. That usually helps."
MID_GR_Alfred_C_#001,"[Alfred] 1 
[Marth] 2 
[Alfred] 
That's the ring the Divine One wore in their 
sleep. What an honor to serve with you."
MID_GR_Alfred_C_#002,"[Marth] 
I am glad to fight beside such a worthy prince. 
Together, may we bring about peace."
MID_GR_Anna_A_#001,"[Anna] 1 
[Marth] 2 
[Anna] 
Good news! Today is now officially ""Marth-Anna 
Friendship Day""!"
MID_GR_Anna_A_#002,"[Marth] 
An occasion worth marking. But why declare 
it a holiday all its own?"
MID_GR_Anna_A_#003,"[Anna] 
Because that means there's gotta be a party! 
Also, it'll help make sure I never forget you!"
MID_GR_Anna_A_#004,"[Marth] 
Well, I am honored to be celebrated. But I would 
remember you fondly even without a holiday."
MID_GR_Anna_B_#001,"[Anna] 1 
[Marth] 2 
[Anna] 
You should stop by my village when the fighting 
is over! We'll throw a big ol' party for you!"
MID_GR_Anna_B_#002,"[Marth] 
I would enjoy seeing where you hail from. 
I have heard each day there is a festival."
MID_GR_Anna_C_#001,"[Anna] 1 
[Marth] 2 
[Marth] 
I worried how you would fare in combat, but 
you have proven to be a staunch ally, Anna."
MID_GR_Anna_C_#002,"[Anna] 
I got pretty good with an axe from all the wood 
I used to chop. And that's Lady Anna to you!"
MID_GR_Bonet_A_#001,"[Bunet] 1 
[Marth] 2 
[Marth] 
You are trying to rebuild your parents' 
restaurant, I hear. It was destroyed by bandits?"
MID_GR_Bonet_A_#002,"[Bunet] 
Yes. It was a terrible time for me. But my dear 
friend Fogado...he saved me."
