key,text
MID_GR_Alfred_A_#001,"[Alfred] 1 
[Micaiah] 2 
[Alfred] 
I train and train, but I just can't seem to build 
muscle. Any idea why that might be?"
MID_GR_Alfred_A_#002,"[Micaiah] 
Maybe it's your constitution? My oldest friend 
had the same problem."
MID_GR_Alfred_A_#003,"[Alfred] 
I know! I'll get the whole kingdom together to 
come up with something to push past my limits!"
MID_GR_Alfred_A_#004,"[Micaiah] 
Wow, you're serious about this. It's good to 
be committed, but be careful not to overdo it."
MID_GR_Alfred_B_#001,"[Alfred] 1 
[Micaiah] 2 
[Alfred] 
I hear you can sense people's thoughts. Bet it 
won't work on me! I've been training."
MID_GR_Alfred_B_#002,"[Micaiah] 
Oh? You seem pretty sure about that. 
Why don't we test that claim?"
MID_GR_Alfred_C_#001,"[Alfred] 1 
[Micaiah] 2 
[Alfred] 
I'm happy to fight alongside one of the 
Emblems our kingdom kept safe."
MID_GR_Alfred_C_#002,"[Micaiah] 
I feel the same way. I wondered what you might 
be like, and you're as amazing as I hoped."
MID_GR_Anna_A_#001,"[Anna] 1 
[Micaiah] 2 
[Micaiah] 
Your grumbling has been noticeable for a while 
now, Anna. Is there something wrong?"
MID_GR_Anna_A_#002,"[Anna] 
Yeah. Sales have been in a slump. I've gotta 
turn things around, and fast."
MID_GR_Anna_A_#003,"[Anna] 
I know! You predict what'll sell in the future and 
I'll make sure to stock it! I'm a genius!"
MID_GR_Anna_A_#004,"[Micaiah] 
Hmhm! We can certainly try that, but these 
things don't always go the way you'd think."
MID_GR_Anna_B_#001,"[Anna] 1 
[Micaiah] 2 
[Micaiah] 
It's really impressive that you run a business 
all by yourself, Anna. And at your age too."
MID_GR_Anna_B_#002,"[Anna] 
Don't bring age into this! I was born to sell, 
and I've been selling since I was born!"
MID_GR_Anna_C_#001,"[Anna] 1 
[Micaiah] 2 
[Anna] 
Micaiah! You won't believe what I just got in 
stock! Come take a peek─you won't regret it!"
MID_GR_Anna_C_#002,"[Micaiah] 
Hmhm! All right, all right. You're a merchant 
through and through, aren't you?"
MID_GR_Bonet_A_#001,"[Bunet] 1 
[Micaiah] 2 
[Bunet] 
To be a great chef, one must have a profound 
understanding of flavors─of ALL flavors."
MID_GR_Bonet_A_#002,"[Micaiah] 
Hmhm! You sound like someone who has a true 
passion for his profession."
MID_GR_Bonet_A_#003,"[Bunet] 
That I do. Which is why I'd love to know what 
flavor that fabulous silver hair of yours is."
MID_GR_Bonet_A_#004,"[Micaiah] 
I suppose...none? It has no physical form, you 
see. But I'll take your curiosity as a compliment."
MID_GR_Bonet_B_#001,"[Bunet] 1 
[Micaiah] 2 
[Micaiah] 
What do you have there, Bunet? Something 
special for a dish you're preparing?"
MID_GR_Bonet_B_#002,"[Bunet] 
These are edible flowers. They're difficult to 
grow but taste heavenly in tea and salads."
MID_GR_Bonet_C_#001,"[Bunet] 1 
[Micaiah] 2 
[Micaiah] 
Are you heading to the garden, Bunet? 
If so, might I accompany you?"
MID_GR_Bonet_C_#002,"[Bunet] 
You love flowers, don't you? Please, join me. 
Let's enjoy all the garden has to offer."
MID_GR_Boucheron_A_#001,"[Boucheron] 1 
[Micaiah] 2 
[Micaiah] 
You seem a little down. What's the matter?"
MID_GR_Boucheron_A_#002,"[Boucheron] 
Well, Prince Alfred was saying, once again, how 
jealous he is of my physique."
MID_GR_Boucheron_A_#003,"[Boucheron] 
He wished he could ""trade everything from the 
neck down."" Now I'm stuck with that image."
MID_GR_Boucheron_A_#004,"[Micaiah] 
Hmhm! I can see why he'd wish that, but I think 
you're both perfect the way you are."
MID_GR_Boucheron_B_#001,"[Boucheron] 1 
[Micaiah] 2 

[Boucheron] 
Ohoho, I love fishing. When my line is cast, I 
could sit there without a thought in my head."
MID_GR_Boucheron_B_#002,"[Micaiah] 
I know what you mean. For me, I can relax like 
that in the shade of the forest's trees."
MID_GR_Boucheron_C_#001,"[Boucheron] 1 
[Micaiah] 2 

[Boucheron] 
Ah, um...Micaiah, right? Could I trouble you to 
tell me my fortune?"
MID_GR_Boucheron_C_#002,"[Micaiah] 
Boucheron, if you're lost, you can just ask me 
for directions."
MID_GR_Celine_A_#001,"[Céline] 1 
[Micaiah] 2 

[Céline] 
Is it true that you can foresee the future? Do 
you find that to be a blessing or a burden?"
MID_GR_Celine_A_#002,"[Micaiah] 
I've had some unpleasant visions, if that's what 
you mean. They made it hard to stay positive."
MID_GR_Celine_A_#003,"[Micaiah] 
But they don't necessarily come true. We have 
the power to shape our own tomorrow."
MID_GR_Celine_A_#004,"[Céline] 
I believe it is your ability to see silver linings─ 
rather than the future─that makes you special."
MID_GR_Celine_B_#001,"[Céline] 1 
[Micaiah] 2 

[Céline] 
Prayer alone won't bring peace. We must keep 
fighting, no matter how thorny the path."
MID_GR_Celine_B_#002,"[Micaiah] 
You're right. We have to fight together. I'll back 
you up anytime, Céline."
MID_GR_Celine_C_#001,"[Céline] 1 
[Micaiah] 2 

[Céline] 
So you were in Firene the whole time, Micaiah? 
I was quite surprised when Mother told us."
MID_GR_Celine_C_#002,"[Micaiah] 
My Emblem Ring was something of a secret. 
But I'm glad the secret's out, so we can talk!"
MID_GR_Chloe_A_#001,"[Chloé] 1 
[Micaiah] 2 
[Micaiah] 
What made you become a knight, Chloé?"
MID_GR_Chloe_A_#002,"[Chloé] 
I loved the idea of a young noble on pegasus- 
back protecting the princess, like in fairy tales."
MID_GR_Chloe_A_#003,"[Chloé] 
Oh, but I take it seriously too! I'm going to fight 
for a peaceful Firene, if you'll fight with me!"
MID_GR_Chloe_A_#004,"[Micaiah] 
That sounds like a lovely tale. I'd be happy to 
play a part in it."
MID_GR_Chloe_B_#001,"[Chloé] 1 
[Micaiah] 2 
[Chloé] 
I got my hands on some salted, fermented fish. 
I hear it tastes good enough to knock you flat!"
MID_GR_Chloe_B_#002,"[Micaiah] 
Never mind the taste. I'm worried the smell will 
be enough to do the job..."
MID_GR_Chloe_C_#001,"[Chloé] 1 
[Micaiah] 2 
[Chloé] 
Wow, Micaiah! You're looking radiant as ever. 
All you need now is a sweet little bird."
MID_GR_Chloe_C_#002,"[Micaiah] 
Hmhm! Thank you! You're looking like 
something out of a storybook yourself."
MID_GR_Citrinica_A_#001,"[Citrinne] 1 
[Micaiah] 2 

[Citrinne] 
Children always cry when they see me smile... 
How can I get them to stop being scared of me?"
MID_GR_Citrinica_A_#002,"[Micaiah] 
It's normal for children to fear strangers. 
I'm sure they won't cry after they've met you!"
MID_GR_Citrinica_A_#003,"[Citrinne] 
Oh! I see! So...you don't find my smile even the 
least bit frightening, Micaiah?"
MID_GR_Citrinica_A_#004,"[Micaiah] 
Not one bit. I see only kindness. If that kindness 
can survive this war, it can survive anything."
MID_GR_Citrinica_B_#001,"[Citrinne] 1 
[Micaiah] 2 
[Micaiah] 
You're carrying an awful lot of candy, Citrinne. 
Are you on your way to some sort of festival?"
MID_GR_Citrinica_B_#002,"[Citrinne] 
Oh, this? I just discovered that a friend of mine 
has a sweet tooth. I'm on my way to spoil them!"
MID_GR_Citrinica_C_#001,"[Citrinne] 1 
[Micaiah] 2 

[Citrinne] 
This world must seem so confusing to you and 
your fellow Emblems. If I can ever help, I shall."
MID_GR_Citrinica_C_#002,"[Micaiah] 
How considerate! Thank you, Citrinne. I might 
take you up on that."
MID_GR_Clan_A_#001,"[Clanne] 1 
[Micaiah] 2 
[Micaiah] 
You look like you feel down, Clanne. 
Can I help you with anything?"
MID_GR_Clan_A_#002,"[Clanne] 
I'm thinking about the Divine Dragon and, well, 
my heart kind of aches because of it."
MID_GR_Clan_A_#003,"[Clanne] 
Imagine sleeping that long, then you wake up 
and it's just bad thing after bad thing..."
MID_GR_Clan_A_#004,"[Micaiah] 
That's sweet. Let us both help to end the war, 
so everyone can have peace in their life."
MID_GR_Clan_B_#001,"[Clanne] 1 
[Micaiah] 2 
[Clanne] 
I saw you in the Somniel's forest the other day, 
Lady Micaiah. What were you doing there?"
MID_GR_Clan_B_#002,"[Micaiah] 
I was listening to the birds. They remind me of 
an old friend, and it puts my mind at ease."
MID_GR_Clan_C_#001,"[Clanne] 1 
[Micaiah] 2 
[Micaiah] 
I can see why you revere the Divine Dragon. 
Few people possess such a special charm."
MID_GR_Clan_C_#002,"[Clanne] 
I agree! Would you like to take care of the 
Divine Dragon with me?!"
MID_GR_Diamand_A_#001,"[Diamant] 1 
[Micaiah] 2 
[Diamant] 
As a future king, I've studied all major subjects: 
political theory, economics, martial arts..."
MID_GR_Diamand_A_#002,"[Diamant] 
But magic? I could never get a handle on magic. 
It seems beyond me..."
MID_GR_Diamand_A_#003,"[Micaiah] 
So...even the crown prince of Brodia has room 
for growth. That's a bit surprising!"
MID_GR_Diamand_A_#004,"[Micaiah] 
If magic concerns you, just count on me. I'll do 
everything I can to support you in battle."
MID_GR_Diamand_B_#001,"[Diamant] 1 
[Micaiah] 2 
[Micaiah] 
Another day of training? Your diligence is 
remarkable, Diamant."
MID_GR_Diamand_B_#002,"[Diamant] 
Commanders don't get days off. Daily training is 
the best way to keep the odds in our favor."
MID_GR_Diamand_C_#001,"[Diamant] 1 
[Micaiah] 2 
[Diamant] 
I hear you're well-versed in magic, Micaiah. And 
you're a skilled healer as well? How impressive!"
MID_GR_Diamand_C_#002,"[Micaiah] 
Such direct praise! I'm a bit embarrassed...but 
I do appreciate your kind words, Diamant."
MID_GR_Etie_A_#001,"[Etie] 1 
[Micaiah] 2 
[Micaiah] 
Wow, your abs are so...toned. That must have 
taken a lot of work."
MID_GR_Etie_A_#002,"[Etie] 
Yeah, I guess so. I just like giving my abs 
some tough love."
MID_GR_Etie_A_#003,"[Micaiah] 
How so?"
MID_GR_Etie_A_#004,"[Etie] 
By working them hard! The rougher the routine, 
the better that exhaustion feels afterward."
MID_GR_Etie_B_#001,"[Etie] 1 
[Micaiah] 2 
[Micaiah] 
What a nice scent...and such pretty flowers! 
Isn't your hometown famous for its gardens?"
MID_GR_Etie_B_#002,"[Etie] 
Yeah, I get them delivered sometimes. Not so 
much now, though, what with the war."
MID_GR_Etie_C_#001,"[Etie] 1 
[Micaiah] 2 
[Micaiah] 
What's that you drink after your workouts? 
I've seen Alfred downing it too."
MID_GR_Etie_C_#002,"[Etie] 
It's a special drink made with a raw egg. If I'm 
right, it should help build muscle mass!"
MID_GR_Fogato_A_#001,"[Fogado] 1 
[Micaiah] 2 
[Micaiah] 
You are looking rather pleased with yourself, 
Fogado. Why is that?"
MID_GR_Fogato_A_#002,"[Fogado] 
I just got my hands on this super-rare musical 
instrument. I can't wait to give it to my sis."
MID_GR_Fogato_A_#003,"[Micaiah] 
Oh, I'm sure she'll be delighted. You really do 
care for her, don't you?"
MID_GR_Fogato_A_#004,"[Fogado] 
You know how it is. You've got to show the love 
to the people you love."
MID_GR_Fogato_B_#001,"[Fogado] 1 
[Micaiah] 2 

[Fogado] 
Hey, Micaiah. Got any plans for tomorrow?"
MID_GR_Fogato_B_#002,"[Micaiah] 
You're having another party, aren't you? But 
you had one yesterday and the day before that."
MID_GR_Fogato_C_#001,"[Fogado] 1 
[Micaiah] 2 

[Fogado] 
Hey, Micaiah! I think it's time we throw a party 
to celebrate all our new friends. You in?"
MID_GR_Fogato_C_#002,"[Micaiah] 
Hmhm! That certainly sounds like fun. I would 
be happy to join."
MID_GR_Fram_A_#001,"[Framme] 1 
[Micaiah] 2 
[Framme] 
Lady Micaiah! No matter what anyone says, I'm 
the Divine Dragon's number one fan! Right?!"
MID_GR_Fram_A_#002,"[Micaiah] 
What's this all about, Framme?"
MID_GR_Fram_A_#003,"[Framme] 
It's just, there are so many more Divine Dragon 
fans these days. What if I lose my spot?"
MID_GR_Fram_A_#004,"[Micaiah] 
Hmm, I see. Why don't I read your fortune? 
I think it might offer you the guidance you need."
