key,text
MIID_Actinidia,Animal Treats
MIID_AlfredBento,Alfred's Meal
MIID_AnnaBento,Anna's Meal
MIID_Antidote,Antitoxin
MIID_Apple,Apple
MIID_Apron,Cute Apron
MIID_Armorslayer,Armorslayer
MIID_Bandage,Bandages
MIID_BasicFist,Iron-Body Art
MIID_Bean,Beans
MIID_BeautifulStones,Pretty Pebble
MIID_Beef,Beef
MIID_BeginnerFist,Initiate Art
MIID_Berry,Berries
MIID_Bible,Dragon Scripture
MIID_BigDish,Large Plate
MIID_Block,Obstruct
MIID_Bolganone,Bolganone
MIID_BonetBento,Bunet's Meal
MIID_Boots,Boots
MIID_BoucheronBento,Boucheron's Meal
MIID_BraveAxe,Brave Axe
MIID_BraveBow,Brave Bow
MIID_BraveLance,Brave Lance
MIID_BraveSword,Brave Sword
MIID_Byleth_AegisShield,Aegis Shield
MIID_Byleth_Areadbhar,Areadbhar
MIID_Byleth_Aymr,Aymr
MIID_Byleth_Blutgang,Blutgang
MIID_Byleth_Failnaught,Failnaught
MIID_Byleth_Luin,Lúin
MIID_Byleth_RafailGem,Rafail Gem
MIID_Byleth_SublimeCreatorSword,Sword of the Creator
MIID_Byleth_Thyrsus,Thyrsus
MIID_Byleth_Vajra,Vajra-Mushti
MIID_Cabbage,Cabbage
MIID_Candle,Lovely Candle
MIID_Carnwenhan,Carnwenhan
MIID_Carp,Carp
MIID_Celica_Angel,Seraphim
MIID_Celica_Ragnarok,Ragnarok
MIID_Celica_Recovery,Recover
MIID_CelineBento,Céline's Meal
MIID_ChangeSeal,Second Seal
MIID_Chicken,Chicken
MIID_Chisel,Sharp Chisel
MIID_ChloeBento,Chloé's Meal
MIID_Chrysanthemum,Chrysanthemum
MIID_Cinquedea,Cinquedea
MIID_CitrinicaBento,Citrinne's Meal
MIID_ClanBento,Clanne's Meal
MIID_Cod,Cod
MIID_Collapse,Fracture
MIID_CreaturePictureBook,Field Guide
MIID_DROPITEM_MONEY,G
MIID_DecorativeDagger,Fancy Dagger
MIID_DefTonic,Defense Tonic
MIID_DiamandBento,Diamant's Meal
MIID_Dracoshield,Dracoshield
MIID_Dragonslayer,Wyrmslayer
MIID_Draw,Entrap
MIID_DriedFish,Dried Fish
MIID_DriedMeat,Dried Meat
MIID_Eel,Eel
MIID_Egg,Eggs
MIID_Eirik_Rapier,Rapier
MIID_Eirik_Sieglinde,Sieglinde
MIID_Eirik_Siegmund,Siegmund
MIID_Eirik_WindSword,Wind Sword
MIID_EnergyDrop,Energy Drop
MIID_EtieBento,Etie's Meal
MIID_Excalibur,Excalibur
MIID_FairyTaleBook,Fairy-Tale Book
MIID_FarHeal,Physic
MIID_Fensalir,Fensalir
MIID_Fire,Fire
MIID_FireBreath,Fire Breath
MIID_FireCannon,Flame Cannon
MIID_FishingBait,Fishing Bait
MIID_FishingRod_AllPurpose,Supreme Rod
MIID_FishingRod_Normal,Sturdy Rod
MIID_FishingRod_Smoll,Modest Rod
MIID_FlameBall,Fireball
MIID_FlameSpear,Flame Lance
MIID_FlashFist,Flashing Fist Art
MIID_FogatoBento,Fogado's Meal
MIID_Folkvangr,Fólkvangr
MIID_FramBento,Framme's Meal
MIID_Freeze,Freeze
MIID_GodAxe,Fragarach
MIID_GodAxeL,Ukonvasara
MIID_GodBow,Lendabair
MIID_GodFist,Divine Fist Art
MIID_GodLance,Brionac
MIID_GodLanceL,Venomous
MIID_GodSword,Caladbolg
MIID_GodSwordL,Georgios
MIID_GoddessAgain,Goddess Dance
MIID_GoddessAgain_Dark,Diabolical Dance
MIID_GoddessIcon,Goddess Icon
MIID_GoldmaryBento,Goldmary's Meal
MIID_Grape,Grapes
MIID_GrilledPotato,Roasted Yam
MIID_GuardFist,Shielding Art
MIID_H_Actinidia,"A tightly sealed bottle of pungent 
treats that will draw all kinds of 
creatures. Favored by animal fans."
MIID_H_AlfredBento,"Leftovers fiercely packed by Alfred. 
Eat to recover 20 HP."
MIID_H_AnnaBento,"Leftovers economically packed by 
Anna. Eat to recover 20 HP."
