key,text
MID_LVUP_1_Alfred,"[Alfred] t 
[Alfred] Surprise 
[Alfred] 
Oh well. That'll happen sometimes."
MID_LVUP_1_Anna,"[Anna] t 
[Anna] Pain 
[Anna] 
I'm...just saving up for the next one! It's gonna 
be a blowout, I know it!"
MID_LVUP_1_Bonet,"[Bunet] t 
[Bunet] Surprise 
[Bunet] 
It's not the flavor I was hoping for."
MID_LVUP_1_Boucheron,"[Boucheron] t 

[Boucheron] Sad 

[Boucheron] 
This is so embarrassing. Don't look at me─ 
I think I'm about to cry."
MID_LVUP_1_Celine,"[Céline] t 
[Céline] Sad 

[Céline] 
The power to achieve peace will come to me 
in time. I'm certain of it."
MID_LVUP_1_Chloe,"[Chloé] t 
[Chloé] Sad 
[Chloé] 
Sorry about that. I'm too hungry to focus."
MID_LVUP_1_Citrinica,"[Citrinne] t 

[Citrinne] Sad 

[Citrinne] 
Oh, my... Perhaps I'll do better next time."
MID_LVUP_1_Clan,"[Clanne] t 
[Clanne] Sad 
[Clanne] 
I guess I wasn't trying hard enough to 
get better..."
MID_LVUP_1_Diamand,"[Diamant] t 
[Diamant] Status 
[Diamant] 
No time for regrets. I have to fight with every 
bit of my strength."
MID_LVUP_1_Etie,"[Etie] t 

[Etie] Surprise 

[Etie] 
Ugh. I've still got a lot of training to do."
MID_LVUP_1_Fogato,"[Fogado] t 

[Fogado] Shy 

[Fogado] 
Heh, sorry. That wasn't what I was hoping for."
MID_LVUP_1_Fram,"[Framme] t 
[Framme] Surprise 
[Framme] 
Hey, what gives?! I worked really hard!"
MID_LVUP_1_Goldmary,"[Goldmary] t 
[Goldmary] Surprise 
[Goldmary] 
What? Excuse me, what?"
MID_LVUP_1_Hortensia,"[Hortensia] t 
[Hortensia] StandBy 
[Hortensia] 
Guess I need to try harder."
MID_LVUP_1_Ivy,"[Ivy] t 
[Ivy] Sad 

[Ivy] 
Forgive me, Divine One. I have let you down."
MID_LVUP_1_Jade,"[Jade] t 
[Jade] Sad 

[Jade] 
""The knight's strength grew...but not by much."""
MID_LVUP_1_Jean,"[Jean] t 
[Jean] Sad 
[Jean] 
Not good. Guess I'll have to study even harder."
MID_LVUP_1_Kagetsu,"[Kagetsu] t 
[Kagetsu] Surprise 
[Kagetsu] 
What is this?! I do not understand!"
MID_LVUP_1_Lapis,"[Lapis] t 
[Lapis] Sad 
[Lapis] 
Ugh. This feels like tallying up a pitiful harvest 
back home..."
MID_LVUP_1_Linden,"[Lindon] t 
[Lindon] Serious 

[Lindon] 
My days of getting better are long, long past."
MID_LVUP_1_Louis,"[Louis] t 
[Louis] Surprise 
[Louis] 
Oh dear. I can─and will─do better than this."
MID_LVUP_1_Lueur,"[Alear] t 
[Alear] Sad 

[Alear] 
That wasn't much."
MID_LVUP_1_Mauve,"[Mauvier] t 
[Mauvier] Serious 
[Mauvier] 
I need to be more diligent."
MID_LVUP_1_Merin,"[Merrin] t 
[Merrin] Shy 
[Merrin] 
Ugh...that wasn't very cool. I wish you hadn't 
seen that."
MID_LVUP_1_Misutira,"[Timerra] t 

[Timerra] Shy 

[Timerra] 
Ouch. Oh well, I guess these things happen."
MID_LVUP_1_Pandoro,"[Pandreo] t 
[Pandreo] Pain 

[Pandreo] 
Oh Divine One, please forgive this poor lost 
sheep."
MID_LVUP_1_Panetone,"[Panette] t 
[Panette] Pain 

[Panette] 
Ugh. That's no good."
MID_LVUP_1_Rosado,"[Rosado] t 
[Rosado] Shy 

[Rosado] 
Good thing I'm already cute."
MID_LVUP_1_Saphir,"[Saphir] t 

[Saphir] StandBy 

[Saphir] 
I'll get 'em next time."
MID_LVUP_1_Seadas,"[Seadall] t 
[Seadall] Normal 

[Seadall] 
Not all efforts are worthy of reward."
MID_LVUP_1_Staluke,"[Alcryst] t 

[Alcryst] Sad 

[Alcryst] 
I knew it. This is the best that someone like me 
can do..."
MID_LVUP_1_Umber,"[Amber] t 
[Amber] Pain 

[Amber] 
Yes! I'm gonna be way stronger now, right? 
So...why do I still feel so scrawny?!"
MID_LVUP_1_Vandre,"[Vander] t 

[Vander] Sad 

[Vander] 
Please excuse the minimal results, Divine One."
MID_LVUP_1_Veyre,"[Veyle] t 
[Veyle] Sad 

[Veyle] 
I'm sorry. I hope I didn't disappoint you."
MID_LVUP_1_Yunaka,"[Yunaka] t 
[Yunaka] Shy 
[Yunaka] 
We can laugh this one off, right?"
