key,text
MID_BT1_#001,"[Sombron] b 
[Sombron] 
To die here was ever your destiny. The rings 
are mine."
MID_BT2_#001,"[Sombron] b 
[Sombron] Pain 
[Sombron] 
You have nothing to celebrate."
MID_BT2_#002,"You are weakness itself. You will never 
defeat me."
MID_ED1_#001,"[Marth] 1 
[Alear] 2 
[Marth] [Marth] 
Smile 
Thanks to you, this world is saved, and my 
work here is complete."
MID_ED1_#002,"[Marth] Normal $ [Marth] Positive 
Know that I will always be with you. And that 
we will stand together again, as we did this day."
MID_ED1_#003,"If ever we cross paths again, I hope you will 
remember me."
MID_ED1_#004,"Indeed, that you will remember all of us who 
took up arms to fight by your side."
MID_ED1_#005,"[Marth] Strike "" [Marth] Special 
The 12 Emblems."
MID_EV1_#001,"[Marth] t 
[Marth] 
Angry 
[Marth] 
Move in. I'll remain by your side."
MID_EV2_#001,"[Sombron] b 
[Sombron] 
You have no hope of defeating me. Not even 
with your Emblem."
MID_EV3_#001,"[Marth] t 
[Marth] 
Angry 
[Marth] 
He's within reach now. We can strike!"
MID_EV4_#001,"[Marth] t 
[Marth] 
Angry 
[Marth] 
We are now connected and can unleash a 
powerful attack."
MID_EV4_#002,"Together, !"
MID_EV5_#001,"[Marth] t 
[Marth] 
Angry 
[Marth] 
Aren't you going to battle him? We're strong 
together, . Let's fight!"
MID_EV6_#001,"[Marth] t 
[Marth] 
Angry 
[Marth] 
Let's face him head on. He's no match for us."
MID_EV7_#001,"[Marth] t 
[Marth] 
Angry 
[Marth] 
It's time, . Engage!"
MID_MOVIE1_#001,The time has come!
MID_MOVIE1_#002,Now...as one!
MID_MOVIE1_#003,Emblem engage!
MID_OP1_#001,"[Marth] 
Almost time."
MID_OP1_#002,"[Ivy] 
We can handle this."
MID_OP1_#003,"[Diamant] 
Keep them back!"
MID_OP1_#004,"[Timerra] 
We won't lose!"
MID_OP1_#004_2,"[Timerra] 
Not today!"
MID_OP1_#005,"[Alfred] 
Keep going! You can do this!"
MID_OP1_#006,"[Marth] 
Our final battle lies ahead."
MID_OP1_#007,"[Marth] 
Now. It's time to engage."
MID_OP2_#001,"[Marth] t 
[Marth] 
Angry 
[Marth] 
Let's go, . One last battle and the 
war will be over."
MID_OP2_#002,"The others fought hard to clear a path for us. 
We can't let them down!"
MID_OP2_#003,[Marth]
MID_OP3_#001,"[Sombron] b 
[Sombron] 
You're here─at your end. This place will be 
your tomb."
MID_OP3_#002,[Sombron]
