key,text
MID_BT1_#001,"[Hortensia] b 
$ [Hortensia] 
Angry 
[Hortensia] 
You got an Emblem Ring? Better cough it up!"
MID_BT2_#001,"[Alear] t 
[Alear] Strike 

[Alear] 
Return the ring."
MID_BT2_#002,"[Hortensia] b 
( [Hortensia] StandBy 
[Hortensia] 
No way! I'm the one who's after the rings."
MID_BT2_#003,"$ [Hortensia] 
Angry 
We could have done this the easy way, but no. 
You had to be stubborn."
MID_BT2_#004,"[Alear] Pain 

[Alear] 
I'm stubborn?"
MID_BT3_#001,"[Hortensia] b 
"" [Hortensia] Pain 
[Hortensia] 
No fair! I lost?"
MID_BT3_#002,"Well, you're not getting my ring! I won't let 
Father down."
MID_BT4_#001,"[Rosado] b 
[Rosado] 
It's your lucky day, cutie. You get to fight me!"
MID_BT5_#001,"[Rosado] b 
[Rosado] 
Smile 
[Rosado] 
Wow, the Divine Dragon! Happy to meet you. 
But I'd be happier if you gave me your rings."
MID_BT5_#002,"[Alear] t 
[Alear] Strike 

[Alear] 
I'd be happy if you surrendered."
MID_BT6_#001,"[Rosado] b 
[Rosado] Pain 
[Rosado] 
I'm sorry, Hortensia. I have to retreat..."
MID_BT7_#001,"[Goldmary] b 
$ [Goldmary] 
Angry 
[Goldmary] 
I'm going to ask you nicely─please die."
MID_BT8_#001,"[Goldmary] b 
[Goldmary] Sad 
[Goldmary] 
Up close, you're only half as captivating as 
I thought, Divine Dragon."
MID_BT8_#002,"[Alear] t 
[Alear] 
Angry 

[Alear] 
That's what you care about? Here, in battle? 
Let's just settle this."
MID_BT9_#001,"[Goldmary] b 
"" [Goldmary] Pain 
[Goldmary] 
You're horrible. That's it... I'm leaving."
MID_ED1_#001,"[Hortensia] 1 
[Hortensia] 
Ugh, this is so frustrating!"
MID_ED1_#002,"Rosado, Goldmary, all soldiers...retreat!"
MID_ED1_#003,"[Hortensia] 

[Alcryst] 4 

[Alcryst] 
They fled in a hurry."
MID_ED1_#004,"[Alfred] 3 
[Alfred] 
Hmm... There's a lot of damage to the bridge. 
It may take time to find a safe path forward."
MID_ED1_#005,"[Alear] 2 

[Alear] 
We didn't recover the Emblem Ring."
MID_ED1_#006,"[Alfred] 
We didn't lose any either. And most importantly, 
you're not hurt."
MID_ED1_#007,Let's call that good enough.
MID_ED1_#008,"[Alear] 
You're right."
MID_ED1_#009,"[Vander] 1 

[Vander] 
It is plain now that Queen Lumera's stolen 
rings lie in Elusia's hands."
MID_ED1_#010,"In which case we can deduce that they 
possess five."
MID_ED1_#011,"[Alear] 
Five?"
MID_ED1_#012,"[Vander] 
Yes, counting the rings taken from 
Lythos Castle."
MID_ED1_#013,"The Rings of the Sage Lord, the Azure Twins, 
the Instructor, and of course, the Princess Exalt."
MID_ED1_#014,"Princess Hortensia was wielding the latter, 
as you'll recall."
MID_ED1_#015,"Besides those four, there was one entrusted 
to them by your forebears."
MID_ED1_#016,"[Alear] 
Which one?"
MID_ED1_#017,"[Alcryst] 
If I may, I believe it's the Ring of the Lady of 
the Plains."
MID_ED1_#018,"The king favors it, or so I've heard. He keeps it 
in his personal chambers."
MID_ED1_#019,"[Alfred] 
His chambers? That's odd. Firene's ring has a 
hall in the castle all to itself."
MID_ED1_#020,Where does your kingdom keep its ring?
MID_ED1_#021,"[Alcryst] 
Like Firene, we store ours in a special gallery in 
the castle."
MID_ED1_#022,"Speaking of which...how soon might we be able 
to depart?"
MID_ED1_#023,I really am worried about the situation there.
MID_ED1_#024,"[Alfred] 
The soldiers should be back from patrol soon."
MID_ED1_#025,"[Alear] 
Let's prepare to leave."
MID_ED1_#026,"[Alcryst] 
Thank you. If anything has happened to my 
father or brother, I don't know what I'll do..."
MID_ED2_#001,Take that!
MID_ED2_#002,Raaargh!
MID_ED2_#003,Almost done.
MID_ED2_#004,Aaagh!
MID_ED2_#005,That's the last of them.
MID_ED2_#005_2,The village...is finally safe.
MID_ED2_#006,"But it's still not good enough. I have... I have to 
be strong."
MID_ED2_#007,"Strong, just like you were. I still miss you so much..."
MID_ED2_#007_2,"And I think about what you said to me...all those 
long years ago."
MID_ED2_#008,Where are you...Brother?
MID_ED2_#008_F,Where are you...Sister?
MID_EV1_#001,"[Alcryst] b 

[Alcryst] 
Angry 

[Alcryst] 
We must deal with them quickly and return to 
the castle. There's not a moment to spare."
MID_EV1_#002,"[Lapis] t 
[Lapis] Strike 
[Lapis] 
Of course, Prince Alcryst. Leave it to us!"
MID_EV1_#003,"[Lapis] 

[Citrinne] t 

[Citrinne] 
Smile 

[Citrinne] 
I wager we'll be back in time for dinner."
MID_EV1_#004,"[Alcryst] 
Smile 

[Alcryst] 
Such confidence. But I'm still concerned 
about casualties."
MID_EV1_#005,"[Alcryst] StandBy 
I will protect you both."
MID_EV1_#006,"[Citrinne] 
[Lapis] t 
[Lapis] Surprise 
[Lapis] 
So brave..."
MID_EV1_#007,"[Lapis] Sad 
But, uh, as your retainers, it's really our job to 
protect you."
MID_EV1_#008,"[Alcryst] 
Angry 

[Alcryst] 
Now, then. Get behind me."
MID_EV1_#009,"[Lapis] Surprise 

[Alcryst] 
[Lapis] 
Huh?!"
MID_EV1_#010,"[Citrinne] b 

[Citrinne] 
Smile 

[Citrinne] 
Haha! Oh, Alcryst, don't be ridiculous. You're 
an archer─you should be at the rear."
MID_EV1_#011,"[Citrinne] 
[Lapis] Surprise 
[Lapis] 
Hang on! Citrinne! You should also be in 
the back!"
MID_EV1_#012,"[Lapis] Pain 
You two..."
MID_EV2_#001,"Default 
[Hortensia] 2 
[Hortensia] 
We've had such a wonderful time playing together, 
haven't we, Divine Dragon? Speaking for myself, 
it's been lovely."
MID_EV2_#002,"So I hope you don't mind...but I've brought a friend 
along to join in the fun!"
MID_EV3_#001,"Default 
[Alear] 1 

[Alear] 
That's an...Emblem!"
MID_EV3_#002,But how? How is she here without my summoning her?
MID_EV3_#003,"[Hortensia] 2 
[Hortensia] 
Look at your face! You silly Divine Dragon, did you think 
Emblems were just a ""you"" thing? Not by a long shot."
MID_EV3_#004,"Yeah, it's a pretty cool trick, huh? I'm so glad I'm able to use 
it. And it's all thanks to Lord Sombron powering up this ring."
MID_EV3_#005,"It's called the Ring of the Princess Exalt. 
Cute, am I right?"
MID_EV3_#006,"[Alear] 
That's one of the rings my mother was protecting! 
Give it back!"
MID_EV3_#007,"[Hortensia] 
Yeah, not gonna happen! It's Elusia's ring now. 
But if you really want to see it one last time..."
MID_EV3_#008,"Come a little closer. I'll give you a good, long look!"
MID_EV4_#001,"[Lapis] t 
[Lapis] 
Angry 
[Lapis] 
Prince Alcryst, Citrinne, stay back! 
I'll handle this."
MID_EV4_#002,"I can knock down anyone who stands in 
our way."
MID_EV5_#001,"[Lapis] t 
[Lapis] Strike 
[Lapis] 
Now's our chance!"
MID_EV6_#001,"[Rosado] b 
[Rosado] 
Smile 
[Rosado] 
Looks like it's starting. To your positions, 
everyone."
MID_EV6_#002,"[Goldmary] t 
&amp; [Goldmary] Normal 
[Goldmary] 
Oh! The Divine Dragon is absolutely..."
MID_EV6_#003,"[Rosado] 
Absolutely not as cute as we are?"
MID_EV6_#004,"[Goldmary] Sad 
[Goldmary] 
Right, exactly."
MID_EV6_#005,"[Rosado] 
Hehe! That's the spirit! Outshine the enemy 
and then defeat them."
MID_EV6_#006,"[Rosado] 
Relax 
Now, let's steal those rings and do Hortensia 
proud. Ready to start?"
MID_EV6_#007,"[Goldmary] Sad 
[Goldmary] 
Yes, Rosado. Let's make quick work of them."
MID_EV7_#001,"[Marth] t 
[Marth] 
Angry 
[Marth] 
That Emblem is a formidable foe."
MID_EV7_#002,"[Marth] 
Nearby enemies can join in her attacks. We'll 
have to be careful."
MID_OP1C_#001,"PP 
[Alfred] 1 
[Alear] 2 
[Alfred] 
So, we made it across the border. We're in 
Brodia territory now."
MID_OP1C_#002,"[Alear] 
The landscape here─it's so different from Firene. 
Nothing but rugged terrain all around us."
MID_OP1C_#003,"[Alfred] 
Watch out!"
MID_OP1C_#004,"[Alear] 
..."
MID_OP1C_#005,"[Alear] 
[Alfred] 
We're under attack?"
MID_OP1C_#006,"[Alfred] 

[Alcryst] 1 
&amp; 
[Alcryst] MPID Unknown 

[Alcryst]"
MID_OP1C_#007,"[Alear] 2 

[Alear] 
Name yourselves!"
MID_OP1C_#008,"[Alcryst] 
I would make the same request of you. After all, 
you are the ones sneaking over our border."
MID_OP1C_#009,"[Alear] 
..."
MID_OP1C_#010,"[Alcryst] 
Identify yourselves...or I will assume you are thieves."
MID_OP1C_#010_2,"[Alcryst] 
This time, I won't miss."
MID_OP1C_#011,"[Alear] 
I'm the Divine Dragon from Lythos, 
not a thief."
MID_OP1C_#012,"[Alfred] 4 
[Alfred] 
I am Alfred, the heir to the throne of Firene─ 
and your ally."
MID_OP1C_#013,"[Alcryst] 
The Divine Dragon...and the crown prince of Firene?"
MID_OP1C_#014,"[Alear] 
That's right. Now I would like to know─who are 
you to shoot at us like that?"
MID_OP1C_#015,"[Alcryst] 
..."
MID_OP1C_#016,I...
MID_OP1C_#017,"[Alear] 
..."
MID_OP1C_#018,"[Alcryst] 
I am so, so, so sorry!"
MID_OP1C_#019,"[Alear] 
Huh?"
MID_OP1C_#020,"[Alcryst] 
I threatened the Divine Dragon and the crown prince 
of Firene!"
MID_OP1C_#020_2,"[Alcryst] 
I'm begging─please find it in your hearts to 
forgive me!"
MID_OP1_#001,"[Alfred] 0 
[Alear] 1 

[Alcryst] 2 

[Alear] 
It's all right. No harm was done."
MID_OP1_#002,"[Alfred] 
That was quite the bow, soldier. Must have 
been hard on the knees."
MID_OP1_#003,"Hmm...wait a second. Your face looks 
awfully familiar."
MID_OP1_#004,"You're not just a soldier, are you?"
MID_OP1_#005,"[Alcryst] 
No. I'm Alcryst, second prince of Brodia."
MID_OP1_#006,"[Alear] 
Prince?"
MID_OP1_#007,"[Alfred] 
I thought so! How's it going, Prince Alcryst?"
MID_OP1_#008,"[Alcryst] 
Even worse than usual. I'm sorry for taking so 
long to introduce myself."
MID_OP1_#009,"Oh, these are my retainers, Lapis and Citrinne."
MID_OP1_#010,"[Citrinne] 3 

[Citrinne] 
Honored to meet you and your coterie."
MID_OP1_#011,"[Citrinne] 
[Lapis] 3 
[Lapis] 
Yeah, welcome to Brodia."
MID_OP1_#012,"[Alear] 
I can't say I feel very welcome. You still look 
like you're ready to kill us."
MID_OP1_#013,"[Alcryst] 
We're merely a little tense."
MID_OP1_#014,"My father, King Morion, received word from 
Queen Ève that your party was on its way."
MID_OP1_#015,"He ordered us to meet you at the border and 
formally welcome you to the kingdom."
MID_OP1_#016,"We've been waiting for a long time, and all we 
encountered were bizarre creatures. Or bandits."
MID_OP1_#017,We assumed you were more of the same.
MID_OP1_#018,"[Alfred] 
I'm sorry for the delay. We had to take a 
little detour."
MID_OP1_#019,"Still, if your arrow hit the Divine One, Brodia's 
standing would have been seriously hurt."
MID_OP1_#020,"Be more careful next time, Prince Alcryst."
MID_OP1_#021,"[Alcryst] 
I will. I really am sorry."
MID_OP1_#022,"[Lapis] 

[Citrinne] 3 

[Citrinne] 
You cannot be held liable, Alcryst. You had no 
way of knowing who they were."
MID_OP1_#023,"Was it not possible for your party to arrive 
in a more royal, more...resplendent manner?"
MID_OP1_#024,"[Citrinne] 
[Lapis] 3 
[Lapis] 
This is the kingdom of warriors. If you can't 
dodge one arrow, you're not worthy to enter."
MID_OP1_#025,"Here, the weak serve the strong. Maybe we 
should give you a little test, hm?"
MID_OP1_#026,"[Alfred] 
What did you say?"
MID_OP1_#027,"[Alcryst] 
She didn't mean that! Apologies... My country 
places too much value on strength."
MID_OP1_#028,"Besides, you have nothing to prove. I am well 
aware of your battle prowess, Prince Alfred."
MID_OP1_#029,"[Alfred] 
Oh. Well... Thank you."
MID_OP1_#030,"[Alcryst] 
I'm so sorry for all this...so sorry. And I'm sorry 
it's me greeting you, instead of someone better."
MID_OP1_#031,"[Alear] 
You can stop apologizing. I'm grateful that a 
prince is here to receive us personally."
MID_OP1_#032,"[Alcryst] 
Really? You're grateful to see...me?"
MID_OP1_#033,"[Alear] 
Yes. Honored, in fact."
MID_OP1_#034,"[Alcryst] 
How polite of you to say so. Charming as well 
as divine, I see."
MID_OP1_#035,"Could you do me the favor of being...less 
dazzling? I find it so hard to shine as it is..."
MID_OP1_#036,"[Alear] 
Uh... All right..."
MID_OP1_#037,"[Alcryst] 
Now, come with me. I can show you the way to 
Brodia Castle."
MID_OP2C_#001,"Default 

[Alear] 

[Alcryst] 
[Hortensia] 1 
[Hortensia] 
Finally! It took you long enough! Very rude to 
keep a princess waiting. Very rude, indeed!"
MID_OP2C_#002,"[Alear] 2 

[Alcryst] 4 

[Alcryst] 
Princess?"
MID_OP2C_#003,"[Hortensia] 
That would be me─the second princess 
of Elusia, Hortensia!"
MID_OP2C_#003_2,"[Hortensia] 
Now then. Hello, everybody!"
MID_OP2C_#004,"[Alear] 
Elusia's...second princess?"
MID_OP2C_#005,"[Hortensia] 
Uh-huh! In the flesh! And you're the Divine Dragon!"
MID_OP2C_#006,"[Alear] 
Uh, right."
MID_OP2C_#007,"[Hortensia] 
Ooo, I knew it! I could totally tell. You're the 
prettiest. It's a dead giveaway!"
MID_OP2C_#008,"I always thought Lumera was the only Divine Dragon. 
You could've knocked me over with a feather when 
I found out there was another one!"
MID_OP2C_#009,"Wow... Those mismatched eyes of yours are 
something to see..."
MID_OP2_#001,"[Alcryst] 1 
[Alear] 2 

[Alcryst] 
We will arrive at the Grand Crossing soon. 
That will take us to the castle."
MID_OP2_#002,"[Alear] 
Good."
MID_OP2_#003,"[Alcryst] 
Divine One, if I may. I was wondering about 
something Queen Ève said in her letter."
MID_OP2_#004,Is it true that Elusia has released Sombron?
MID_OP2_#005,"[Alear] 
It's true. An Elusian we fought told us as much."
MID_OP2_#006,"[Alcryst] 
I see."
MID_OP2_#007,"We'd heard rumors to that effect, but I didn't 
dare believe them."
MID_OP2_#008,"Those neighbors of ours. You will need all the 
rings to defeat the Fell Dragon, right?"
MID_OP2_#009,"For generations, my country has possessed the 
Ring of the Young Lion."
MID_OP2_#010,"[Alear] 
The Ring of the Young Lion..."
MID_OP2_#011,"[Alcryst] 
It has a red stone and a certain...gallant aura."
MID_OP2_#012,"Diamant, the crown prince, told me he's been 
hearing a voice from the ring."
MID_OP2_#013,"He's a remarkable person. I'm lucky to be 
his brother."
MID_OP2_#014,"[Alear] 
You really admire him, don't you?"
MID_OP2_#015,"[Alcryst] 
Oh, yes. He's strong, wise, humble... The king 
adores him, as do our people."
MID_OP2_#016,"My brother is cut from the noblest cloth. 
I'm afraid I was made from the tatters..."
MID_OP2_#017,"[Alear] 
There's no need to be so hard on yourself."
MID_OP2_#018,"[Alcryst] 
Ah, there it is. The Grand Crossing."
MID_OP2_#019,"There seem to be a great many soldiers out 
today... Wait a moment. Those are..."
MID_OP2_#020,Elusian soldiers! They're occupying the bridge!
MID_OP2_#021,"[Alear] 
No..."
MID_OP2_2_#001,"[Alcryst] 1 
[Alear] 2 
[Hortensia] 3 

[Alcryst] 
Don't come any closer!"
MID_OP2_2_#002,"You wicked Elusians aren't worthy to approach 
the Divine Dragon!"
MID_OP2_2_#003,"[Hortensia] 
Hmph. Nobody asked you, Brodian. Besides, 
we're not the wicked ones. You are!"
MID_OP2_2_#004,"[Alcryst] 
..."
MID_OP2_2_#005,"[Hortensia] 
My father says Brodia is a greedy, 
barbaric country."
MID_OP2_2_#006,"You're always invading our territory─taking 
our land. It's the worst!"
MID_OP2_2_#007,"Do you know how many people you've hurt? 
Not just soldiers, but regular people?"
MID_OP2_2_#008,"[Alcryst] 
We're not just invading to expand."
MID_OP2_2_#009,"We are keeping your vicious, unpredictable 
kingdom in check."
MID_OP2_2_#010,"I take it you're retaliating? Launching a 
full-scale invasion to take your revenge?"
MID_OP2_2_#011,"[Hortensia] 
Hahaha, hardly. I couldn't lead such an 
ambitious attack."
MID_OP2_2_#012,"I'm just here to take your rings. By order of my 
father, King Hyacinth."
MID_OP2_2_#013,"[Alear] 
He told you to do this?"
MID_OP2_2_#014,"[Hortensia] 
Yep. Now, if there are no more questions, fork 
over the goods and we'll all go home breathing."
