key,text
MID_BGM_Amiibo_03_ST_Play,Destiny (Ablaze)
MID_BGM_Amiibo_04_ST_Play,Wind across the Plains
MID_BGM_Amiibo_05_ST_Play,The Devoted
MID_BGM_Amiibo_06_ST_Play,Fódlan Winds
MID_BGM_Amiibo_07_ST_Play,End of All (Below)
MID_BGM_Amiibo_08_ST_Play,The Final Battle
MID_BGM_Amiibo_09_ST_Play,End of the Holy War
MID_BGM_Amiibo_10_ST_Play,"Let's Go, Leif!"
MID_BGM_Amiibo_11_ST_Play,Echoes of Daybreak
MID_BGM_Amiibo_12_ST_Play,Beneath a New Light (Roy)
MID_BGM_Amiibo_13_ST_Play,With Mila's Divine Protection
MID_BGM_Amiibo_14_ST_Play,Trouble! (Marth)
MID_BGM_Boss_01_Pre_ST_Play,Spreader of Chaos
MID_BGM_Boss_01_Start_ST_Play,Spreader of Chaos (Frenzy)
MID_BGM_Boss_02_Pre_ST_Play,Enforcer of Knowledge
MID_BGM_Boss_02_Start_ST_Play,Enforcer of Knowledge (Frenzy)
MID_BGM_Boss_03_Pre_ST_Play,Keeper of History
MID_BGM_Boss_03_Start_ST_Play,Keeper of History (Frenzy)
MID_BGM_Boss_04_Pre_ST_Play,The Four Hounds
MID_BGM_Boss_04_Start_ST_Play,The Four Hounds (Frenzy)
MID_BGM_Boss_05_Pre_ST_Play,Defective
MID_BGM_Boss_05_Start_ST_Play,Defective (Frenzy)
MID_BGM_Boss_06_Pre_ST_Play,Goddess in Shadow
MID_BGM_Boss_06_Start_ST_Play,Goddess in Shadow (Frenzy)
MID_BGM_Evt_26ED2_ST_Play,Heartfelt Farewell
MID_BGM_Evt_26ED_ST_Play,Their Journeys
MID_BGM_Evt_26OP_ST_Play,Extinguished Light
MID_BGM_Evt_4ku_ST_Play,The Fell Dragon's Hounds
MID_BGM_Evt_4ku_Sad_ST_Play,Dreaming of Family
MID_BGM_Evt_Advent_Byleth_ST_Play,"Teach Us, Emblem of the Academy"
MID_BGM_Evt_Advent_Cellica_ST_Play,"Care for Us, Emblem of Echoes"
MID_BGM_Evt_Advent_Corrin_ST_Play,"Bare Your Fangs, Emblem of Fates"
MID_BGM_Evt_Advent_Eirika_ST_Play,"Restore Calm, Emblem of the Sacred"
MID_BGM_Evt_Advent_Ike_ST_Play,"Fight On, Emblem of Radiance"
MID_BGM_Evt_Advent_Leif_ST_Play,"Free Us, Emblem of Genealogy"
MID_BGM_Evt_Advent_Lucina_ST_Play,"Reignite Us, Emblem of Awakening"
MID_BGM_Evt_Advent_Lyn_ST_Play,"Sweep Across, Emblem of Blazing"
MID_BGM_Evt_Advent_Marth_ST_Play,"Shine On, Emblem of Beginnings"
MID_BGM_Evt_Advent_Micaiah_ST_Play,"Heal Us, Emblem of Dawn"
