key,text
MID_RELIANCE_A_#001,"[Alcryst] 2 

[Alcryst] 
..."
MID_RELIANCE_A_#002,"[Alcryst] 
Ah, bullseye. That's good! I'll do 50 more, 
just like that."
MID_RELIANCE_A_#003,"[Diamant] 1 
[Diamant] 
You really are skilled with a bow, you 
know that?"
MID_RELIANCE_A_#004,"[Alcryst] 
Diamant? How long have you been watching?"
MID_RELIANCE_A_#005,"[Diamant] 
Long enough to see that archery is definitely 
one of your strengths."
MID_RELIANCE_A_#006,"[Alcryst] 
Thank you...but there's still plenty of room 
for improvement."
MID_RELIANCE_A_#007,"[Alcryst] 
I need to train more. I want to grow stronger."
MID_RELIANCE_A_#008,"[Diamant] 
There it is! That's the right attitude. I knew my 
little brother had it in him."
MID_RELIANCE_A_#009,"[Alcryst] 
..."
MID_RELIANCE_A_#010,"[Alcryst] 
Diamant, may I... May I challenge you to an 
archery contest? If you have the time?"
MID_RELIANCE_A_#011,"[Diamant] 
Ha! That sounds like my kind of fun."
MID_RELIANCE_A_#012,"[Diamant] 
What's the challenge? Most bullseyes out of 
10 wins?"
MID_RELIANCE_A_#013,"[Alcryst] 
That sounds good to me. Let's begin!"
MID_RELIANCE_A_#014,
MID_RELIANCE_A_#015,"[Diamant] 
Alcryst... I'm shocked. I knew you were a 
skilled archer, but..."
MID_RELIANCE_A_#016,"[Alcryst] 
What are you talking about? You scored nine 
over my miserable eight. I've been defeated..."
MID_RELIANCE_A_#017,"[Alcryst] 
Heaping praise on your brother after soundly 
defeating him at his own contest? What a bully."
MID_RELIANCE_A_#018,"[Diamant] 
Ha! I'm not going to let my baby brother win. 
If you want to beat me, you have to beat me."
MID_RELIANCE_A_#019,"[Alcryst] 
Heh heh, I should have expected nothing less 
from the crown prince of Brodia."
MID_RELIANCE_A_#020,"[Alcryst] 
I wish you knew how reassuring it is to have 
an older brother like you, Diamant. I'm lucky."
MID_RELIANCE_A_#021,"[Diamant] 
I'm lucky to have you as a brother, too, Alcryst."
MID_RELIANCE_A_#022,"[Diamant] 
No other challenger has ever been as skilled and 
polite as you─archer or otherwise."
MID_RELIANCE_A_#023,"[Alcryst] 
I'll just have to train more and grow stronger. 
When I'm ready, I'll come looking for a rematch."
MID_RELIANCE_A_#024,"[Diamant] 
You're on. But be warned, my own training 
won't slow down. I'll be stronger as well."
MID_RELIANCE_A_#025,"[Alcryst] 
I have no doubt that you will, Diamant."
MID_RELIANCE_A_#026,"[Alcryst] 
I'm behind you for now, but I will catch up. 
No. Better than that─I'll surpass you."
MID_RELIANCE_A_#027,"[Alcryst] 
And whatever else happens...I will always 
protect you."
MID_RELIANCE_A_#028,"[Diamant] 
Hm? What was that last bit, Alcryst?"
MID_RELIANCE_A_#029,"[Alcryst] 
Just talking to myself. Don't worry."
MID_RELIANCE_B_#001,"[Diamant] 1 
[Diamant] 
..."
MID_RELIANCE_B_#002,"[Diamant] 
Ngh...not good enough. I can't protect the 
kingdom like this..."
MID_RELIANCE_B_#003,"[Alcryst] 2 

[Alcryst] 
Diamant?! Are you OK? You're drenched in 
sweat. What happened to you?"
MID_RELIANCE_B_#004,"[Diamant] 
Alcryst... You're not supposed to see me 
like this."
MID_RELIANCE_B_#005,"[Diamant] 
I'm fine. Don't worry. I was just doing some 
focused training with a few of our mages."
MID_RELIANCE_B_#006,"[Alcryst] 
I've never seen training wipe you out like this..."
MID_RELIANCE_B_#007,"[Alcryst] 
You might have some kind of illness. We should 
get a doctor in here to check your─"
MID_RELIANCE_B_#008,"[Diamant] 
I'm not ill."
MID_RELIANCE_B_#009,"[Diamant] 
Alcryst... Do you remember when you asked 
if I have any weaknesses?"
MID_RELIANCE_B_#010,"[Diamant] 
Now you know. This is my weakness."
