key,text
MID_RELIANCE_A_#001,"[Diamant] 1 
[Amber] 2 
[Diamant] 
Amber, please don't leave me in suspense any 
longer. I need to know what you meant before."
MID_RELIANCE_A_#002,"[Amber] 
You mean about the ""deepest, truest"" reason 
why I think you're the greatest?"
MID_RELIANCE_A_#003,"[Diamant] 
Indeed."
MID_RELIANCE_A_#004,"[Amber] 
I think I've got it. I was gonna say, ""You're the 
greatest...because you're like a human alpaca!"""
MID_RELIANCE_A_#005,"[Diamant] 
What? An alpaca?!"
MID_RELIANCE_A_#006,"[Amber] 
Yeah! I've felt that about you since day one, 
so that has to be it."
MID_RELIANCE_A_#007,"[Diamant] 
Since day one?"
MID_RELIANCE_A_#008,"[Amber] 
It was the day of the tournament, remember? 
My family didn't want me to enter, but I did."
MID_RELIANCE_A_#009,"[Amber] 
I lost to Jade...but got second place! Folks back 
home called it the ""alpaca-country miracle."""
MID_RELIANCE_A_#010,"[Diamant] 
I don't remember you being quite as thrilled at 
the time. Didn't you leave the arena weeping?"
MID_RELIANCE_A_#011,"[Amber] 
Yeah... I wanted to be the champion so bad."
MID_RELIANCE_A_#012,"[Amber] 
I was sobbing in a corner when you walked over 
and asked me to be your second retainer."
MID_RELIANCE_A_#013,"[Amber] 
You were smiling down at me so gently... 
That was when it hit me."
MID_RELIANCE_A_#014,"[Amber] 
This man...has the soul of an alpaca."
MID_RELIANCE_A_#015,"[Diamant] 
THAT was what hit you?"
MID_RELIANCE_A_#016,"[Amber] 
I decided, right then and there, to stand beside 
you and protect you."
MID_RELIANCE_A_#017,"[Diamant] 
..."
MID_RELIANCE_A_#018,"[Amber] 
What's up? Why the funny face?"
MID_RELIANCE_A_#019,"[Diamant] 
I'm just...not sure which parts of me make you 
think of an alpaca."
MID_RELIANCE_A_#020,"[Amber] 
Oh. Well, it's a few things. How can I explain..."
MID_RELIANCE_A_#021,"[Amber] 
You're kind, you put me at ease, and I want to 
protect you. And you're all light and fluffy!"
MID_RELIANCE_A_#022,"[Diamant] 
Did you just call me...light and fluffy?"
MID_RELIANCE_A_#023,"[Amber] 
I know. High praise. Not everyone understands 
how strongly I admire alpacas."
MID_RELIANCE_A_#024,"[Diamant] 
So, it's a compliment..."
MID_RELIANCE_A_#025,"[Amber] 
Totally."
MID_RELIANCE_A_#026,"[Diamant] 
Huh. OK... I'll track down another secret potion. 
Then I'll know if you're being honest with me."
MID_RELIANCE_A_#027,"[Amber] 
Huh?!"
MID_RELIANCE_A_#028,"[Diamant] 
Haha! I'm joking. If you say you feel that 
strongly, I believe you."
MID_RELIANCE_A_#029,"[Diamant] 
It's an honor to be held in alpaca-level regard. 
I'm glad you're my retainer, Amber."
MID_RELIANCE_A_#030,"[Amber] 
Thanks, Prince Diamant. It's an honor to stand 
with you. That's the truth─no potion required!"
MID_RELIANCE_B_#001,"[Diamant] 1 
[Amber] 2 
[Diamant] 
Hey, Amber. I'm ready to talk about that secret 
potion incident."
MID_RELIANCE_B_#002,"[Amber] 
Oh, right! I can't wait to hear what I said."
MID_RELIANCE_B_#003,"[Diamant] 
So, you said you're grateful to me and you 
respect me─an extreme amount, apparently."
MID_RELIANCE_B_#004,"[Amber] 
Haha, is that all? Aw, you knew that 
stuff already!"
