key,text
MID_RELIANCE_A_#001,"[Framme] 1 
[Goldmary] 2 
[Goldmary] 
Hello, Framme. Notice anything different 
about me?"
MID_RELIANCE_A_#002,"[Goldmary] 
That's right. My place in the world has been 
restored. I'm once again the picture of elegance."
MID_RELIANCE_A_#003,"[Framme] 
Hey, that's great! I'm glad our efforts paid off."
MID_RELIANCE_A_#004,"[Framme] 
I mean...you don't seem any different to me. 
But I'm glad you're feeling better."
MID_RELIANCE_A_#005,"[Goldmary] 
You can't tell? I'm tilting my head 10 degrees 
instead of that unseemly 15."
MID_RELIANCE_A_#006,"[Framme] 
Umm... OK!"
MID_RELIANCE_A_#007,"[Goldmary] 
I really must thank you, Framme."
MID_RELIANCE_A_#008,"[Goldmary] 
You stood by me even when my head was tilted 
much too far to be taken seriously."
MID_RELIANCE_A_#009,"[Goldmary] 
You were even there to help me practice 
my expression until I got it exactly right."
MID_RELIANCE_A_#010,"[Goldmary] 
Thanks to you, I understand that one graceless 
moment isn't going to ruin a friendship."
MID_RELIANCE_A_#011,"[Framme] 
Exactly. Friends aren't superficial with each 
other like that."
MID_RELIANCE_A_#012,"[Goldmary] 
Would you let me give my thanks in the form 
of a delicious home-cooked meal?"
MID_RELIANCE_A_#013,"[Framme] 
Yeah! I'd love that!"
MID_RELIANCE_A_#014,"[Goldmary] 
I will make something with those apples we 
gathered. It will be both tasty and nutritious."
MID_RELIANCE_A_#015,"[Framme] 
Ooh, I can't wait! This is gonna be amazing!"
MID_RELIANCE_A_#016,"[Goldmary] 
Try to temper your expectations. It will only be 
about as good as the top restaurants."
MID_RELIANCE_A_#017,"[Framme] 
Only that good, huh? Hehe, you're really 
confident in your cooking."
MID_RELIANCE_A_#018,"[Goldmary] 
I'm sorry in advance if the delights I prepare 
ruin your taste buds to all other cuisine..."
MID_RELIANCE_A_#019,"[Framme] 
Hehehe! I'm glad to see you're fully back to 
your old self, Goldmary."
MID_RELIANCE_A_#020,"[Framme] 
And I can't wait to try what you cook up!"
MID_RELIANCE_B_#001,"[Framme] 1 
[Goldmary] 2 
[Goldmary] 
Aw..."
MID_RELIANCE_B_#002,"[Framme] 
Hey, Goldmary! How'd it turn out with the 
apples we gathered the other day?"
MID_RELIANCE_B_#003,"[Goldmary] 
Better than I could have possibly imagined, 
unfortunately..."
MID_RELIANCE_B_#004,"[Goldmary] 
They also ruined my life."
MID_RELIANCE_B_#005,"[Framme] 
Um, what? How?"
MID_RELIANCE_B_#006,"[Goldmary] 
I was so delighted eating the dish I made that 
my face bore a terribly inelegant expression."
