key,text
MID_RELIANCE_A_#001,"[Lapis] 1 

[Citrinne] 2 
[Lapis] 
There you are, Citrinne! I've been waiting."
MID_RELIANCE_A_#002,"[Citrinne] 
Oh? Whatever for, Lapis?"
MID_RELIANCE_A_#003,"[Lapis] 
I was hoping to join you for midnight training. 
It's sure to be more fun with a partner, right?"
MID_RELIANCE_A_#004,"[Citrinne] 
Oh my! But it would be terrible of me to deprive 
you of a full night's rest."
MID_RELIANCE_A_#005,"[Lapis] 
Please. I'm the terrible one. I still feel bad about 
the last time we talked."
MID_RELIANCE_A_#006,"[Lapis] 
Besides, I can't sleep if I know a good friend is 
working through the night."
MID_RELIANCE_A_#007,"[Citrinne] 
Lapis... You're so kind."
MID_RELIANCE_A_#008,"[Citrinne] 
I had something that I wanted to offer you as 
well. Here, take this."
MID_RELIANCE_A_#009,"[Lapis] 
A note? No, an address. What is this?"
MID_RELIANCE_A_#010,"[Citrinne] 
That's the mailing address for one of my 
family's spare manors in the heart of town."
MID_RELIANCE_A_#011,"[Citrinne] 
We haven't lived there in quite a while, so it's 
only staffed by grounds- and housekeepers."
MID_RELIANCE_A_#012,"[Lapis] 
OK...but why are you giving me the address?"
MID_RELIANCE_A_#013,"[Citrinne] 
If you wish to hide your rural origins, you must 
consider where your care packages come from."
MID_RELIANCE_A_#014,"[Citrinne] 
Think of this as your new forwarding service!"
MID_RELIANCE_A_#015,"[Citrinne] 
If your parents send their packages there, the 
staff will swap addresses and route them here."
MID_RELIANCE_A_#016,"[Citrinne] 
Why, your family could even use that address as 
a vacation home. Or they could just move in."
MID_RELIANCE_A_#017,"[Citrinne] 
The manor is theirs to use as they like."
MID_RELIANCE_A_#018,"[Lapis] 
Wow..."
MID_RELIANCE_A_#019,"[Lapis] 
Citrinne, thank you. I didn't realize how much 
you cared."
MID_RELIANCE_A_#020,"[Citrinne] 
Think nothing of it. I'm just looking out for one 
of my dearest friends."
MID_RELIANCE_A_#021,"[Lapis] 
It's a wonderful offer, but...I can't accept it."
MID_RELIANCE_A_#022,"[Citrinne] 
What? Why not?"
MID_RELIANCE_A_#023,"[Lapis] 
My family isn't noble, but I'm proud of them. 
I can't ask them to hide where they're from."
MID_RELIANCE_A_#024,"[Lapis] 
I'm still nervous about other people finding out, 
but at least I won't have to worry around you."
MID_RELIANCE_A_#025,"[Citrinne] 
Oh my..."
MID_RELIANCE_A_#026,"[Citrinne] 
We are quite the pair, aren't we? Each of us has 
what the other lacks."
MID_RELIANCE_A_#027,"[Lapis] 
And we both reach out when the other 
needs help."
MID_RELIANCE_A_#028,"[Citrinne] 
Not a bad working relationship."
MID_RELIANCE_A_#029,"[Lapis] 
Not bad at all."
MID_RELIANCE_A_#030,"[Lapis] 
Do you think Prince Alcryst had this balance 
in mind when he selected us as his retainers?"
MID_RELIANCE_A_#031,"[Citrinne] 
Oh, I doubt it. I know you're enamored with 
him, but Alcryst isn't that clever."
MID_RELIANCE_A_#032,"[Lapis] 
What? I-I am not!"
MID_RELIANCE_A_#033,"[Citrinne] 
Goodness! You're blushing. Your cheeks are as 
red as the carpets in the royal court."
MID_RELIANCE_A_#034,"[Lapis] 
Come on, don't tease me."
MID_RELIANCE_A_#035,"[Lapis] 
Besides, those carpets aren't that red. You 
should see the tomatoes they grow back home!"
MID_RELIANCE_A_#036,"[Citrinne] 
Oh? That sounds like a fun day trip. Would you 
show me around sometime?"
MID_RELIANCE_A_#037,"[Lapis] 
Sure! But don't bring any money. The farmers 
back home prefer to use a barter system."
MID_RELIANCE_A_#038,"[Citrinne] 
How rustic! I've always wanted to try bartering. 
I could stand to part with a few necklaces..."
MID_RELIANCE_A_#039,"[Lapis] 
Heh, careful! With goods like that, you'll end up 
needing that spare manor for tomato storage."
MID_RELIANCE_B_#001,"[Lapis] 1 
[Lapis] 
Ahh, I love packages from Mom and Dad. 
I wonder what this could possibly be..."
MID_RELIANCE_B_#002,"[Lapis] 
Haha, as if I don't already know."
MID_RELIANCE_B_#003,"[Lapis] 
Ooo, they sent some really good ones this time! 
These look extra yummy. Mmm..."
MID_RELIANCE_B_#004,"[Citrinne] 2 

[Citrinne] 
Lapis? What has you cooing and humming?"
MID_RELIANCE_B_#005,"[Lapis] 
AH! Citrinne?!"
MID_RELIANCE_B_#006,"[Lapis] 
You really scared me. Don't sneak up on people 
in the dark, making such a scary face..."
MID_RELIANCE_B_#007,"[Citrinne] 
Should I have worn a mask? I doubt that would 
have been less frightening."
MID_RELIANCE_B_#008,"[Citrinne] 
This is just my face, Lapis. Don't be cruel."
MID_RELIANCE_B_#009,"[Lapis] 
Sorry. I didn't mean it. You just really 
startled me."
MID_RELIANCE_B_#010,"[Citrinne] 
Oh, what tasty-looking yams! Did you have 
someone fetch these from the countryside?"
MID_RELIANCE_B_#011,"[Lapis] 
No, I didn't. They, uh... I..."
