key,text
MID_RELIANCE_A_#001,"[Alear] 1 
[Anna] 2 

[Alear] 
How are the necklaces coming along?"
MID_RELIANCE_A_#002,"[Anna] 
Hey, Divine One! Happy to report that I'm about 
halfway done."
MID_RELIANCE_A_#003,"[Alear] 
Wow. These are turning out really cute."
MID_RELIANCE_A_#004,"[Anna] 
Credit to you for the idea. Seriously, thank you!"
MID_RELIANCE_A_#005,"[Anna] 
Sorry I complained to you before. If I can pull 
this off, there'll be no more complaints from me."
MID_RELIANCE_A_#006,"[Alear] 
That's very grown-up of you."
MID_RELIANCE_A_#007,"[Alear] 
Although everyone complains sometimes. 
Even adults."
MID_RELIANCE_A_#008,"[Alear] 
If something's frustrating you, you can always 
talk to me about it."
MID_RELIANCE_A_#009,"[Anna] 
I'm so happy to hear you say that! I really owe 
you for this, Divine One."
MID_RELIANCE_A_#010,"[Anna] 
That reminds me. I was thinking I'd call these 
necklaces ""Divine Dragon Pendants."""
MID_RELIANCE_A_#011,"[Alear] 
What?"
MID_RELIANCE_A_#012,"[Alear] 
I appreciate the thought, but maybe you should 
name them something that would sell better."
MID_RELIANCE_A_#013,"[Anna] 
It's so cute that you're shy about it! But I'm 
definitely calling them that now."
MID_RELIANCE_A_#014,"[Alear] 
Come on! Why don't you sleep on it? I'm sure 
you can come up with something punchier!"
MID_RELIANCE_A_#015,"[Anna] 
Lalalala! I can't hear you!"
MID_RELIANCE_A_#016,"[Anna] 
As soon as I finish the rest of these babies up, 
they'll sell out on day one."
MID_RELIANCE_A_#017,"[Alear] 
Ah... Well, I guess I can let the name slide as 
long as you're enjoying yourself."
MID_RELIANCE_A_#018,"[Alear] 
Fingers crossed that business booms for you, 
Lady Anna."
MID_RELIANCE_B_#001,"[Alear] 1 
[Anna] 2 

[Alear] 
Hello, Lady Anna. Did you ever get a good idea 
for something to sell?"
MID_RELIANCE_B_#002,"[Anna] 
No. The idea well's run dry."
MID_RELIANCE_B_#003,"[Anna] 
..."
MID_RELIANCE_B_#004,"[Alear] 
Oh... Are you crying?"
MID_RELIANCE_B_#005,"[Anna] 
No!"
MID_RELIANCE_B_#006,"[Anna] 
But I am feeling a little down. You know, I tell 
everyone I'm not just a kid."
MID_RELIANCE_B_#007,"[Anna] 
Stuff like this reminds me that I am─I'm a kid, 
and that's all there is to it."
MID_RELIANCE_B_#008,"[Anna] 
It's why I can't think of a single new product 
for Sweethearts Day."
MID_RELIANCE_B_#009,"[Alear] 
I'm sorry, Lady Anna. Though, I think I know 
how I can help."
MID_RELIANCE_B_#010,"[Anna] 
Huh?"
