key,text
MID_RELIANCE_A_#001,"[Alcryst] 1 
[Seadall] 2 

[Alcryst] 
Seadall? I'd like to apologize once more for our 
conversation the other day."
MID_RELIANCE_A_#002,"[Alcryst] 
I really should have considered your feelings 
before asking about your past..."
MID_RELIANCE_A_#003,"[Seadall] 
It didn't bother me, and you didn't do 
anything wrong."
MID_RELIANCE_A_#004,"[Alcryst] 
I've been thinking about your stories since then."
MID_RELIANCE_A_#005,"[Alcryst] 
I had assumed the caravan lifestyle was all fun 
and games...but that's not true, is it?"
MID_RELIANCE_A_#006,"[Seadall] 
No. Fun isn't the right word."
MID_RELIANCE_A_#007,"[Seadall] 
That life can be brutal beyond compare. 
I watched friends die during raids...and worse."
MID_RELIANCE_A_#008,"[Alcryst] 
..."
MID_RELIANCE_A_#009,"[Alcryst] 
There must have been so many hardships...and 
yet, I assumed it was a life of leisure."
MID_RELIANCE_A_#010,"[Alcryst] 
If I had looked past my own desires for even a 
moment before speaking... I really am sorry."
MID_RELIANCE_A_#011,"[Seadall] 
Oh, Prince Alcryst..."
MID_RELIANCE_A_#012,"[Seadall] 
Like I said, you've done nothing wrong."
MID_RELIANCE_A_#013,"[Seadall] 
Yes, bad things happened when I was traveling 
with the caravan."
MID_RELIANCE_A_#014,"[Seadall] 
But good things happened too. Many more 
good things."
MID_RELIANCE_A_#015,"[Seadall] 
The caravan was my family and my home. 
I count myself lucky to have lived that life."
MID_RELIANCE_A_#016,"[Alcryst] 
I'm very glad to hear that."
MID_RELIANCE_A_#017,"[Seadall] 
So please, do not hesitate. Ask as many 
questions as you like."
MID_RELIANCE_A_#018,"[Seadall] 
Ask me about the strange and wonderful foods 
I tasted for the first time at the border village."
MID_RELIANCE_A_#019,"[Seadall] 
Or about the morning sun I watched set the sky 
on fire as it rose over the desert oasis."
MID_RELIANCE_A_#020,"[Seadall] 
There are so many questions I hope you ask. 
And so many stories I hope to tell you."
MID_RELIANCE_A_#021,"[Alcryst] 
Your tales mesmerize me, Seadall. I can't wait 
to get lost in them again."
MID_RELIANCE_A_#022,"[Alcryst] 
Please, tell me a new one─and another after 
that! Tell me stories until the break of dawn."
MID_RELIANCE_A_#023,"[Seadall] 
Haha... With pleasure, Prince Alcryst."
MID_RELIANCE_B_#001,"[Alcryst] 1 
[Seadall] 2 

[Alcryst] 
That's amazing! Wolf jousting sounds like a 
thrilling sport to witness."
MID_RELIANCE_B_#002,"[Seadall] 
That it is."
MID_RELIANCE_B_#003,"[Seadall] 
But it's the fights out in the crowd...hm, that's 
where you'll find the real action."
MID_RELIANCE_B_#004,"[Seadall] 
There are plenty of ways to amuse oneself in 
Solm, but nothing is quite like the Wolf Arena."
MID_RELIANCE_B_#005,"[Alcryst] 
So many stories... What a fascinating life you've 
led, Seadall."
MID_RELIANCE_B_#006,"[Alcryst] 
Your descriptions are so vivid. I feel as if I've 
witnessed it all with my own eyes!"
MID_RELIANCE_B_#007,"[Alcryst] 
The caravan lifestyle sounds like so much fun."
MID_RELIANCE_B_#008,"[Alcryst] 
Coming and going as you please, following your 
own whims and curiosities all over the world."
MID_RELIANCE_B_#009,"[Alcryst] 
No restrictions, no cares...and if you ever grow 
bored, you can just set off on another journey."
MID_RELIANCE_B_#010,"[Alcryst] 
I wish I could have that life..."
MID_RELIANCE_B_#011,"[Seadall] 
Yes, well..."
MID_RELIANCE_B_#012,"[Alcryst] 
There's one story you haven't told yet. When 
did you first join the caravan?"
MID_RELIANCE_B_#013,"[Alcryst] 
I bet you were born into it. Am I close?"
MID_RELIANCE_B_#014,"[Seadall] 
No. I was born in a town by the sea. 
It was...beautiful."
MID_RELIANCE_B_#015,"[Seadall] 
I was so young when my father died, I have no 
memories of him. My mother raised me."
