key,text
MID_SELECTRING_CHANGE,"Remove 
and equip ?"
MID_SELECTRING_CHANGE_REMOVE,Remove and equip ? is currently using it.
MID_SELECTRING_COMMON_EMPTY,No Bond Rings.
MID_SELECTRING_GOD_CHANGE_YES,Change
MID_SELECTRING_GOD_EMPTY,No Emblem Rings 	.
MID_SELECTRING_LUEUR_NOTES,"Emblem 
can engage by using 
Engage+ during battle."
MID_SELECTRING_REMOVE,Remove ?
MID_SELECTRING_REMOVE_CONFIRM,Remove
MID_SELECTRING_SET,Equip ?
MID_SELECTRING_SET_CONFIRM,Equip
MID_SELECTRING_SET_REMOVE,"Equip ? 
is currently using it."
MID_SELECTRING_TITLE_GOD,Emblem Rings
MID_SORTIE_ALL_UNITS_ENTRUST,Optimize All
MID_SORTIE_ALL_UNITS_ENTRUST_CONFIRM,"Optimize your fighting units' 
equipment? (Items held by other 
units will be sent to the convoy.)"
MID_SORTIE_ALL_UNITS_ENTRUST_ERROR,"You can use Optimize All after you've selected 
your fighting units during battle preparations."
MID_SORTIE_ALL_UNITS_ENTRUST_GOD,Optimize All
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_CONFIRM,Optimize your fighting units' rings ?
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_No,Cancel
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_Yes,Optimize
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING1,"There were not enough items in 
the convoy to properly equip all 
fighting units."
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING2,"Equipment could not be optimized 
because the convoy is full."
MID_SORTIE_ALL_UNITS_ENTRUST_Yes,Optimize
MID_SORTIE_ALL_UNITS_STORE_ALL,Store All
MID_SORTIE_ALL_UNITS_STORE_ALL_CONFIRM,Store all items with the convoy?
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD,Remove All
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_CONFIRM,Remove all units' rings ?
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_No,Cancel
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_Yes,Remove
