key,text
MID_WU_A_1_HELLO_#001,"Ah, Divine One! You're awake!"
MID_WU_A_1_HELLO_#002,Looks like I nodded off.
MID_WU_A_1_HELLO_#003,Thanks for waking me.
MID_WU_A_1_IN_#001,"Divine One? I want to check on our supplies 
before─ Oh. Fast asleep."
MID_WU_A_1_SOON_#001,Hey! Were you just pretending to sleep?
MID_WU_A_1_SOON_#002,Hah. You really got me.
MID_WU_A_1_WAKEUP_#001,It is peaceful up here.
MID_WU_A_1_WAKEUP_#002,Just open sky and clouds.
MID_WU_A_1_WAKEUP_#003,"I can see how easily one might... 
fall asleep... Aah..."
MID_WU_A_2_HELLO_#001,How are you feeling?
MID_WU_A_2_HELLO_#002,Anything wrong? You can tell me.
MID_WU_A_2_HELLO_#003,It's just the two of us. We can talk...right?
MID_WU_A_2_IN_#001,Coming in.
MID_WU_A_2_IN_#002,Hm. Your sleep seems a bit restless today.
MID_WU_A_2_SOON_#001,"Oh good, you woke."
MID_WU_A_2_SOON_#002,Looked like a bad dream. I was worried.
MID_WU_A_2_WAKEUP_#001,You said vulnerability isn't always bad.
MID_WU_A_2_WAKEUP_#002,"It felt so reassuring then, but now...I worry."
MID_WU_A_2_WAKEUP_#003,"Wake up, Divine One."
MID_WU_B_1_HELLO_#001,You woke!
MID_WU_B_1_HELLO_#002,"Even right out of bed, you look as good as ever."
MID_WU_B_1_HELLO_#003,Flattery? No.
MID_WU_B_1_HELLO_#004,I really mean it.
MID_WU_B_1_IN_#001,"Divine One, I have to speak to you about..."
MID_WU_B_1_IN_#002,"Ah, asleep."
MID_WU_B_1_SOON_#001,"No, no─you should rest."
MID_WU_B_1_SOON_#002,"I'll let everyone know they should handle their 
own affairs today."
MID_WU_B_1_WAKEUP_#001,Hmm. The first time I saw you here...
MID_WU_B_1_WAKEUP_#002,I was just a child.
MID_WU_B_1_WAKEUP_#003,You still look exactly the same...
MID_WU_B_1_WAKEUP_#004,serene in your slumber.
MID_WU_B_2_HELLO_#001,"Good morning, and thank you. I was thinking 
about our chat."
MID_WU_B_2_HELLO_#002,I'm glad I can be myself around you.
MID_WU_B_2_IN_#001,"I've come to greet you, Divine One. Am I early?"
MID_WU_B_2_SOON_#001,Ah. As I thought.
MID_WU_B_2_SOON_#002,No rush then. Take your time.
MID_WU_B_2_WAKEUP_#001,Strange.
MID_WU_B_2_WAKEUP_#002,I feel like I can talk about anything with you.
MID_WU_B_2_WAKEUP_#003,"My medal, my father..."
MID_WU_B_2_WAKEUP_#004,Things no one else knows.
MID_WU_C_1_HELLO_#001,Morning.
MID_WU_C_1_HELLO_#002,I almost nodded off myself...
MID_WU_C_1_HELLO_#003,Close call.
MID_WU_C_1_IN_#001,"Pardon the intrusion, Divine One."
MID_WU_C_1_SOON_#001,You're awake?
MID_WU_C_1_SOON_#002,My apologies. I intruded for nothing.
MID_WU_C_1_WAKEUP_#001,Sound asleep.
MID_WU_C_1_WAKEUP_#002,Watching you sleep...
MID_WU_C_1_WAKEUP_#003,is making me sleepy...
MID_WU_C_1_WAKEUP_#004,No! I mustn't doze off before the holy altar.
MID_WU_C_2_HELLO_#001,Oh!
MID_WU_C_2_HELLO_#002,"Sorry, I didn't know how to wake you..."
MID_WU_C_2_HELLO_#003,"so I waited for you to wake yourself. 
Good morning!"
MID_WU_C_2_IN_#001,It's Diamant. I've come to wake you.
MID_WU_C_2_SOON_#001,Did you sense me...
MID_WU_C_2_SOON_#002,and wake up?
MID_WU_C_2_SOON_#003,Impressive.
MID_WU_C_2_WAKEUP_#001,How should I do this?
MID_WU_C_2_WAKEUP_#002,My voice booms...
MID_WU_C_2_WAKEUP_#003,so even a gentle whisper might startle you.
MID_WU_C_2_WAKEUP_#004,Hmm... Hmm...
MID_WU_S_1_HELLO_#001,Phew. I'm glad you're awake.
MID_WU_S_1_HELLO_#002,"I almost let you sleep in, you know."
MID_WU_S_1_HELLO_#003,"If you had...I could've taken you in for a few 
moments more."
MID_WU_S_1_IN_#001,"It's me. I've come to greet you, Divine One."
MID_WU_S_1_SOON_#001,Hey.
MID_WU_S_1_SOON_#002,Looks like we can talk now.
MID_WU_S_1_SOON_#003,"This time we share, just you and I..."
MID_WU_S_1_SOON_#004,I truly treasure these moments.
MID_WU_S_1_WAKEUP_#001,Fast asleep.
MID_WU_S_1_WAKEUP_#002,"I'm honored that you trust me, but..."
MID_WU_S_1_WAKEUP_#003,"I fear what the others may think of our 
vulnerabilities."
MID_WU_S_1_WAKEUP_#004,"I also fear that, one morning, you may 
not wake at all."
MID_WU_S_1_WAKEUP_#005,Unfounded fears like that...
MID_WU_S_1_WAKEUP_#006,"reveal how close I've grown to you, and how 
I've grown to need you."
MID_WU_S_2_HELLO_#001,Hello.
MID_WU_S_2_HELLO_#002,"There's no rush, so please..."
MID_WU_S_2_HELLO_#003,Until you have to leave...
MID_WU_S_2_HELLO_#004,would you...keep my ring on?
MID_WU_S_2_IN_#001,Still asleep?
MID_WU_S_2_IN_#002,You do seem to enjoy your rest.
MID_WU_S_2_SOON_#001,You got up!
MID_WU_S_2_SOON_#002,"I'm impressed, but..."
MID_WU_S_2_SOON_#003,Whether you wake up early or sleep in all day...
MID_WU_S_2_SOON_#004,I'll always be happy just to see you.
MID_WU_S_2_WAKEUP_#001,"Oh, look at that. The ring I gave you..."
MID_WU_S_2_WAKEUP_#002,You wear it even while sleeping.
MID_WU_S_2_WAKEUP_#003,I sleep with the Pact Ring on. If I could...
MID_WU_S_2_WAKEUP_#004,I'd even wear it during battle.
MID_WU_S_2_WAKEUP_#005,It makes me think of peace.
MID_WU_S_2_WAKEUP_#006,"Heh. Do you hear how you've softened this 
prince of a kingdom of warriors?"
