key,text
MID_WU_A_1_HELLO_#001,"Hey, Divine One."
MID_WU_A_1_HELLO_#002,What flavor would you like for my next potion?
MID_WU_A_1_HELLO_#003,"I always prefer sweet, so I figured you..."
MID_WU_A_1_HELLO_#004,Oh... Salty? Really?
MID_WU_A_1_IN_#001,"Divine One, there's something I want to talk 
to you about regarding herbs. Oh, asleep, eh?"
MID_WU_A_1_SOON_#001,Sorry for waking you.
MID_WU_A_1_SOON_#002,I was off to get hold of a new medicine.
MID_WU_A_1_SOON_#003,So I thought I'd ask...
MID_WU_A_1_SOON_#004,"if there was anything you wanted while 
I was out."
MID_WU_A_1_WAKEUP_#001,This new potion comes in five flavors.
MID_WU_A_1_WAKEUP_#002,"There's sweet, sour, bitter, salty-sweet..."
MID_WU_A_1_WAKEUP_#003,And the last one is...salty. Why salty?
MID_WU_A_2_HELLO_#001,Remember those medicinal herbs you picked?
MID_WU_A_2_HELLO_#002,"My parents wrote to say they were really useful 
to the village."
MID_WU_A_2_HELLO_#003,They said to thank you too.
MID_WU_A_2_IN_#001,"Divine One, how is your injury from before?"
MID_WU_A_2_SOON_#001,I've come to examine your injury...
MID_WU_A_2_SOON_#002,from when you were picking herbs for me.
MID_WU_A_2_SOON_#003,It looks to be healing nicely. Good.
MID_WU_A_2_SOON_#004,Thank you so much for helping me out.
MID_WU_A_2_WAKEUP_#001,There's not even a scar...
MID_WU_A_2_WAKEUP_#002,"I'm relieved, but I'll still need to make sure you 
don't push yourself too hard again."
MID_WU_A_2_WAKEUP_#003,I'll see what I can do.
MID_WU_B_1_HELLO_#001,"Oh, you're awake, Divine One."
MID_WU_B_1_HELLO_#002,You've been working hard lately.
MID_WU_B_1_HELLO_#003,"I'll make you some delicious tea. It's a specialty 
from my hometown..."
MID_WU_B_1_HELLO_#004,so just relax while I brew it.
MID_WU_B_1_IN_#001,Waking up the Divine Dragon...
MID_WU_B_1_IN_#002,gives me a chance for a checkup.
MID_WU_B_1_SOON_#001,You woke up quickly this morning.
MID_WU_B_1_SOON_#002,"Your color's good, eyes focused, bed head 
minimal. Very healthy!"
MID_WU_B_1_SOON_#003,"And as long as you're healthy, I'm happy."
MID_WU_B_1_WAKEUP_#001,Divine One?
