key,text
MID_WU_A_1_HELLO_#001,Good morning. I had a wonderful idea just now.
MID_WU_A_1_HELLO_#002,"Alas, it would require me to stand watch at 
all hours. I must refrain."
MID_WU_A_1_IN_#001,If I am correct about this...
MID_WU_A_1_SOON_#001,As I thought...
MID_WU_A_1_SOON_#002,you're already up.
MID_WU_A_1_SOON_#003,I brought tea.
MID_WU_A_1_SOON_#004,"It's quite a rare blend, flavored with the grapes 
of my hometown."
MID_WU_A_1_WAKEUP_#001,"Since we each take our turns waking the 
Divine Dragon..."
MID_WU_A_1_WAKEUP_#002,that means...
MID_WU_A_1_WAKEUP_#003,"Heh, I can observe a plethora of people merely 
by waiting around here!"
MID_WU_A_2_HELLO_#001,Would you like to meet my brothers someday?
MID_WU_A_2_HELLO_#002,I'm certain they would love to meet you.
MID_WU_A_2_HELLO_#003,To see all of you gathered together would be...
MID_WU_A_2_HELLO_#004,deeply moving.
MID_WU_A_2_IN_#001,"My brothers will be very interested to read 
about this waking-up ritual."
MID_WU_A_2_SOON_#001,"Oh, did you hear that?"
MID_WU_A_2_SOON_#002,Of course I mentioned you in my letter.
MID_WU_A_2_SOON_#003,I told them you are an impressively early riser.
MID_WU_A_2_WAKEUP_#001,You advised me to write what I feel in my letter.
MID_WU_A_2_WAKEUP_#002,And since you are such a large part of my life...
MID_WU_A_2_WAKEUP_#003,"that turned out to mean writing a great deal 
about you."
MID_WU_B_1_HELLO_#001,"Oh, Divine One. Good morning."
MID_WU_B_1_HELLO_#002,"I was just, ah..."
MID_WU_B_1_HELLO_#003,Apologies.
MID_WU_B_1_HELLO_#004,But you caught me in the midst of a daydream.
MID_WU_B_1_IN_#001,"Who would be the ideal person to wake the 
Divine Dragon?"
MID_WU_B_1_SOON_#001,"Oh. I was wondering who would be best to 
wake you up..."
MID_WU_B_1_SOON_#002,"but it appears such a service is not required at 
all. Good morning."
MID_WU_B_1_WAKEUP_#001,If I can't think of the person...
MID_WU_B_1_WAKEUP_#002,I'll have to envision one.
MID_WU_B_1_WAKEUP_#003,A gallant knight...
MID_WU_B_1_WAKEUP_#004,"strong, courteous, and kind..."
MID_WU_B_2_HELLO_#001,I see that motivated you quite effectively.
MID_WU_B_2_HELLO_#002,Very interesting.
MID_WU_B_2_HELLO_#003,"In that case, please enjoy the breakfast I've 
prepared without delay."
MID_WU_B_2_IN_#001,"This is far less trying than waking my 
younger brothers."
MID_WU_B_2_SOON_#001,You wake much more readily...
MID_WU_B_2_SOON_#002,than my family at home.
MID_WU_B_2_SOON_#003,"Thank you for making my job so easy. That is 
very considerate."
MID_WU_B_2_WAKEUP_#001,"With three brothers, one must be quite stern."
MID_WU_B_2_WAKEUP_#002,I would oft be moved to words like...
MID_WU_B_2_WAKEUP_#003,"""Get up now or there shall be no breakfast 
left for you!"""
MID_WU_C_1_HELLO_#001,"Awake now, are you? Splendid."
MID_WU_C_1_HELLO_#002,Now that I've fulfilled my duty here...
MID_WU_C_1_HELLO_#003,I'll take a stroll through the gardens. Farewell.
MID_WU_C_1_IN_#001,"Pardon the intrusion, Divine One."
MID_WU_C_1_SOON_#001,Greetings.
MID_WU_C_1_SOON_#002,"I am glad you're awake. I could not bear to 
disturb you."
MID_WU_C_1_SOON_#003,I'll take my leave.
MID_WU_C_1_WAKEUP_#001,"I'm only here to make certain you wake. I hope 
that's all right."
MID_WU_C_1_WAKEUP_#002,"No need to hurry. I'll admire the view while 
I wait."
MID_WU_C_1_WAKEUP_#003,"Ah, look at the gardens. And all those 
fascinating people..."
MID_WU_C_2_HELLO_#001,Yes...
MID_WU_C_2_HELLO_#002,"A monarch would be appropriate, or at least 
a royal..."
MID_WU_C_2_HELLO_#003,"Ah! Divine One! How long have you 
been awake?"
MID_WU_C_2_IN_#001,Morning has come.
MID_WU_C_2_IN_#002,"I suppose it will take more than saying so to 
wake you."
MID_WU_C_2_SOON_#001,"You're awake already?! But I haven't yet made 
the tea!"
MID_WU_C_2_SOON_#002,"I was concerned it would get cold. What a fool 
I've been..."
MID_WU_C_2_WAKEUP_#001,Although...
MID_WU_C_2_WAKEUP_#002,I feel I am not the ideal person to be doing this.
MID_WU_C_2_WAKEUP_#003,"Surely the Divine Dragon should be tended to 
by someone more important..."
MID_WU_S_1_HELLO_#001,You're up. How may I serve you this morning?
MID_WU_S_1_HELLO_#002,"What? Of course it isn't odd for me to be asking 
you that."
MID_WU_S_1_HELLO_#003,Nothing fulfills me more...
MID_WU_S_1_HELLO_#004,than taking care of you.
MID_WU_S_1_IN_#001,"No matter how often I come by to wake you up, 
it always makes me a touch nervous."
MID_WU_S_1_SOON_#001,You rose so suddenly!
