key,text
MID_WU_A_1_HELLO_#001,"Oh, did I wake you?"
MID_WU_A_1_HELLO_#002,I'm so sorry! Go back to sleep.
MID_WU_A_1_HELLO_#003,I'm off to search for the next cute thing.
MID_WU_A_1_IN_#001,My search for cuteness has brought me here!
MID_WU_A_1_SOON_#001,Cuteness found!
MID_WU_A_1_SOON_#002,"An adorable Divine Dragon. My intuition 
never fails."
MID_WU_A_1_SOON_#003,"Oh, I didn't really need anything."
MID_WU_A_1_SOON_#004,Sorry─get some rest.
MID_WU_A_1_WAKEUP_#001,The Divine Dragon's hair is super cute.
MID_WU_A_1_WAKEUP_#002,I'm jealous of the color.
MID_WU_A_1_WAKEUP_#003,I wonder how that style would look on me.
MID_WU_A_2_HELLO_#001,"Aw, you don't like my bug drawing?"
MID_WU_A_2_HELLO_#002,In that case...
MID_WU_A_2_HELLO_#003,you find my next subject.
MID_WU_A_2_HELLO_#004,"C'mon, let's go!"
MID_WU_A_2_IN_#001,"Hey, Divine One! Can I ask you about a 
drawing? Oh, you're asleep."
MID_WU_A_2_SOON_#001,Good morning!
MID_WU_A_2_SOON_#002,I wanted to ask...
MID_WU_A_2_SOON_#003,if you'd mind me drawing your portrait.
MID_WU_A_2_SOON_#004,You're adorable...
MID_WU_A_2_SOON_#005,and I wanna capture that.
MID_WU_A_2_WAKEUP_#001,I've been thinking.
MID_WU_A_2_WAKEUP_#002,Scenery is great...
MID_WU_A_2_WAKEUP_#003,but it might be nice to branch out.
MID_WU_A_2_WAKEUP_#004,"Hmm, what should I draw next? How about... 
this bug?"
MID_WU_B_1_HELLO_#001,Sorry to wake you!
MID_WU_B_1_HELLO_#002,My wyvern's having trouble sleeping.
MID_WU_B_1_HELLO_#003,She wants to play all the time.
MID_WU_B_1_HELLO_#004,"I thought you might know a way to help her 
calm down..."
MID_WU_B_1_HELLO_#005,though I've never seen a wyvern sleep like that.
MID_WU_B_1_IN_#001,"Divine One, I need your advice."
MID_WU_B_1_IN_#002,"It's about Camille, my wyvern..."
MID_WU_B_1_SOON_#001,"Good, you're up."
MID_WU_B_1_SOON_#002,Camille hasn't been getting enough sleep.
MID_WU_B_1_SOON_#003,Since you get so much...
MID_WU_B_1_SOON_#004,"could you give me advice to help her find 
some rest?"
MID_WU_B_1_WAKEUP_#001,"Still out, huh?"
MID_WU_B_1_WAKEUP_#002,"The Divine Dragon never seems to lack 
for sleep."
MID_WU_B_1_WAKEUP_#003,"Probably rests easy every night, just like me."
MID_WU_B_1_WAKEUP_#004,"Almost as cute, too. Almost."
MID_WU_B_2_HELLO_#001,"Were you dreaming of a delicious breakfast, 
Divine One?"
MID_WU_B_2_HELLO_#002,That was adorable.
MID_WU_B_2_HELLO_#003,As far as I'm concerned...
MID_WU_B_2_HELLO_#004,you deserve a like.
MID_WU_B_2_IN_#001,"You sure sleep a lot! I get why folks are always 
coming by to wake you up."
MID_WU_B_2_SOON_#001,"Good, you're awake!"
MID_WU_B_2_SOON_#002,"Hey, guess what?"
MID_WU_B_2_SOON_#003,I've heard rumors of another great view.
MID_WU_B_2_WAKEUP_#001,I keep reminiscing about our little adventure.
MID_WU_B_2_WAKEUP_#002,I had such a great time!
MID_WU_B_2_WAKEUP_#003,I wonder if you're dreaming about it right now...
MID_WU_B_2_WAKEUP_#004,and you're drooling.
MID_WU_C_1_HELLO_#001,Good morning!
MID_WU_C_1_HELLO_#002,"Oh, this?"
