key,text
MID_WU_A_1_HELLO_#001,Don't rush.
MID_WU_A_1_HELLO_#002,Dinner can always wait.
MID_WU_A_1_HELLO_#003,I'll tell everyone...
MID_WU_A_1_HELLO_#004,you'll be down when you're ready.
MID_WU_A_1_IN_#001,"Taking an afternoon nap, Divine One?"
MID_WU_A_1_IN_#002,It's almost dinnertime.
MID_WU_A_1_SOON_#001,"Heh, I was worried you'd be exhausted..."
MID_WU_A_1_SOON_#002,but you shot right out of bed.
MID_WU_A_1_SOON_#003,Ready for some grub?
MID_WU_A_1_WAKEUP_#001,You must be exhausted. I don't blame you.
MID_WU_A_1_WAKEUP_#002,"Leading an army's tough. Always gotta be in 
top form."
MID_WU_A_1_WAKEUP_#003,"I can't even fathom the pressure you must 
be under."
MID_WU_A_2_HELLO_#001,"Hey, look who's finally up!"
MID_WU_A_2_HELLO_#002,Huh?
MID_WU_A_2_HELLO_#003,'Course I'm in a good mood.
MID_WU_A_2_HELLO_#004,A positive attitude's important for training.
MID_WU_A_2_HELLO_#005,My friends expect no less.
MID_WU_A_2_IN_#001,It's time to train!
MID_WU_A_2_IN_#002,"C'mon, let's get that blood pumping."
MID_WU_A_2_SOON_#001,Good!
MID_WU_A_2_SOON_#002,We've got our work cut out for us.
MID_WU_A_2_SOON_#003,"I've gotta keep getting stronger if I want to do 
my part..."
MID_WU_A_2_SOON_#004,and make my old friend proud.
MID_WU_A_2_WAKEUP_#001,My friend...
MID_WU_A_2_WAKEUP_#002,I'm grateful for the talk we had recently.
MID_WU_A_2_WAKEUP_#003,"I still want my revenge, but I'm in less of a rush 
for it now. It's a load off."
MID_WU_B_1_HELLO_#001,We've got a runaway fish on the loose.
MID_WU_B_1_HELLO_#002,"How far could it get, though, right?"
MID_WU_B_1_HELLO_#003,"I'll send word to the kitchen. It's only a matter 
of time."
MID_WU_B_1_IN_#001,Got a live one this morning!
MID_WU_B_1_SOON_#001,"Got your attention, huh?"
MID_WU_B_1_SOON_#002,Prince Diamant caught this.
MID_WU_B_1_SOON_#003,The Somniel's got some huge fish!
MID_WU_B_1_SOON_#004,We're gonna feast tonight.
MID_WU_B_1_WAKEUP_#001,Ngh... Hold still!
MID_WU_B_1_WAKEUP_#002,So strong! Slippery!
MID_WU_B_1_WAKEUP_#003,"Great, you're on the floor now! What's your 
escape plan, genius?"
MID_WU_B_1_WAKEUP_#004,"Hey, how are you doing that?! Come back!"
MID_WU_B_2_HELLO_#001,You're awake.
MID_WU_B_2_HELLO_#002,Up for some training this morning?
MID_WU_B_2_HELLO_#003,I'd be happy to join you.
MID_WU_B_2_IN_#001,"You look so gentle, even dead asleep."
MID_WU_B_2_SOON_#001,Morning.
MID_WU_B_2_SOON_#002,"You sleep like a sculpture, you know."
MID_WU_B_2_SOON_#003,"Haven't you ever snored? Slept crooked? 
Rolled over?"
MID_WU_B_2_WAKEUP_#001,Straight as a sword too.
MID_WU_B_2_WAKEUP_#002,"I sleep more like a worm on a hook─all tossing 
and turning."
MID_WU_B_2_WAKEUP_#003,"Sometimes I wake up after rolling right off 
the bed."
MID_WU_C_1_HELLO_#001,Good morning.
MID_WU_C_1_HELLO_#002,Thought I'd greet you properly.
MID_WU_C_1_HELLO_#003,Any conversation we have...
MID_WU_C_1_HELLO_#004,"could be our last, y'know?"
