key,usen,jpja,cnch
Anger,Wrath,怒り,愤怒
AxeKilling,Axebreaker,斧殺し,破斧者
BadBirdHit,Certain Blow,凶鳥の一撃,凶鸟一击
BlessingOfEleos,Boon of Elyos,エレオスの祝福,艾雷欧斯的祝福
BondPower,Dual Strike,デュアルアタック,双重攻击
BowKilling,Bowbreaker,弓殺し,破弓者
BreakInvalid,Unbreakable,ブレイク無効,打破无效
BreakPursuit,Break Defenses,たたみかけ,接二连三
BylethEngage,Instruct,指導,指导
BylethEngageAtk,Goddess Dance,計略：女神の舞,计策：女神之舞
CatBites,Cornered Beast,噛猫,狗急跳墙
CelicaEngage,Echo,重唱,重唱
CelicaEngageAtk,Warp Ragnarok,ワープライナ,传送末世烈焰
ChainAttackDamageWeaken,Bond Breaker,絆を引き裂くもの,撕裂牵绊者
ClearStreamHit,Duelist's Blow,清流の一撃,清流一击
ClosingAttack,Advance,踏み込み,深入
CurseOfNihility,Void Curse,虚無の呪い,虚无诅咒
Deadline,Life and Death,死線,死线
DefenseSeal,Seal Defense,守備封じ,防守封锁
DefenseStyle,Pair Up,防陣,防阵
DemonHit,Death Blow,鬼神の一撃,鬼神一击
DemonStance,Fierce Stance,鬼神の構え,鬼神架势
DragonCurse,Draconic Hex,竜呪,龙咒
DragonPulse,Dragon Vein,竜脈,龙脉
DualSupport,Dual Support,デュアルサポート,双重支援
EffectInvalid,Unwavering,特効無効,克制无效
EffectResistance,Stalwart,特効耐性,克制耐性
EirikEngage,Sacred Twins,双聖,双圣
EirikEngageAtk,Twin Strike,ツインストライク,双流
EngageContinueTurn,Strong Bond,断ち切れぬ絆,斩不断的牵绊
EngageCount,Deep Synergy,阿吽の呼吸,默契十足
EnhancedCompatibility,Triangle Adept,相性激化,强化互克
EvilDragonSpecialEffect,Holy Aura,邪竜有効,邪龙有效
FavoriteFood,Favorite Food,大好物,最喜欢的东西
FrenzyHit,Spirit Strike,減氣,减气
GodDragonProtection,Holy Shield,神竜の加護,神龙加护
HealingResonance,Healing Light,癒しの響き,治愈之声
IkeEngage,Laguz Friend,不動,不动
IkeEngageAtk,Great Aether,覇克・天空,霸克·天空
Immovable,Anchor,移動効果無効,移动效果无效
KamuiEngage,Dreadful Aura,呪縛,咒缚
KamuiEngageAtk,Torrential Roar,竜穿砲,龙穿炮
KnifeKilling,Knifebreaker,短剣殺し,破短剑者
LanceKilling,Lancebreaker,槍殺し,破枪者
LeafEngage,Adaptable,即応,瞬应
LeafEngageAtk,Quadruple Hit,テトラトリック,四重巧击
LinEngage,Call Doubles,残像,残像
LinEngageAtk,Astra Storm,流星群,流星群
LucinaEngage,Bonded Shield,絆盾,牵绊之盾
LucinaEngageAtk,All for One,オールフォーワン,人人为我
LueurEngage,Attuned,以心,以心
LueurEngageAtk,Dragon Blast,神竜破,神龙破
MagicDefenseSeal,Seal Resistance,魔防封じ,魔防封锁
MagicKilling,Tomebreaker,魔殺し,破魔者
MagicSeal,Seal Magic,魔力封じ,魔力封锁
MarthEngage,Divine Speed,神速,神速
MarthEngageAtk,Lodestar Rush,スターラッシュ,星之突击
MicaiahEngage,Augment,増幅,增幅
MicaiahEngageAtk,Great Sacrifice,大いなる癒しの手,大治愈之手
MingMirrorHit,Warding Blow,明鏡の一撃,明镜一击
MingMirrorStance,Warding Stance,明鏡の構え,明镜架势
PickUp,Lost &amp; Found,拾得,拾得
PowerSeal,Seal Strength,力封じ,力量封锁
PranaKilling,Artbreaker,体術殺し,破体术者
PullBack,Reposition,引き戻し,带回
Ravage,Demolish,破壊,破坏
RoyEngage,Rise Above,超越,超越
RoyEngageAtk,Blazing Lion,獅子紅蓮焔舞,狮子红莲焰舞
Rush,Headlong Rush,猛進,猛进
SelfDestruction,Self-Destruct,自壊,自毁
SighOfDeath,Savage Blow,死の吐息,死亡吐息
SigludEngage,Gallop,迅走,快跑
SigludEngageAtk,Override,オーバードライヴ,破阵星驰
Silenceproof,Silence Ward,サイレスガード,沉默防御
SkillSuccession,Skill Inheritance,スキル継承解放,解放特技继承
SnakeVenom,Poison Strike,蛇毒,蛇毒
SombreBarrier1,Fell Barrier,常闇の結界,常暗之结界
SombreBarrier2,Fell Barrier+,常闇の結界＋,常暗之结界+
SombreBarrier3,Fell Barrier++,常闇の結界＋＋,常暗之结界++
SombreBarrier4,Fell Barrier+++,常闇の結界＋＋＋,常暗之结界+++
SpeedAbsorption,Speedtaker,速さの吸収,速度吸收
SpeedSeal,Seal Speed,速さ封じ,速度封锁
SwallowHit,Darting Blow,飛燕の一撃,飞燕一击
SwallowStance,Darting Stance,飛燕の構え,飞燕架势
SwordKilling,Swordbreaker,剣殺し,破剑者
TeacherGuidance,Mentorship,師の導き,老师的引导
VajraHit,Armored Blow,金剛の一撃,金刚一击
VajraStance,Steady Stance,金剛の構え,金刚架势
